# entry-subent-pointer  : G0509-003-2 
# EXFOR reaction        : (40-ZR-0(G,X)ELEM/MASS,,SIG,,BRA) 
# incident energy       : 4.5000e+01 MeV - 7.0000e+01 MeV 
# target                : Zr-0 
# product               : Zr-89 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Naik 
# institute             : (3INDTRM): Bhabha Atomic Research Centre (BARC), Trombay, Mumbai 
# reference             : (J,EPJ/A,50,83,2014) 
# year                  : 2014 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/G05/G0509.x4 
# nds                   : https://nds.iaea.org/EXFOR/G0509
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        4.5000E+01        0.0000E+00        2.7000E-06        2.0000E-07
        5.0000E+01        0.0000E+00        6.1000E-05        4.0000E-06
        5.5000E+01        0.0000E+00        1.5800E-04        1.7000E-05
        6.0000E+01        0.0000E+00        1.9400E-04        1.9000E-05
        7.0000E+01        0.0000E+00        2.7900E-04        2.9000E-05
        4.5000E+01        0.0000E+00        7.1000E-04        1.4000E-04
        5.0000E+01        0.0000E+00        8.4000E-04        1.8000E-04
        5.5000E+01        0.0000E+00        8.8000E-04        1.5000E-04
        6.0000E+01        0.0000E+00        1.0700E-03        2.2000E-04
        7.0000E+01        0.0000E+00        8.9000E-04        1.7000E-04
        4.5000E+01        0.0000E+00        3.7300E-03        2.6000E-04
        5.0000E+01        0.0000E+00        3.2200E-03        2.6000E-04
        5.5000E+01        0.0000E+00        3.3300E-03        3.3000E-04
        6.0000E+01        0.0000E+00        3.1900E-03        2.8000E-04
        7.0000E+01        0.0000E+00        2.8000E-03        3.1000E-04
        4.5000E+01        0.0000E+00        2.5770E-02        9.1000E-04
        5.0000E+01        0.0000E+00        2.4420E-02        9.1000E-04
        5.5000E+01        0.0000E+00        2.4140E-02        8.5000E-04
        6.0000E+01        0.0000E+00        2.2910E-02        9.5000E-04
        7.0000E+01        0.0000E+00        2.1120E-02        7.4000E-04
