# entry-subent-pointer  : O2170-037-0 
# EXFOR reaction        : ['6-C-12', ['6-C-12,X'], '5-B-11,,DA'] 
# incident energy       : 9.5000e-05 MeV 
# target                : C-12 
# product               : B-11 
# level energy          : - 
# MF-MT number          : 4 - 10 
# first author          : J.Dudouet 
# institute             : (2FR CAE): Universite de Caen 
# reference             : (J,PR/C,88,024606,2013) 
# year                  : 2013 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O21/O2170.x4 
# nds                   : https://nds.iaea.org/EXFOR/O2170
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      4.00000E+00      1.00000E+00      1.45000E+00      1.90000E-01
      7.00000E+00      1.00000E+00      2.18000E-01      3.00000E-02
      9.00000E+00      1.00000E+00      4.55000E-02      6.20000E-03
      1.10000E+01      1.00000E+00      6.50000E-03      9.20000E-04
      1.30000E+01      1.00000E+00      1.56000E-03      2.40000E-04
      1.50000E+01      1.00000E+00      5.79000E-04      9.90000E-05
      1.70000E+01      1.00000E+00      3.77000E-04      8.10000E-05
      1.90000E+01      1.00000E+00      1.81000E-04      3.30000E-05
      2.10000E+01      1.00000E+00      1.24000E-04      5.00000E-05
      2.30000E+01      1.00000E+00      1.13000E-04      2.00000E-05
      2.70000E+01      1.00000E+00      3.90000E-05      1.60000E-05
      3.10000E+01      1.00000E+00      1.60000E-05      1.20000E-05
      3.50000E+01      1.00000E+00      1.65000E-05      5.10000E-06
      3.90000E+01      1.00000E+00      4.10000E-06      2.40000E-06
