# entry-subent-pointer  : O2170-111-0 
# EXFOR reaction        : ['1-H-1', ['6-C-12,X'], '1-H-3,,DA'] 
# incident energy       : 9.50e-05 MeV 
# target                : H-1 
# product               : H-3 
# level energy          : - 
# MF-MT number          : 4 - residual 
# first author          : J.Dudouet 
# institute             : (2FR CAE): Universite de Caen 
# reference             : (J,PR/C,88,024606,2013) 
# year                  : 2013 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O21/O2170.x4 
# nds                   : https://nds.iaea.org/EXFOR/O2170
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      4.00000E+00      0.00000E+00      1.50348E-01      1.04632E-01
      7.00000E+00      0.00000E+00      1.03919E-01      7.90730E-02
      9.00000E+00      0.00000E+00      6.97421E-02      6.10804E-02
      1.10000E+01      0.00000E+00      4.17508E-02      4.32074E-02
      1.30000E+01      0.00000E+00      2.42701E-02      3.37560E-02
      1.50000E+01      0.00000E+00      1.19057E-02      2.42908E-02
      1.70000E+01      0.00000E+00      9.91277E-03      1.94503E-02
      1.90000E+01      0.00000E+00      3.01529E-03      1.43135E-02
      2.10000E+01      0.00000E+00      2.45437E-03      1.19048E-02
      2.30000E+01      0.00000E+00     -3.04680E-04      9.20064E-03
      2.50000E+01      0.00000E+00      1.97180E-04      7.82312E-03
      2.70000E+01      0.00000E+00     -3.82350E-04      6.53655E-03
      2.90000E+01      0.00000E+00     -8.81960E-04      5.40342E-03
      3.10000E+01      0.00000E+00     -1.78690E-03      4.76371E-03
      3.30000E+01      0.00000E+00     -9.63070E-04      4.12885E-03
      3.50000E+01      0.00000E+00     -9.67720E-04      3.76519E-03
      3.70000E+01      0.00000E+00     -1.13110E-03      3.20428E-03
      3.90000E+01      0.00000E+00     -7.76570E-04      2.97665E-03
      4.10000E+01      0.00000E+00     -8.54600E-04      2.58074E-03
      4.30000E+01      0.00000E+00     -8.62390E-04      2.39284E-03
