# entry-subent-pointer  : D5107--00-3-0 
# EXFOR reaction        : ['3-LI-7', ['6-C-12,INL'], '3-LI-7,PAR,DA'] 
# incident energy       : 1.15e+02 MeV 
# target                : Li-7 
# product               : Li-7 
# level energy          : 4.63e+00 MeV 
# MF-MT number          : 4 - ['52'] 
# first author          : A.T.Rudchik 
# institute             : (4UKRIJD): Institute Yadernyh Doslidzhen, N.A.N.Ukraini, Kyiv 
# reference             : (J,YFE,14,25,2013) 
# year                  : 2013 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D51/D5107.x4 
# nds                   : https://nds.iaea.org/EXFOR/D5107
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.98000E+01      0.00000E+00      1.16500E-02      3.49500E-03
      2.26000E+01      0.00000E+00      1.06100E-02      3.18300E-03
      2.55000E+01      0.00000E+00      5.74300E-03      1.72200E-03
      2.83000E+01      0.00000E+00      3.17800E-03      9.53400E-04
      3.12000E+01      0.00000E+00      4.52100E-03      1.35600E-03
      3.41000E+01      0.00000E+00      3.05800E-03      9.17400E-04
      3.71000E+01      0.00000E+00      2.56500E-03      7.69500E-04
      4.00000E+01      0.00000E+00      3.36800E-03      1.01040E-03
      4.30000E+01      0.00000E+00      2.76600E-03      8.29800E-04
      4.60000E+01      0.00000E+00      1.92800E-03      5.78400E-04
      4.90000E+01      0.00000E+00      1.03800E-03      3.11400E-04
      5.20000E+01      0.00000E+00      1.21800E-03      3.65400E-04
      5.51000E+01      0.00000E+00      1.02400E-03      3.07200E-04
      5.83000E+01      0.00000E+00      9.57700E-04      2.87300E-04
      6.15000E+01      0.00000E+00      1.04500E-03      3.13500E-04
      6.47000E+01      0.00000E+00      7.64700E-04      2.29400E-04
      6.80000E+01      0.00000E+00      4.81800E-04      1.44500E-04
      7.14000E+01      0.00000E+00      4.17200E-04      1.25100E-04
      7.49000E+01      0.00000E+00      3.76900E-04      1.13000E-04
      7.85000E+01      0.00000E+00      2.33600E-04      7.00000E-05
      8.22000E+01      0.00000E+00      1.94600E-04      5.83000E-05
      8.62000E+01      0.00000E+00      1.81800E-04      5.45000E-05
      9.03000E+01      0.00000E+00      1.86500E-04      5.59000E-05
      9.47000E+01      0.00000E+00      2.27600E-04      6.82000E-05
