# entry-subent-pointer  : O2170-147-0 
# EXFOR reaction        : ['8-O-0', ['6-C-12,X'], '2-HE-4,,DA'] 
# incident energy       : 9.5000e-05 MeV 
# target                : O-0 
# product               : He-4 
# level energy          : - 
# MF-MT number          : 4 - 10 
# first author          : J.Dudouet 
# institute             : (2FR CAE): Universite de Caen 
# reference             : (J,PR/C,88,024606,2013) 
# year                  : 2013 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O21/O2170.x4 
# nds                   : https://nds.iaea.org/EXFOR/O2170
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      4.00000E+00      0.00000E+00      1.37507E+01      3.39217E+00
      7.00000E+00      0.00000E+00      6.06779E+00      1.40283E+00
      9.00000E+00      0.00000E+00      3.91623E+00      9.45113E-01
      1.10000E+01      0.00000E+00      2.13631E+00      5.13954E-01
      1.30000E+01      0.00000E+00      1.37214E+00      3.41038E-01
      1.50000E+01      0.00000E+00      8.02250E-01      1.93358E-01
      1.70000E+01      0.00000E+00      5.80237E-01      1.40645E-01
      1.90000E+01      0.00000E+00      3.72715E-01      8.86466E-02
      2.10000E+01      0.00000E+00      2.93108E-01      7.08921E-02
      2.30000E+01      0.00000E+00      2.11577E-01      5.12817E-02
      2.50000E+01      0.00000E+00      1.70684E-01      4.20805E-02
      2.70000E+01      0.00000E+00      1.39122E-01      3.39165E-02
      2.90000E+01      0.00000E+00      1.16776E-01      2.80606E-02
      3.10000E+01      0.00000E+00      1.01598E-01      2.44457E-02
      3.30000E+01      0.00000E+00      8.57074E-02      2.06526E-02
      3.50000E+01      0.00000E+00      7.44888E-02      1.83243E-02
      3.70000E+01      0.00000E+00      6.28690E-02      1.55004E-02
      3.90000E+01      0.00000E+00      5.59173E-02      1.36610E-02
      4.10000E+01      0.00000E+00      4.60169E-02      1.17302E-02
      4.30000E+01      0.00000E+00      4.07959E-02      1.03525E-02
