# entry-subent-pointer  : S0133--00-7-0 
# EXFOR reaction        : ['50-SN-124', ['6-C-12,X'], 'ELEM,,DA'] 
# incident energy       : 7.00e+01 MeV 
# target                : Sn-124 
# product               : Z=Li 
# level energy          : - 
# MF-MT number          : 4 - residual 
# first author          : Wang Dayan 
# institute             : (3CPRIMP): Institute of Modern Physics, Academy Sinica, Lanzhou 
# reference             : (J,PHE,10,68,1986) 
# year                  : 1986 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/S01/S0133.x4 
# nds                   : https://nds.iaea.org/EXFOR/S0133
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.85600E+01      0.00000E+00      7.17000E-03      4.03000E-03
      3.31600E+01      0.00000E+00      1.25600E-02              NAN
      3.83800E+01      0.00000E+00      1.14400E-02              NAN
      4.46500E+01      0.00000E+00      9.20000E-03      5.03000E-03
      5.13300E+01      0.00000E+00      5.04000E-03              NAN
      5.61400E+01      0.00000E+00      3.93000E-03              NAN
      6.05200E+01      0.00000E+00      1.36000E-03      7.20000E-04
      6.70000E+01      0.00000E+00      5.50000E-04              NAN
      7.66100E+01      0.00000E+00      1.50000E-04              NAN
      8.70500E+01      0.00000E+00      5.00000E-05      2.00000E-05
