# entry-subent-pointer  : A0350-003-0 
# EXFOR reaction        : ['22-TI-46', ['6-C-12,2P'], '26-FE-56,,SIG'] 
# incident energy       : 2.17e+01 MeV - 5.38e+01 MeV 
# target                : Ti-46 
# product               : Fe-56 
# level energy          : - 
# MF-MT number          : 3 - 111 
# first author          : E.Bozek 
# institute             : (2FR SAC): CEA/Saclay 
# reference             : (J,NP/A,451,171,1986) 
# year                  : 1986 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A03/A0350.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0350
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.17000E+01      0.00000E+00      7.00000E-04      0.00000E+00
      2.27000E+01      0.00000E+00      2.00000E-03      0.00000E+00
      2.37000E+01      0.00000E+00      3.00000E-03      0.00000E+00
      2.47000E+01      0.00000E+00      7.90000E-03      0.00000E+00
      2.57000E+01      0.00000E+00      1.46000E-02      0.00000E+00
      2.67000E+01      0.00000E+00      2.70000E-02      0.00000E+00
      2.77000E+01      0.00000E+00      3.40000E-02      0.00000E+00
      2.87000E+01      0.00000E+00      4.35000E-02      0.00000E+00
      2.97000E+01      0.00000E+00      5.79000E-02      0.00000E+00
      3.27000E+01      0.00000E+00      6.35000E-02      0.00000E+00
      3.57000E+01      0.00000E+00      4.96000E-02      0.00000E+00
      3.88000E+01      0.00000E+00      6.35000E-02      0.00000E+00
      4.18000E+01      0.00000E+00      4.67000E-02      0.00000E+00
      4.48000E+01      0.00000E+00      2.61000E-02      0.00000E+00
      4.78000E+01      0.00000E+00      1.84000E-02      0.00000E+00
      5.08000E+01      0.00000E+00      4.20000E-03      0.00000E+00
      5.38000E+01      0.00000E+00      2.00000E-03      0.00000E+00
