# entry-subent-pointer  : D6271-009-0 
# EXFOR reaction        : ['6-C-12', ['6-C-13,X'], '4-BE-9,,DA'] 
# incident energy       : 7.8500e+01 MeV 
# target                : C-12 
# product               : Be-9 
# level energy          : - 
# MF-MT number          : 4 - 10 
# first author          : S.Manna 
# institute             : (3INDVEC): Variable Energy Cyclotron Centre, Kolkata 
# reference             : (J,PR/C,94,051601,2016) 
# year                  : 2016 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D62/D6271.x4 
# nds                   : https://nds.iaea.org/EXFOR/D6271
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      3.34500E+01      0.00000E+00      1.09380E-03      1.64100E-04
      3.54000E+01      0.00000E+00      1.08230E-03      1.62300E-04
      3.73500E+01      0.00000E+00      1.02250E-03      1.53400E-04
      3.93100E+01      0.00000E+00      8.84600E-04      1.32700E-04
      4.12800E+01      0.00000E+00      9.15300E-04      1.37300E-04
      4.32500E+01      0.00000E+00      9.07200E-04      1.36100E-04
      4.52200E+01      0.00000E+00      7.40500E-04      1.11100E-04
      4.72000E+01      0.00000E+00      8.02600E-04      1.20400E-04
      4.92000E+01      0.00000E+00      7.30500E-04      1.09600E-04
      5.11900E+01      0.00000E+00      6.79400E-04      1.01900E-04
      5.32000E+01      0.00000E+00      7.44200E-04      1.11600E-04
      5.52100E+01      0.00000E+00      6.17200E-04      9.26000E-05
      5.72400E+01      0.00000E+00      6.25200E-04      9.38000E-05
      5.92700E+01      0.00000E+00      5.78800E-04      8.68000E-05
