# entry-subent-pointer  : C2416-005-0 
# EXFOR reaction        : ['79-AU-197', ['26-FE-56,F'], 'ELEM,,DA'] 
# incident energy       : 5.00e-05 MeV 
# target                : Au-197 
# product               : Z=N 
# level energy          : - 
# MF-MT number          : 4 - 18 
# first author          : T.C.Sangster 
# institute             : (1USALRL): Lawrence Livermore National Laboratory, Livermore, CA 
# reference             : (J,PR/C,46,1404,1992) 
# year                  : 1992 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C24/C2416.x4 
# nds                   : https://nds.iaea.org/EXFOR/C2416
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.93930E+01      0.00000E+00      6.21125E-02      0.00000E+00
      3.54640E+01      0.00000E+00      4.26625E-02      0.00000E+00
      4.15400E+01      0.00000E+00      3.53125E-02      0.00000E+00
      6.53270E+01      0.00000E+00      1.17813E-02      0.00000E+00
      7.14020E+01      0.00000E+00      9.45000E-03      0.00000E+00
      7.72260E+01      0.00000E+00      8.06875E-03      0.00000E+00
      1.01020E+02      0.00000E+00      3.45250E-03      0.00000E+00
      1.07351E+02      0.00000E+00      3.04063E-03      0.00000E+00
      1.13173E+02      0.00000E+00      2.51750E-03      0.00000E+00
      1.37234E+02      0.00000E+00      1.71625E-03      0.00000E+00
      1.42809E+02      0.00000E+00      1.76625E-03      0.00000E+00
      1.48886E+02      0.00000E+00      1.55563E-03      0.00000E+00
