# entry-subent-pointer  : F0300--00-5-0 
# EXFOR reaction        : ['4-BE-9', ['HE3,EL'], '4-BE-9,,DA'] 
# incident energy       : 8.00e+00 MeV 
# target                : Be-9 
# product               : Be-9 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : L.G.Earwaker 
# institute             : (1USACAL): California Institute of Technology, Pasadena, CA 
# reference             : (J,NP/A,90,56,1967) 
# year                  : 1967 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F03/F0300.x4 
# nds                   : https://nds.iaea.org/EXFOR/F0300
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.11000E+01      1.00000E+00      1.74000E+00      2.69000E-02
      2.92000E+01      1.00000E+00      6.91000E-01      1.07000E-02
      3.47000E+01      1.00000E+00      2.96000E-01      4.58000E-03
      4.01000E+01      1.00000E+00      1.09000E-01      1.68000E-03
      4.69000E+01      1.00000E+00      3.85000E-02      5.95000E-04
      5.63000E+01      1.00000E+00      2.83000E-02      4.37000E-04
      6.03000E+01      1.00000E+00      2.83000E-02      4.38000E-04
      6.70000E+01      1.00000E+00      2.72000E-02      4.21000E-04
      7.23000E+01      1.00000E+00      2.43000E-02      3.75000E-04
      7.90000E+01      1.00000E+00      1.72000E-02      2.66000E-04
      8.31000E+01      1.00000E+00      1.08000E-02      1.67000E-04
      8.98000E+01      1.00000E+00      7.65000E-03      1.18000E-04
      9.52000E+01      1.00000E+00      5.21000E-03      8.05000E-05
      9.92000E+01      1.00000E+00      3.98000E-03      6.15000E-05
      1.04600E+02      1.00000E+00      2.92000E-03      4.52000E-05
      1.08600E+02      1.00000E+00      2.32000E-03      3.59000E-05
      1.18000E+02      1.00000E+00      1.71000E-03      2.64000E-05
      1.30000E+02      1.00000E+00      2.07000E-03      3.20000E-05
      1.38000E+02      1.00000E+00      2.93000E-03      4.53000E-05
      1.46000E+02      1.00000E+00      3.84000E-03      5.94000E-05
      1.54000E+02      1.00000E+00      5.43000E-03      8.40000E-05
      1.60700E+02      1.00000E+00      7.69000E-03      1.19000E-04
