# entry-subent-pointer  : A0210-013-0 
# EXFOR reaction        : ['27-CO-59', ['HE3,X'], '25-MN-52-G,M+,SIG'] 
# incident energy       : 3.73e+01 MeV - 1.28e+02 MeV 
# target                : Co-59 
# product               : Mn-52-G 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : R.Michel 
# institute             : (2GERKLN): Universitaet zu Koeln 
# reference             : (J,NP/A,404,77,1983) 
# year                  : 1983 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A02/A0210.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0210
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.28100E+02      1.00000E+00      3.37000E-02      2.20000E-03
      1.20900E+02      1.20000E+00      3.41000E-02      2.30000E-03
      1.13200E+02      1.30000E+00      3.39000E-02      2.30000E-03
      1.06600E+02      1.40000E+00      3.38000E-02      2.30000E-03
      9.96000E+01      1.50000E+00      3.12000E-02      2.00000E-03
      9.24000E+01      1.60000E+00      2.47000E-02      1.60000E-03
      8.46000E+01      1.70000E+00      1.48000E-02      9.00000E-04
      7.80000E+01      1.80000E+00      8.32000E-03      5.10000E-04
      7.21000E+01      1.40000E+00      5.90000E-03      3.80000E-04
      7.07000E+01      2.00000E+00      6.04000E-03      3.80000E-04
      6.45000E+01      1.60000E+00      7.12000E-03      4.70000E-04
      6.29000E+01      2.10000E+00      7.80000E-03      4.90000E-04
      5.87000E+01      1.80000E+00      9.37000E-03      6.70000E-04
      5.34000E+01      1.90000E+00      1.03000E-02      8.00000E-04
      4.77000E+01      2.10000E+00      6.88000E-03      4.20000E-04
      4.28000E+01      2.30000E+00      2.61000E-03      1.70000E-04
      3.73000E+01      2.60000E+00      2.20000E-04      2.10000E-05
