# entry-subent-pointer  : A1173-002-0 
# EXFOR reaction        : ['1-H-2', ['HE3,P'], '2-HE-4,,SIG,,,EXP'] 
# incident energy       : 2.6680e-01 MeV - 8.9630e-01 MeV 
# target                : H-2 
# product               : He-4 
# level energy          : - 
# MF-MT number          : 3 - 103 
# first author          : Carlton 
# institute             : (1USAGEO): University of Georgia, Athens, GA 
# reference             : (T,CARLTON,1970) 
# year                  : 1970 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A11/A1173.x4 
# nds                   : https://nds.iaea.org/EXFOR/A1173
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.66800E-01      5.00000E-03      6.82600E-02      5.00000E-03
      3.03900E-01      5.00000E-03      1.20900E-01      5.00000E-03
      3.80800E-01      5.00000E-03      2.43700E-01      5.00000E-03
      4.20700E-01      5.00000E-03      3.39000E-01      5.00000E-03
      4.65500E-01      5.00000E-03      4.31800E-01      5.00000E-03
      5.30500E-01      5.00000E-03      6.25100E-01      5.00000E-03
      5.67800E-01      5.00000E-03      7.07900E-01      5.00000E-03
      6.05000E-01      5.00000E-03      7.63000E-01      5.00000E-03
      6.73800E-01      5.00000E-03      7.72700E-01      5.00000E-03
      7.64600E-01      5.00000E-03      7.52000E-01      5.00000E-03
      8.23000E-01      5.00000E-03      6.53500E-01      5.00000E-03
      8.96300E-01      5.00000E-03      5.95200E-01      5.00000E-03
