# entry-subent-pointer  : E1253-002-0 
# EXFOR reaction        : ['12-MG-25', ['HE3,EL'], '12-MG-25,,DA'] 
# incident energy       : 5.5200e+01 MeV 
# target                : Mg-25 
# product               : Mg-25 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : R.J.Peterson 
# institute             : (2JPNTOK): University of Tokyo, Tokyo 
# reference             : (J,PR/C,38,(3),1130,1988) 
# year                  : 1988 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E12/E1253.x4 
# nds                   : https://nds.iaea.org/EXFOR/E1253
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.09500E+01      0.00000E+00      3.01300E+00      0.00000E+00
      1.19790E+01      0.00000E+00      1.50000E+00      0.00000E+00
      1.31070E+01      0.00000E+00      6.40900E-01      0.00000E+00
      1.39460E+01      0.00000E+00      2.32200E-01      0.00000E+00
      1.52010E+01      0.00000E+00      9.80300E-02      0.00000E+00
      1.64320E+01      0.00000E+00      1.44400E-01      0.00000E+00
      1.72660E+01      0.00000E+00      2.00600E-01      0.00000E+00
      1.88600E+01      0.00000E+00      2.59300E-01      0.00000E+00
      2.01510E+01      0.00000E+00      2.64900E-01      0.00000E+00
      2.16410E+01      0.00000E+00      1.96800E-01      0.00000E+00
      2.29390E+01      0.00000E+00      1.05200E-01      0.00000E+00
      2.56150E+01      0.00000E+00      2.28900E-02      0.00000E+00
      2.85030E+01      0.00000E+00      7.79400E-03      0.00000E+00
      3.09410E+01      0.00000E+00      1.48500E-02      0.00000E+00
      3.24930E+01      0.00000E+00      1.53500E-02      0.00000E+00
      3.38970E+01      0.00000E+00      1.44400E-02      0.00000E+00
      3.65790E+01      0.00000E+00      6.44900E-03      0.00000E+00
      3.93720E+01      0.00000E+00      1.32300E-03      0.00000E+00
      4.22390E+01      0.00000E+00      1.59000E-03      0.00000E+00
      4.49980E+01      0.00000E+00      2.12600E-03      0.00000E+00
      4.77030E+01      0.00000E+00      2.14200E-03      0.00000E+00
