# entry-subent-pointer  : D4112-005-0 
# EXFOR reaction        : ['22-TI-0', ['HE3,X'], '21-SC-46,,SIG'] 
# incident energy       : 4.30e+00 MeV - 3.58e+01 MeV 
# target                : Ti-0 
# product               : Sc-46 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : F.Ditroi 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (J,NIM/B,168,337,2000) 
# year                  : 2000 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D41/D4112.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4112
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      4.30000E+00      0.00000E+00      8.70000E-04      6.00000E-05
      7.54000E+00      0.00000E+00      9.70000E-04      6.00000E-05
      9.97000E+00      0.00000E+00      1.10000E-03      8.00000E-05
      1.10890E+01      0.00000E+00      2.23000E-03      9.00000E-05
      1.20400E+01      0.00000E+00      1.24000E-03      1.20000E-04
      1.25120E+01      0.00000E+00      4.73000E-03      1.80000E-04
      1.37800E+01      0.00000E+00      5.31000E-03      4.50000E-04
      1.38900E+01      0.00000E+00      1.91000E-03      1.80000E-04
      1.42500E+01      0.00000E+00      2.41000E-03      2.20000E-04
      1.54200E+01      0.00000E+00      4.26000E-03      4.00000E-04
      1.55700E+01      0.00000E+00      6.37000E-03      5.40000E-04
      1.55970E+01      0.00000E+00      1.06300E-02      1.10000E-03
      1.69960E+01      0.00000E+00      1.84300E-02      1.50000E-03
      1.71300E+01      0.00000E+00      1.17500E-02      1.30000E-03
      1.77190E+01      0.00000E+00      2.07000E-02      2.10000E-03
      1.85800E+01      0.00000E+00      1.73600E-02      1.70000E-03
      1.87100E+01      0.00000E+00      1.41000E-02      1.30000E-03
      1.99600E+01      0.00000E+00      2.37000E-02      2.30000E-03
      2.00440E+01      0.00000E+00      2.98300E-02      2.50000E-03
      2.07500E+01      0.00000E+00      2.15000E-02      2.20000E-03
      2.07620E+01      0.00000E+00      3.36000E-02      3.10000E-03
      2.08860E+01      0.00000E+00      2.89000E-02      3.00000E-03
      2.12800E+01      0.00000E+00      3.11500E-02      2.90000E-03
      2.16500E+01      0.00000E+00      2.37000E-02      2.50000E-03
      2.21870E+01      0.00000E+00      4.54200E-02      4.10000E-03
      2.25300E+01      0.00000E+00      3.24700E-02      3.50000E-03
      2.25440E+01      0.00000E+00      4.97700E-02      5.20000E-03
      2.34800E+01      0.00000E+00      3.03000E-02      3.10000E-03
      2.37300E+01      0.00000E+00      3.68200E-02      3.10000E-03
      2.40860E+01      0.00000E+00      4.06200E-02      3.80000E-03
      2.41890E+01      0.00000E+00      4.42700E-02      3.90000E-03
      2.43100E+01      0.00000E+00      3.22000E-02      3.00000E-03
      2.48900E+01      0.00000E+00      3.66300E-02      3.10000E-03
      2.50840E+01      0.00000E+00      4.57300E-02      4.20000E-03
      2.60100E+01      0.00000E+00      3.51000E-02      3.20000E-03
      2.60760E+01      0.00000E+00      3.14500E-02      2.90000E-03
      2.62790E+01      0.00000E+00      5.30700E-02      4.90000E-03
      2.63600E+01      0.00000E+00      3.96100E-02      3.70000E-03
      2.67800E+01      0.00000E+00      3.28000E-02      3.00000E-03
      2.71040E+01      0.00000E+00      4.09200E-02      3.60000E-03
      2.78670E+01      0.00000E+00      4.44200E-02      4.10000E-03
      2.95770E+01      0.00000E+00      3.13300E-02      2.90000E-03
      2.98920E+01      0.00000E+00      3.81700E-02      3.30000E-03
      3.12150E+01      0.00000E+00      3.51000E-02      3.10000E-03
      3.24980E+01      0.00000E+00      3.53700E-02      3.20000E-03
      3.27920E+01      0.00000E+00      3.09200E-02      3.00000E-03
      3.43140E+01      0.00000E+00      3.52800E-02      3.20000E-03
      3.43150E+01      0.00000E+00      3.29700E-02      2.90000E-03
      3.49570E+01      0.00000E+00      3.34200E-02      2.90000E-03
      3.57860E+01      0.00000E+00      3.19900E-02      2.80000E-03
