# entry-subent-pointer  : O1929--01-1-0 
# EXFOR reaction        : ['6-C-12', ['3-LI-6,INL'], '6-C-12,PAR,DA'] 
# incident energy       : 3.40e+01 MeV - 3.60e+01 MeV 
# target                : C-12 
# product               : C-12 
# level energy          : 4.43e+00 MeV 
# MF-MT number          : 4 - ['51'] 
# first author          : P.Schumacher 
# institute             : (2GERMPH): Max-Planck-Institut fuer Kernphysik, Heidelberg 
# reference             : (J,NP/A,212,573,1973) 
# year                  : 1973 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O19/O1929.x4 
# nds                   : https://nds.iaea.org/EXFOR/O1929
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.60440E+01      0.00000E+00      1.44600E-02              NAN
      2.04580E+01      0.00000E+00      9.97400E-03              NAN
      2.40400E+01      0.00000E+00      3.00100E-03              NAN
      2.78280E+01      0.00000E+00      2.35100E-03              NAN
      3.16600E+01      0.00000E+00      4.56200E-03              NAN
      3.54570E+01      0.00000E+00      4.32900E-03              NAN
      3.90500E+01      0.00000E+00      1.63900E-03              NAN
      4.31270E+01      0.00000E+00      7.32300E-04              NAN
      4.67720E+01      0.00000E+00      7.99800E-04              NAN
      5.02600E+01      0.00000E+00      8.73600E-04              NAN
      5.40490E+01      0.00000E+00      7.11300E-04              NAN
      5.76720E+01      0.00000E+00      4.97000E-04              NAN
      6.13050E+01      0.00000E+00      4.15100E-04              NAN
      6.44990E+01      0.00000E+00      7.36600E-04              NAN
      6.81470E+01      0.00000E+00      8.36000E-04              NAN
      7.19500E+01      0.00000E+00      9.13000E-04              NAN
      7.54060E+01      0.00000E+00      5.20000E-04              NAN
      7.84280E+01      0.00000E+00      7.05800E-04              NAN
      8.18710E+01      0.00000E+00      3.07500E-04              NAN
      8.52220E+01      0.00000E+00      5.31800E-04              NAN
      8.80740E+01      0.00000E+00      5.59200E-04              NAN
      9.17110E+01      0.00000E+00      5.10800E-04              NAN
      9.48790E+01      0.00000E+00      5.37000E-04              NAN
      9.80290E+01      0.00000E+00      3.84900E-04      6.29800E-05
      1.54040E+01      0.00000E+00      2.04300E-02              NAN
      1.68270E+01      0.00000E+00      1.93900E-02              NAN
      1.82460E+01      0.00000E+00      1.74800E-02              NAN
      2.01360E+01      0.00000E+00      1.40200E-02              NAN
      2.18480E+01      0.00000E+00      7.73400E-03              NAN
      2.32430E+01      0.00000E+00      4.15800E-03              NAN
      2.40070E+01      0.00000E+00      2.35400E-03              NAN
      2.62210E+01      0.00000E+00      2.23400E-03              NAN
      2.76590E+01      0.00000E+00      2.96700E-03              NAN
      2.89410E+01      0.00000E+00      4.04400E-03              NAN
      3.08490E+01      0.00000E+00      4.84300E-03      9.55200E-04
      3.27660E+01      0.00000E+00      6.95000E-03              NAN
      3.38650E+01      0.00000E+00      5.72400E-03              NAN
      3.52780E+01      0.00000E+00      4.47500E-03              NAN
      3.71680E+01      0.00000E+00      3.68500E-03              NAN
      3.87290E+01      0.00000E+00      2.31300E-03              NAN
      3.99750E+01      0.00000E+00      1.52900E-03              NAN
      4.29370E+01      0.00000E+00      5.94700E-04      9.84100E-05
      4.42200E+01      0.00000E+00      8.31800E-04              NAN
      4.58050E+01      0.00000E+00      8.53100E-04      1.05200E-04
      4.75400E+01      0.00000E+00      7.49300E-04      1.32000E-04
      4.89770E+01      0.00000E+00      9.69800E-04              NAN
      5.13550E+01      0.00000E+00      1.03400E-03              NAN
      5.34120E+01      0.00000E+00      1.02000E-03              NAN
      5.44960E+01      0.00000E+00      6.15900E-04              NAN
      5.79790E+01      0.00000E+00      6.23200E-04              NAN
      5.84460E+01      0.00000E+00      5.26700E-04              NAN
      6.05010E+01      0.00000E+00      4.93500E-04              NAN
      6.19160E+01      0.00000E+00      4.01100E-04              NAN
      6.28890E+01      0.00000E+00      6.55200E-04              NAN
      6.57520E+01      0.00000E+00      8.58700E-04              NAN
      6.73380E+01      0.00000E+00      9.15500E-04              NAN
      6.89270E+01      0.00000E+00      1.02800E-03              NAN
      7.03390E+01      0.00000E+00      7.93500E-04              NAN
      7.19360E+01      0.00000E+00      1.04000E-03      1.02200E-04
      7.23890E+01      0.00000E+00      6.70300E-04              NAN
      7.39800E+01      0.00000E+00      7.82300E-04              NAN
      7.63600E+01      0.00000E+00      8.78200E-04              NAN
      7.69410E+01      0.00000E+00      3.00400E-04      4.64600E-05
      7.80720E+01      0.00000E+00      4.78200E-04              NAN
      7.91650E+01      0.00000E+00      3.50500E-04      6.17600E-05
      8.10810E+01      0.00000E+00      4.90200E-04              NAN
      8.37480E+01      0.00000E+00      2.95900E-04              NAN
      8.61630E+01      0.00000E+00      6.84800E-04              NAN
      8.88460E+01      0.00000E+00      5.78400E-04              NAN
      9.37090E+01      0.00000E+00      2.30700E-04              NAN
      9.63990E+01      0.00000E+00      2.24600E-04              NAN
      9.86260E+01      0.00000E+00      2.76000E-04              NAN
      1.05892E+02      0.00000E+00      1.99400E-04              NAN
      1.08401E+02      0.00000E+00      1.21900E-04              NAN
