# entry-subent-pointer  : O1626--00-3-0 
# EXFOR reaction        : ['3-LI-6', ['3-LI-6,EL'], '3-LI-6,,DA'] 
# incident energy       : 3.00e+01 MeV 
# target                : Li-6 
# product               : Li-6 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : K.W.Potthast 
# institute             : (2GERBOC): Ruhr-Universitaet Bochum 
# reference             : (J,NP/A,614,95,1997) 
# year                  : 1997 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O16/O1626.x4 
# nds                   : https://nds.iaea.org/EXFOR/O1626
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.41000E+01      5.00000E-01      3.72000E-02              NAN
      2.55000E+01      5.00000E-01      2.52000E-02              NAN
      2.76000E+01      5.00000E-01      2.63000E-02              NAN
      2.97000E+01      5.00000E-01      3.72000E-02              NAN
      3.21000E+01      5.00000E-01      4.81000E-02              NAN
      3.42000E+01      5.00000E-01      4.81000E-02              NAN
      3.59000E+01      5.00000E-01      4.05000E-02              NAN
      3.84000E+01      5.00000E-01      3.72000E-02              NAN
      4.01000E+01      5.00000E-01      2.75000E-02              NAN
      4.22000E+01      5.00000E-01      1.64000E-02              NAN
      4.43000E+01      5.00000E-01      1.02000E-02              NAN
      4.60000E+01      5.00000E-01      6.10000E-03              NAN
      4.78000E+01      5.00000E-01      3.97000E-03              NAN
      4.95000E+01      5.00000E-01      3.97000E-03              NAN
      5.23000E+01      5.00000E-01      5.40000E-03              NAN
      5.41000E+01      5.00000E-01      6.10000E-03              NAN
      5.62000E+01      5.00000E-01      6.10000E-03              NAN
      5.79000E+01      5.00000E-01      6.10000E-03              NAN
      6.07000E+01      5.00000E-01      6.10000E-03              NAN
      6.24000E+01      5.00000E-01      5.80000E-03              NAN
      6.42000E+01      5.00000E-01      4.51000E-03              NAN
      6.59000E+01      5.00000E-01      4.51000E-03              NAN
      6.84000E+01      5.00000E-01      2.81000E-03              NAN
      7.01000E+01      5.00000E-01      1.68000E-03              NAN
      7.22000E+01      5.00000E-01      1.30000E-03              NAN
      7.43000E+01      5.00000E-01      1.00000E-03              NAN
      7.57000E+01      5.00000E-01      1.24000E-03              NAN
      7.81000E+01      5.00000E-01      1.83000E-03              NAN
      8.02000E+01      5.00000E-01      2.17000E-03              NAN
      8.23000E+01      5.00000E-01      3.20000E-03              NAN
      8.48000E+01      5.00000E-01      4.14000E-03              NAN
      8.65000E+01      5.00000E-01      4.51000E-03              NAN
      8.86000E+01      5.00000E-01      4.32000E-03              NAN
      9.10000E+01      5.00000E-01      4.90000E-03              NAN
      9.31000E+01      5.00000E-01      4.90000E-03              NAN
      9.42000E+01      5.00000E-01      4.32000E-03              NAN
