# entry-subent-pointer  : D6345--00-3-0 
# EXFOR reaction        : ['92-U-238', ['3-LI-6,A+F'], 'MASS,SEC,FY'] 
# incident energy       : 3.40e+01 MeV 
# target                : U-238 
# product               : 77.0 <= mass <= 170.0 
# level energy          : - 
# MF-MT number          : 8 - 454 
# first author          : A.Pal 
# institute             : (3INDIND): India 
# reference             : (J,PR/C,98,031601,2018) 
# year                  : 2018 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D63/D6345.x4 
# nds                   : https://nds.iaea.org/EXFOR/D6345
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan             77.0              nan      1.11000E-04      1.11000E-04
              nan             80.0              nan      4.42000E-04      2.21000E-04
              nan             83.0              nan      1.65800E-03      4.28000E-04
              nan             86.0              nan      2.98400E-03      5.74000E-04
              nan             89.0              nan      7.62500E-03      9.18000E-04
              nan             92.0              nan      2.11060E-02      1.52700E-03
              nan             95.0              nan      3.29300E-02      1.90800E-03
              nan             98.0              nan      4.37590E-02      2.19900E-03
              nan            101.0              nan      5.00580E-02      2.35200E-03
              nan            104.0              nan      4.42010E-02      2.21000E-03
              nan            107.0              nan      3.48970E-02      2.07300E-03
              nan            110.0              nan      2.74880E-02      1.89500E-03
              nan            113.0              nan      2.05480E-02      1.54300E-03
              nan            116.0              nan      1.33600E-02      1.30300E-03
              nan            119.0              nan      9.61400E-03      1.03100E-03
              nan            122.0              nan      1.08290E-02      1.09400E-03
              nan            125.0              nan      1.73540E-02      1.34400E-03
              nan            128.0              nan      1.91330E-02      1.33500E-03
              nan            131.0              nan      2.95540E-02      1.50700E-03
              nan            134.0              nan      3.67200E-02      1.84200E-03
              nan            137.0              nan      4.32070E-02      2.18500E-03
              nan            140.0              nan      4.48640E-02      2.22700E-03
              nan            143.0              nan      4.53060E-02      2.23800E-03
              nan            146.0              nan      4.13280E-02      2.13700E-03
              nan            149.0              nan      3.14930E-02      1.86600E-03
              nan            152.0              nan      2.06640E-02      1.51100E-03
              nan            155.0              nan      1.32600E-02      1.21100E-03
              nan            158.0              nan      5.08300E-03      7.49000E-04
              nan            161.0              nan      2.76300E-03      5.53000E-04
              nan            164.0              nan      8.84000E-04      3.13000E-04
              nan            167.0              nan      3.32000E-04      1.91000E-04
              nan            170.0              nan      1.11000E-04      1.11000E-04
