# entry-subent-pointer  : C1410--01-5-0 
# EXFOR reaction        : ['6-C-13', ['3-LI-7,2N'], '9-F-18,PAR,SIG'] 
# incident energy       : 1.96e+00 MeV - 7.79e+00 MeV 
# target                : C-13 
# product               : F-18 
# level energy          : 1.12e+00 MeV 
# MF-MT number          : 3 - ['53'] 
# first author          : B.Dasmahapatra 
# institute             : (1CANLUQ): Laval University, Sainte-Foy, Quebec 
# reference             : (J,NP/A,509,393,1990) 
# year                  : 1990 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C14/C1410.x4 
# nds                   : https://nds.iaea.org/EXFOR/C1410
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.96000E+00      0.00000E+00      3.58000E-05      1.19000E-05
      2.44000E+00      0.00000E+00      3.31000E-04      9.94000E-05
      2.55000E+00      0.00000E+00      4.51000E-04      1.75000E-04
      2.94000E+00      0.00000E+00      1.04000E-03      2.84000E-04
      3.19000E+00      0.00000E+00      1.92000E-03      3.63000E-04
      3.43000E+00      0.00000E+00      2.58000E-03      5.64000E-04
      3.86000E+00      0.00000E+00      4.13000E-03      5.67000E-04
      3.89000E+00      0.00000E+00      5.69000E-03      1.40000E-03
      4.54000E+00      0.00000E+00      7.02000E-03      1.25000E-03
      5.15000E+00      0.00000E+00      1.08000E-02      1.41000E-03
      5.16000E+00      0.00000E+00      9.68000E-03      6.88000E-04
      5.79000E+00      0.00000E+00      1.30000E-02      2.05000E-03
      6.47000E+00      0.00000E+00      1.58000E-02      1.64000E-03
      6.49000E+00      0.00000E+00      1.43000E-02              NAN
      7.15000E+00      0.00000E+00      1.47000E-02      2.17000E-03
      7.79000E+00      0.00000E+00      1.46000E-02      2.60000E-03
