# entry-subent-pointer  : C1354--00-4-0 
# EXFOR reaction        : ['20-CA-40', ['3-LI-7,INL'], '20-CA-40,PAR,DA'] 
# incident energy       : 3.40e+01 MeV 
# target                : Ca-40 
# product               : Ca-40 
# level energy          : 4.49e+00 MeV 
# MF-MT number          : 4 - ['54'] 
# first author          : D.P.Sanderson 
# institute             : (1USAFSU): Florida State University, Tallahassee, FL 
# reference             : (J,PR/C,32,887,1985) 
# year                  : 1985 
# facility              : (VDGT): Tandem van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C13/C1354.x4 
# nds                   : https://nds.iaea.org/EXFOR/C1354
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.05000E+01      0.00000E+00      6.49000E-04              NAN
      2.14000E+01      0.00000E+00      7.68000E-04              NAN
      2.17000E+01      0.00000E+00      5.97000E-04              NAN
      2.24000E+01      0.00000E+00      4.51000E-04              NAN
      2.38000E+01      0.00000E+00      4.21000E-04              NAN
      2.39000E+01      0.00000E+00      2.76000E-04              NAN
      2.65000E+01      0.00000E+00      2.84000E-04              NAN
      2.74000E+01      0.00000E+00      2.47000E-04              NAN
      2.85000E+01      0.00000E+00      2.15000E-04              NAN
      2.98000E+01      0.00000E+00      1.95000E-04              NAN
      3.01000E+01      0.00000E+00      3.14000E-04              NAN
      3.10000E+01      0.00000E+00      1.95000E-04              NAN
      3.24000E+01      0.00000E+00      1.77000E-04              NAN
      3.34000E+01      0.00000E+00      1.79000E-04              NAN
      3.45000E+01      0.00000E+00      2.27000E-04              NAN
      3.55000E+01      0.00000E+00      1.65000E-04              NAN
      3.70000E+01      0.00000E+00      1.92000E-04              NAN
      3.78000E+01      0.00000E+00      1.30000E-04              NAN
      4.09000E+01      0.00000E+00      1.43000E-04              NAN
      4.18000E+01      0.00000E+00      1.47000E-04              NAN
      4.34000E+01      0.00000E+00      1.35000E-04              NAN
      4.45000E+01      0.00000E+00      1.07000E-04              NAN
      4.55000E+01      0.00000E+00      5.71000E-05              NAN
      4.90000E+01      0.00000E+00      4.63000E-05              NAN
      5.05000E+01      0.00000E+00      7.15000E-05              NAN
      5.17000E+01      0.00000E+00      5.40000E-05              NAN
      5.65000E+01      0.00000E+00      3.18000E-05              NAN
      5.74000E+01      0.00000E+00      1.94000E-05              NAN
      5.87000E+01      0.00000E+00      2.09000E-05              NAN
      6.55000E+01      0.00000E+00      5.54000E-06              NAN
      6.70000E+01      0.00000E+00      1.45000E-05              NAN
      7.12000E+01      0.00000E+00      5.78000E-06              NAN
      7.37000E+01      0.00000E+00      3.69000E-06              NAN
      7.55000E+01      0.00000E+00      4.89000E-06              NAN
