# entry-subent-pointer  : J1880--00-2-0 
# EXFOR reaction        : ['4-BE-9', ['PIN,X'], '3-LI-8,,SIG'] 
# incident energy       : 4.30e+02 MeV - 1.77e+03 MeV 
# target                : Be-9 
# product               : Li-8 
# level energy          : - 
# MF-MT number          : 3 - residual 
# first author          : T.Nishi 
# institute             : (2JPNKTO): Kyoto University , Kyoto 
# reference             : (J,NP/A,352,(3),461,198102) 
# year                  : 1981 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/J18/J1880.x4 
# nds                   : https://nds.iaea.org/EXFOR/J1880
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      4.30000E+02      0.00000E+00      9.30000E-03              NAN
      4.80000E+02      0.00000E+00      1.04000E-02              NAN
      5.30000E+02      0.00000E+00      1.02000E-02              NAN
      5.70000E+02      0.00000E+00      1.20000E-02              NAN
      6.20000E+02      0.00000E+00      1.22000E-02              NAN
      6.70000E+02      0.00000E+00      1.20000E-02              NAN
      7.20000E+02      0.00000E+00      1.18000E-02              NAN
      7.70000E+02      0.00000E+00      1.14000E-02              NAN
      8.20000E+02      0.00000E+00      1.21000E-02              NAN
      8.70000E+02      0.00000E+00      1.28000E-02              NAN
      9.20000E+02      0.00000E+00      1.29000E-02              NAN
      9.70000E+02      0.00000E+00      1.23000E-02              NAN
      1.02000E+03      0.00000E+00      1.16000E-02              NAN
      1.07000E+03      0.00000E+00      1.14000E-02              NAN
      1.17000E+03      0.00000E+00      9.40000E-03              NAN
      1.27000E+03      0.00000E+00      9.70000E-03              NAN
      1.37000E+03      0.00000E+00      9.20000E-03              NAN
      1.47000E+03      0.00000E+00      8.60000E-03              NAN
      1.57000E+03      0.00000E+00      9.30000E-03              NAN
      1.67000E+03      0.00000E+00      9.00000E-03              NAN
      1.77000E+03      0.00000E+00      1.00000E-02              NAN
