# entry-subent-pointer  : 22794-071-0 
# EXFOR reaction        : (47-AG-0(N,X)45-RH-101-M,CUM,SIG,,,DERIV) 
# incident energy       : 1.0000e+00 MeV - 1.8000e+02 MeV 
# target                : Ag-0 
# product               : Rh-101-M 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Michel 
# institute             : (2GERUH): University Hannover (previously Tech.University Hannover) 
# reference             : (J,NIM/B,343,30,2015) 
# year                  : 2015 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/227/22794.x4 
# nds                   : https://nds.iaea.org/EXFOR/22794
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.0000E+00        0.0000E+00        0.0000E+00        0.0000E+00
        2.0000E+00        0.0000E+00        0.0000E+00        0.0000E+00
        3.0000E+00        0.0000E+00        0.0000E+00        0.0000E+00
        4.0000E+00        0.0000E+00        0.0000E+00        0.0000E+00
        5.0000E+00        0.0000E+00        0.0000E+00        0.0000E+00
        6.0000E+00        0.0000E+00        0.0000E+00        0.0000E+00
        7.0000E+00        0.0000E+00        0.0000E+00        0.0000E+00
        8.0000E+00        0.0000E+00        0.0000E+00        0.0000E+00
        9.0000E+00        0.0000E+00        0.0000E+00        0.0000E+00
        1.0000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        1.1000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        1.2000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        1.3000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        1.4000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        1.5000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        1.6000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        1.7000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        1.8000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        1.9000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        2.0000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        2.1000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        2.2000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        2.3000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        2.4000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        2.5000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        2.6000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        2.7000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        2.8000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        2.9000E+01        0.0000E+00        0.0000E+00        0.0000E+00
        3.0000E+01        0.0000E+00        3.2900E-06        7.0200E-07
        3.1000E+01        0.0000E+00        1.7600E-05        3.6600E-06
        3.2000E+01        0.0000E+00        5.9200E-05        1.1900E-05
        3.3000E+01        0.0000E+00        2.0500E-04        3.9900E-05
        3.4000E+01        0.0000E+00        5.5700E-04        1.0500E-04
        3.5000E+01        0.0000E+00        1.2200E-03        2.2500E-04
        3.6000E+01        0.0000E+00        2.3000E-03        4.1200E-04
        3.7000E+01        0.0000E+00        4.0400E-03        7.0700E-04
        3.8000E+01        0.0000E+00        5.7800E-03        9.8800E-04
        3.9000E+01        0.0000E+00        8.5200E-03        1.4200E-03
        4.0000E+01        0.0000E+00        1.1000E-02        1.8100E-03
        4.1000E+01        0.0000E+00        1.3600E-02        2.1900E-03
        4.2000E+01        0.0000E+00        1.6800E-02        2.6500E-03
        4.3000E+01        0.0000E+00        1.9500E-02        2.9900E-03
        4.4000E+01        0.0000E+00        2.1800E-02        3.2300E-03
        4.5000E+01        0.0000E+00        2.4000E-02        3.4700E-03
        4.6000E+01        0.0000E+00        2.5800E-02        3.8000E-03
        4.7000E+01        0.0000E+00        2.6700E-02        4.1100E-03
        4.8000E+01        0.0000E+00        2.7300E-02        4.3700E-03
        4.9000E+01        0.0000E+00        2.7400E-02        4.5200E-03
        5.0000E+01        0.0000E+00        2.7900E-02        4.7100E-03
        5.1000E+01        0.0000E+00        2.7600E-02        4.7700E-03
        5.2000E+01        0.0000E+00        2.7200E-02        4.8400E-03
        5.3000E+01        0.0000E+00        2.5900E-02        4.7400E-03
        5.4000E+01        0.0000E+00        2.5000E-02        4.7100E-03
        5.5000E+01        0.0000E+00        2.4100E-02        4.6900E-03
        5.6000E+01        0.0000E+00        2.3600E-02        4.7300E-03
