# entry-subent-pointer  : V0002-016-0 
# EXFOR reaction        : (13-AL-27(N,A)11-NA-24,,SIG,,,EVAL) 
# incident energy       : 4.9000e+00 MeV - 1.7500e+01 MeV 
# target                : Al-27 
# product               : Na-24 
# level energy          : - 
# MF-MT number          : 3 - 107 
# first author          : Lapenas 
# institute             : (4LATIFL): Institute Fiziki Latviyskoi A.N., Riga 
# reference             : (B,LAPENAS,,,1975) 
# year                  : 1975 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/V00/V0002.x4 
# nds                   : https://nds.iaea.org/EXFOR/V0002
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        4.9000E+00        0.0000E+00        7.4000E-05        1.7000E-05
        5.0000E+00        0.0000E+00        9.3000E-05        4.6000E-05
        5.1000E+00        0.0000E+00        1.0400E-04        5.2000E-05
        5.2000E+00        0.0000E+00        1.1200E-04        6.3000E-05
        5.3000E+00        0.0000E+00        1.1900E-04        5.7000E-05
        5.4000E+00        0.0000E+00        1.2600E-04        4.6000E-05
        5.5000E+00        0.0000E+00        1.7900E-04        4.5000E-05
        5.6000E+00        0.0000E+00        2.9900E-04        6.0000E-05
        5.7000E+00        0.0000E+00        5.0300E-04        5.6000E-05
        5.8000E+00        0.0000E+00        8.0500E-04        1.1800E-04
        5.9000E+00        0.0000E+00        1.2900E-03        1.5000E-04
        6.0000E+00        0.0000E+00        1.7600E-03        1.8000E-04
        6.1000E+00        0.0000E+00        2.4300E-03        2.2000E-04
        6.2000E+00        0.0000E+00        3.2400E-03        2.5000E-04
        6.3000E+00        0.0000E+00        4.1900E-03        2.9000E-04
        6.4000E+00        0.0000E+00        5.2900E-03        3.3000E-04
        6.5000E+00        0.0000E+00        6.5400E-03        3.7000E-04
        6.6000E+00        0.0000E+00        7.9500E-03        4.2000E-04
        6.7000E+00        0.0000E+00        9.5000E-03        4.7000E-04
        6.8000E+00        0.0000E+00        1.1200E-02        5.0000E-04
        6.9000E+00        0.0000E+00        1.3100E-02        5.0000E-04
        7.0000E+00        0.0000E+00        1.5100E-02        6.0000E-04
        7.1000E+00        0.0000E+00        1.7200E-02        7.0000E-04
        7.2000E+00        0.0000E+00        1.9500E-02        8.0000E-04
        7.3000E+00        0.0000E+00        2.1900E-02        9.0000E-04
        7.4000E+00        0.0000E+00        2.4400E-02        1.0000E-03
        7.5000E+00        0.0000E+00        2.7000E-02        1.2000E-03
        7.6000E+00        0.0000E+00        2.9700E-02        1.3000E-03
        7.7000E+00        0.0000E+00        3.2500E-02        1.4000E-03
        7.8000E+00        0.0000E+00        3.5400E-02        1.6000E-03
        7.9000E+00        0.0000E+00        3.8400E-02        1.7000E-03
        8.0000E+00        0.0000E+00        4.1500E-02        1.8000E-03
        8.1000E+00        0.0000E+00        4.4600E-02        1.9000E-03
        8.2000E+00        0.0000E+00        4.7700E-02        2.1000E-03
        8.3000E+00        0.0000E+00        5.0900E-02        2.2000E-03
        8.4000E+00        0.0000E+00        5.4100E-02        2.3000E-03
        8.5000E+00        0.0000E+00        5.7300E-02        2.5000E-03
        8.6000E+00        0.0000E+00        6.0500E-02        2.6000E-03
        8.7000E+00        0.0000E+00        6.3700E-02        2.7000E-03
        8.8000E+00        0.0000E+00        6.6900E-02        2.8000E-03
        8.9000E+00        0.0000E+00        7.0100E-02        2.9000E-03
        9.0000E+00        0.0000E+00        7.3200E-02        3.0000E-03
        9.1000E+00        0.0000E+00        7.5200E-02        3.1000E-03
        9.2000E+00        0.0000E+00        7.6900E-02        3.2000E-03
        9.3000E+00        0.0000E+00        7.9700E-02        3.3000E-03
        9.4000E+00        0.0000E+00        8.0700E-02        3.3000E-03
        9.5000E+00        0.0000E+00        8.2000E-02        3.4000E-03
        9.6000E+00        0.0000E+00        8.3400E-02        3.4000E-03
        9.7000E+00        0.0000E+00        8.6000E-02        3.5000E-03
        9.8000E+00        0.0000E+00        8.7100E-02        3.5000E-03
        9.9000E+00        0.0000E+00        8.8700E-02        3.5000E-03
        1.0000E+01        0.0000E+00        9.1000E-02        3.4000E-03
        1.0100E+01        0.0000E+00        9.2200E-02        3.4000E-03
        1.0200E+01        0.0000E+00        9.3400E-02        3.3000E-03
        1.0300E+01        0.0000E+00        9.5400E-02        3.3000E-03
        1.0400E+01        0.0000E+00        9.7300E-02        3.3000E-03
        1.0500E+01        0.0000E+00        9.9300E-02        3.2000E-03
        1.0600E+01        0.0000E+00        1.0100E-01        3.0000E-03
        1.0700E+01        0.0000E+00        1.0200E-01        3.0000E-03
        1.0800E+01        0.0000E+00        1.0400E-01        3.0000E-03
        1.0900E+01        0.0000E+00        1.0600E-01        3.0000E-03
        1.1000E+01        0.0000E+00        1.0700E-01        3.0000E-03
        1.1100E+01        0.0000E+00        1.0900E-01        3.0000E-03
        1.1200E+01        0.0000E+00        1.1000E-01        3.0000E-03
        1.1300E+01        0.0000E+00        1.1200E-01        3.0000E-03
        1.1400E+01        0.0000E+00        1.1300E-01        3.0000E-03
        1.1500E+01        0.0000E+00        1.1400E-01        3.0000E-03
        1.1600E+01        0.0000E+00        1.1500E-01        2.0000E-03
        1.1700E+01        0.0000E+00        1.1700E-01        2.0000E-03
        1.1800E+01        0.0000E+00        1.1800E-01        2.0000E-03
        1.1900E+01        0.0000E+00        1.1900E-01        2.0000E-03
        1.2000E+01        0.0000E+00        1.2000E-01        2.0000E-03
        1.2100E+01        0.0000E+00        1.2100E-01        1.0000E-03
        1.2200E+01        0.0000E+00        1.2200E-01        1.0000E-03
        1.2300E+01        0.0000E+00        1.2200E-01        1.0000E-03
        1.2400E+01        0.0000E+00        1.2300E-01        1.0000E-03
        1.2500E+01        0.0000E+00        1.2400E-01        1.0000E-03
        1.2600E+01        0.0000E+00        1.2400E-01        1.0000E-03
        1.2700E+01        0.0000E+00        1.2400E-01        1.0000E-03
        1.2800E+01        0.0000E+00        1.2400E-01        1.0000E-03
        1.2900E+01        0.0000E+00        1.2400E-01        1.0000E-03
        1.3000E+01        0.0000E+00        1.2400E-01        1.0000E-03
        1.3100E+01        0.0000E+00        1.2400E-01        1.0000E-03
        1.3200E+01        0.0000E+00        1.2400E-01        1.0000E-03
        1.3300E+01        0.0000E+00        1.2400E-01        1.0000E-03
        1.3400E+01        0.0000E+00        1.2300E-01        1.0000E-03
        1.3500E+01        0.0000E+00        1.2300E-01        1.0000E-03
        1.3600E+01        0.0000E+00        1.2200E-01        1.0000E-03
        1.3700E+01        0.0000E+00        1.2200E-01        1.0000E-03
        1.3800E+01        0.0000E+00        1.2100E-01        1.0000E-03
        1.3900E+01        0.0000E+00        1.2000E-01        1.0000E-03
        1.4000E+01        0.0000E+00        1.1900E-01        1.0000E-03
        1.4100E+01        0.0000E+00        1.1800E-01        1.0000E-03
        1.4200E+01        0.0000E+00        1.1700E-01        1.0000E-03
        1.4300E+01        0.0000E+00        1.1600E-01        1.0000E-03
        1.4400E+01        0.0000E+00        1.1500E-01        1.0000E-03
        1.4500E+01        0.0000E+00        1.1300E-01        1.0000E-03
        1.4600E+01        0.0000E+00        1.1100E-01        1.0000E-03
        1.4700E+01        0.0000E+00        1.1000E-01        1.0000E-03
        1.4800E+01        0.0000E+00        1.0900E-01        1.0000E-03
        1.4900E+01        0.0000E+00        1.0700E-01        1.0000E-03
        1.5000E+01        0.0000E+00        1.0600E-01        1.0000E-03
        1.5100E+01        0.0000E+00        1.0500E-01        1.0000E-03
        1.5200E+01        0.0000E+00        1.0300E-01        1.0000E-03
        1.5300E+01        0.0000E+00        1.0200E-01        1.0000E-03
        1.5400E+01        0.0000E+00        1.0000E-01        2.0000E-03
        1.5500E+01        0.0000E+00        9.8700E-02        1.6000E-03
        1.5600E+01        0.0000E+00        9.7100E-02        1.7000E-03
        1.5700E+01        0.0000E+00        9.5600E-02        1.7000E-03
        1.5800E+01        0.0000E+00        9.4000E-02        1.8000E-03
        1.5900E+01        0.0000E+00        9.2400E-02        1.9000E-03
        1.6000E+01        0.0000E+00        9.0800E-02        2.0000E-03
        1.6100E+01        0.0000E+00        8.9200E-02        2.1000E-03
        1.6200E+01        0.0000E+00        8.7500E-02        2.3000E-03
        1.6300E+01        0.0000E+00        8.5900E-02        2.4000E-03
        1.6400E+01        0.0000E+00        8.4300E-02        2.5000E-03
        1.6500E+01        0.0000E+00        8.2800E-02        2.5000E-03
        1.6600E+01        0.0000E+00        8.1200E-02        2.6000E-03
