# entry-subent-pointer  : 10106-025-0 
# EXFOR reaction        : ['13-AL-27', ['N,EL'], '13-AL-27,,DA'] 
# incident energy       : 7.54e+00 MeV 
# target                : Al-27 
# product               : Al-27 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : W.E.Kinney 
# institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
# reference             : (R,ORNL-4516,197010) 
# year                  : 1970 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/101/10106.x4 
# nds                   : https://nds.iaea.org/EXFOR/10106
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.55500E+01      0.00000E+00      6.41120E-01      0.00000E+00
      2.33200E+01      0.00000E+00      4.55610E-01      0.00000E+00
      2.59000E+01      0.00000E+00      3.83760E-01      0.00000E+00
      3.10600E+01      0.00000E+00      3.03850E-01      0.00000E+00
      4.13700E+01      0.00000E+00      1.17400E-01      0.00000E+00
      4.65000E+01      0.00000E+00      7.03300E-02      0.00000E+00
      5.16300E+01      0.00000E+00      4.78300E-02      0.00000E+00
      5.16300E+01      0.00000E+00      4.42800E-02      0.00000E+00
      6.18500E+01      0.00000E+00      2.47600E-02      0.00000E+00
      6.79400E+01      0.00000E+00      2.14400E-02      0.00000E+00
      7.40200E+01      0.00000E+00      1.99200E-02      0.00000E+00
      8.21000E+01      0.00000E+00      2.39800E-02      0.00000E+00
      9.21300E+01      0.00000E+00      1.82500E-02      0.00000E+00
      9.41300E+01      0.00000E+00      1.74600E-02      0.00000E+00
      1.04080E+02      0.00000E+00      1.21700E-02      0.00000E+00
      1.15950E+02      0.00000E+00      1.05500E-02      0.00000E+00
      1.21350E+02      0.00000E+00      1.21700E-02      0.00000E+00
      1.28700E+02      0.00000E+00      1.55300E-02      0.00000E+00
      1.36020E+02      0.00000E+00      2.16100E-02      0.00000E+00
