# entry-subent-pointer  : 41014-003-0 
# EXFOR reaction        : ['13-AL-27', ['N,INL'], '13-AL-27,PAR,SIG'] 
# incident energy       : 1.1200e+00 MeV - 1.6000e+00 MeV 
# target                : Al-27 
# product               : Al-27 
# level energy          : 1.0130e+00 MeV 
# MF-MT number          : 3 - 52 
# first author          : Ya.M.Kramarovskiy 
# institute             : (4RUSRI): Khlopin Radievij Institute , St.Petersburg 
# reference             : ((J,YK,,(1),30,1989)=(R,INDC(CCP)-300,30,1989)) 
# year                  : 1989 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/410/41014.x4 
# nds                   : https://nds.iaea.org/EXFOR/41014
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.12000E+00      1.00000E-02      0.00000E+00      0.00000E+00
      1.13000E+00      1.00000E-02      1.10000E-02      5.00000E-03
      1.14000E+00      1.00000E-02      2.10000E-02      5.00000E-03
      1.15000E+00      1.00000E-02      2.80000E-02      6.00000E-03
      1.16000E+00      1.00000E-02      4.70000E-02      7.00000E-03
      1.18000E+00      1.00000E-02      9.40000E-02      9.00000E-03
      1.19000E+00      1.00000E-02      1.12000E-01      1.00000E-02
      1.20000E+00      1.00000E-02      1.03000E-01      1.00000E-02
      1.21000E+00      1.00000E-02      1.01000E-01      1.00000E-02
      1.22000E+00      1.00000E-02      8.80000E-02      9.00000E-03
      1.23000E+00      1.00000E-02      1.23000E-01      1.00000E-02
      1.24000E+00      1.00000E-02      9.00000E-02      9.00000E-03
      1.25000E+00      1.00000E-02      1.32000E-01      1.10000E-02
      1.26000E+00      1.00000E-02      1.16000E-01      1.00000E-02
      1.27000E+00      1.00000E-02      1.25000E-01      1.10000E-02
      1.28000E+00      1.00000E-02      1.67000E-01      1.20000E-02
      1.29000E+00      1.00000E-02      1.70000E-01      1.20000E-02
      1.30000E+00      1.00000E-02      1.52000E-01      1.20000E-02
      1.31000E+00      1.00000E-02      1.41000E-01      1.00000E-02
      1.32000E+00      1.00000E-02      1.08000E-01      1.00000E-02
      1.33000E+00      1.00000E-02      1.12000E-01      1.10000E-02
      1.34000E+00      1.00000E-02      6.50000E-02      7.00000E-03
      1.35000E+00      1.00000E-02      1.01000E-01      1.00000E-02
      1.36000E+00      1.00000E-02      1.00000E-01      1.00000E-02
      1.37000E+00      1.00000E-02      1.23000E-01      1.10000E-02
      1.38000E+00      1.00000E-02      1.10000E-01      1.10000E-02
      1.39000E+00      1.00000E-02      1.07000E-01      1.00000E-02
      1.40000E+00      1.00000E-02      7.20000E-02      8.00000E-03
      1.41000E+00      1.00000E-02      6.20000E-02      7.00000E-03
      1.42000E+00      1.00000E-02      5.80000E-02      6.00000E-03
      1.43000E+00      1.00000E-02      6.90000E-02      7.00000E-03
      1.44000E+00      1.00000E-02      8.80000E-02      9.00000E-03
      1.45000E+00      1.00000E-02      9.40000E-02      9.00000E-03
      1.46000E+00      1.00000E-02      1.20000E-01      1.10000E-02
      1.47000E+00      1.00000E-02      1.52000E-01      1.30000E-02
      1.48000E+00      1.00000E-02      2.02000E-01      1.50000E-02
      1.49000E+00      1.00000E-02      1.74000E-01      1.40000E-02
      1.51000E+00      1.00000E-02      1.30000E-01      1.20000E-02
      1.52000E+00      1.00000E-02      1.41000E-01      1.20000E-02
      1.53000E+00      1.00000E-02      1.32000E-01      1.20000E-02
      1.54000E+00      1.00000E-02      1.34000E-01      1.40000E-02
      1.55000E+00      1.00000E-02      1.59000E-01      1.50000E-02
      1.56000E+00      1.00000E-02      2.03000E-01      1.60000E-02
      1.57000E+00      1.00000E-02      2.64000E-01      1.70000E-02
      1.58000E+00      1.00000E-02      2.97000E-01      1.80000E-02
      1.59000E+00      1.00000E-02      2.24000E-01      1.60000E-02
      1.60000E+00      1.00000E-02      1.77000E-01      1.40000E-02
