# entry-subent-pointer  : 20958--01-2-0 
# EXFOR reaction        : ['13-AL-27', ['N,INL'], '13-AL-27,PAR,DA'] 
# incident energy       : 3.99e+00 MeV 
# target                : Al-27 
# product               : Al-27 
# level energy          : 2.21e+00 MeV 
# MF-MT number          : 4 - ['53'] 
# first author          : J.H.Towle 
# institute             : (2UK ALD): Atomic Weapons Establishment (AWE), Aldermaston 
# reference             : (J,NP,39,300,196212) 
# year                  : 1962 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/209/20958.x4 
# nds                   : https://nds.iaea.org/EXFOR/20958
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
     -7.53000E-01      0.00000E+00      1.58000E-02      1.00000E-03
     -6.11000E-01      0.00000E+00      1.49000E-02      9.00000E-04
     -3.93000E-01      0.00000E+00      1.40000E-02      1.00000E-03
     -2.28000E-01      0.00000E+00      1.41000E-02      1.00000E-03
     -5.80000E-02      0.00000E+00      1.57000E-02      1.00000E-03
      1.19000E-01      0.00000E+00      1.57000E-02      1.10000E-03
      2.90000E-01      0.00000E+00      1.38000E-02      1.00000E-03
      4.57000E-01      0.00000E+00      1.58000E-02      1.00000E-03
      6.09000E-01      0.00000E+00      1.51000E-02      1.00000E-03
      7.41000E-01      0.00000E+00      1.85000E-02      1.50000E-03
      8.51000E-01      0.00000E+00      1.61000E-02      1.50000E-03
