# entry-subent-pointer  : 20343-004-0 
# EXFOR reaction        : ['13-AL-27', ['N,INL'], '13-AL-27,PAR,DA'] 
# incident energy       : 4.8100e+00 MeV - 7.0200e+00 MeV 
# target                : Al-27 
# product               : Al-27 
# level energy          : 3.0010e+00 MeV 
# MF-MT number          : 4 - 55 
# first author          : S.Tanaka 
# institute             : (2JPNJAE): Japan Atomic Energy Agency (JAEA) 
# reference             : (C,70HELSINKI,2,317,1969) 
# year                  : 1969 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/203/20343.x4 
# nds                   : https://nds.iaea.org/EXFOR/20343
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
     -8.65000E-01      0.00000E+00      2.13000E-02      1.00000E-03
     -7.91000E-01      0.00000E+00      1.98000E-02      1.00000E-03
     -6.79000E-01      0.00000E+00      2.06000E-02      1.00000E-03
     -5.46000E-01      0.00000E+00      1.98000E-02      1.00000E-03
     -3.96000E-01      0.00000E+00      1.86000E-02      8.00000E-04
     -2.34000E-01      0.00000E+00      1.79000E-02      6.00000E-04
     -6.20000E-02      0.00000E+00      1.78000E-02      4.00000E-04
      1.13000E-01      0.00000E+00      1.75000E-02      4.00000E-04
      2.86000E-01      0.00000E+00      1.61000E-02      5.00000E-04
      4.53000E-01      0.00000E+00      1.76000E-02      4.00000E-04
      6.05000E-01      0.00000E+00      1.72000E-02      5.00000E-04
      7.40000E-01      0.00000E+00      1.88000E-02      6.00000E-04
      8.50000E-01      0.00000E+00      1.96000E-02      6.00000E-04
     -8.63000E-01      0.00000E+00      1.39000E-02      7.00000E-04
     -7.88000E-01      0.00000E+00      1.46000E-02      7.00000E-04
     -6.74000E-01      0.00000E+00      1.42000E-02      7.00000E-04
     -5.40000E-01      0.00000E+00      1.45000E-02      3.00000E-04
     -3.88000E-01      0.00000E+00      1.29000E-02      4.00000E-04
     -2.25000E-01      0.00000E+00      1.35000E-02      4.00000E-04
     -5.40000E-02      0.00000E+00      1.37000E-02      4.00000E-04
      1.21000E-01      0.00000E+00      1.34000E-02      3.00000E-04
      3.01000E-01      0.00000E+00      1.59000E-02      4.00000E-04
      4.59000E-01      0.00000E+00      1.75000E-02      1.50000E-03
      6.11000E-01      0.00000E+00      1.91000E-02      9.00000E-04
      7.45000E-01      0.00000E+00      1.98000E-02      1.20000E-03
      8.52000E-01      0.00000E+00      1.96000E-02      1.00000E-03
     -8.62000E-01      0.00000E+00      1.19000E-02      1.20000E-03
     -7.86000E-01      0.00000E+00      1.35000E-02      1.20000E-03
     -6.71000E-01      0.00000E+00      1.29000E-02      1.00000E-03
     -5.37000E-01      0.00000E+00      1.34000E-02      9.00000E-04
     -3.85000E-01      0.00000E+00      1.22000E-02      9.00000E-04
     -2.22000E-01      0.00000E+00      1.34000E-02      7.00000E-04
     -5.00000E-02      0.00000E+00      1.29000E-02      7.00000E-04
      1.25000E-01      0.00000E+00      1.32000E-02      1.00000E-03
      2.98000E-01      0.00000E+00      1.33000E-02      9.00000E-04
      4.62000E-01      0.00000E+00      1.36000E-02      1.00000E-03
      6.13000E-01      0.00000E+00      1.40000E-02      9.00000E-04
      7.45000E-01      0.00000E+00      1.33000E-02      1.00000E-03
      8.53000E-01      0.00000E+00      1.34000E-02      1.00000E-03
