# entry-subent-pointer  : 11494-004-0 
# EXFOR reaction        : ['13-AL-27', ['N,P'], '12-MG-27,,SIG'] 
# incident energy       : 1.24e+01 MeV - 1.77e+01 MeV 
# target                : Al-27 
# product               : Mg-27 
# level energy          : - 
# MF-MT number          : 3 - 103 
# first author          : F.Gabbard 
# institute             : (1USAKTY): University of Kentucky, Lexington, KY 
# reference             : (J,PR,128,1276,1962) 
# year                  : 1962 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/114/11494.x4 
# nds                   : https://nds.iaea.org/EXFOR/11494
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.24000E+01      0.00000E+00      6.20000E-02      8.00000E-03
      1.29000E+01      0.00000E+00      6.20000E-02      4.00000E-03
      1.31000E+01      0.00000E+00      5.80000E-02      6.00000E-03
      1.37000E+01      0.00000E+00      5.80000E-02      4.00000E-03
      1.44000E+01      0.00000E+00      4.20000E-02      0.00000E+00
      1.44500E+01      0.00000E+00      4.50000E-02      0.00000E+00
      1.49000E+01      0.00000E+00      4.60000E-02      8.00000E-03
      1.54500E+01      0.00000E+00      4.20000E-02      6.00000E-03
      1.59500E+01      0.00000E+00      3.00000E-02      6.00000E-03
      1.64000E+01      0.00000E+00      2.90000E-02      6.00000E-03
      1.65000E+01      0.00000E+00      2.90000E-02      4.00000E-03
      1.68000E+01      0.00000E+00      3.60000E-02      8.00000E-03
      1.74000E+01      0.00000E+00      2.60000E-02      6.00000E-03
      1.77000E+01      0.00000E+00      1.00000E-02      6.00000E-03
