# entry-subent-pointer  : 22073--00-2-0 
# EXFOR reaction        : ['95-AM-241', ['N,F'], 'MASS,CHN,FY,,SPA'] 
# incident energy       : 2.53e-08 MeV 
# target                : Am-241 
# product               : 88.0 <= mass <= 157.0 
# level energy          : - 
# MF-MT number          : 8 - 459 
# first author          : W.Weinlaender 
# institute             : (2GERMUN): Technische Universitaet Muenchen 
# reference             : (J,RCA,17,18,1972) 
# year                  : 1972 
# facility              : (REAC): Reactor 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/220/22073.x4 
# nds                   : https://nds.iaea.org/EXFOR/22073
#
# Charge(No Dim.)    Mass(No Dim.)  Isomer(No Dim.)    Yield(%/fiss)   dYield(%/fiss)
              nan             88.0              nan      7.50000E-03      9.00000E-04
              nan             89.0              nan      1.00000E-02      2.00000E-03
              nan             91.0              nan      1.72000E-02      2.10000E-03
              nan             92.0              nan      2.06000E-02      1.90000E-03
              nan             93.0              nan      2.60000E-02      2.50000E-03
              nan             95.0              nan      4.88000E-02      2.90000E-03
              nan             97.0              nan      5.25000E-02      1.80000E-03
              nan             99.0              nan      6.40000E-02      1.80000E-03
              nan            103.0              nan      6.55000E-02      4.00000E-03
              nan            105.0              nan      6.10000E-02      2.50000E-03
              nan            109.0              nan      2.05000E-02      2.50000E-03
              nan            111.0              nan      9.00000E-03      5.00000E-04
              nan            112.0              nan      4.40000E-03      1.20000E-03
              nan            113.0              nan      1.90000E-03      4.00000E-04
              nan            129.0              nan      1.55000E-02      2.40000E-03
              nan            131.0              nan      3.58000E-02      2.10000E-03
              nan            132.0              nan      4.53000E-02      1.90000E-03
              nan            133.0              nan      5.82000E-02      2.40000E-03
              nan            134.0              nan      6.05000E-02      5.50000E-03
              nan            135.0              nan      6.84000E-02      2.30000E-03
              nan            137.0              nan      6.95000E-02      3.20000E-03
              nan            138.0              nan      6.85000E-02      5.00000E-03
              nan            139.0              nan      6.21000E-02      2.90000E-03
              nan            140.0              nan      6.00000E-02      1.50000E-03
              nan            141.0              nan      5.15000E-02      3.10000E-03
              nan            142.0              nan      4.70000E-02      5.00000E-03
              nan            143.0              nan      3.96000E-02      2.90000E-03
              nan            144.0              nan      3.72000E-02      3.00000E-03
              nan            145.0              nan      3.00000E-02      4.50000E-03
              nan            147.0              nan      1.95000E-02      2.00000E-03
              nan            149.0              nan      1.20000E-02      2.10000E-03
              nan            151.0              nan      8.00000E-03      2.00000E-03
              nan            153.0              nan      5.40000E-03      1.10000E-03
              nan            156.0              nan      2.00000E-03      5.00000E-04
              nan            157.0              nan      1.50000E-03      4.00000E-04
