# entry-subent-pointer  : 12196-002-0 
# EXFOR reaction        : (79-AU-197(N,G)79-AU-198,,SIG) 
# incident energy       : 8.6000e-06 MeV - 3.5000e-02 MeV 
# target                : Au-197 
# product               : Au-198 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : Haddad 
# institute             : (1USAGA): Gulf Energy and Environmental Systems, San Diego, CA 
# reference             : (J,NIM,31,125,64) 
# year                  : 1964 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/121/12196.x4 
# nds                   : https://nds.iaea.org/EXFOR/12196
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        8.6000E-06        0.0000E+00        1.0500E+01        0.0000E+00
        9.0000E-06        0.0000E+00        7.9000E+00        0.0000E+00
        9.5000E-06        0.0000E+00        5.9000E+00        0.0000E+00
        1.0000E-05        0.0000E+00        5.4000E+00        0.0000E+00
        1.0400E-05        0.0000E+00        4.7500E+00        0.0000E+00
        1.0800E-05        0.0000E+00        3.6500E+00        0.0000E+00
        1.1800E-05        0.0000E+00        3.2900E+00        0.0000E+00
        1.2800E-05        0.0000E+00        2.0800E+00        0.0000E+00
        1.3900E-05        0.0000E+00        2.2600E+00        0.0000E+00
        1.5800E-05        0.0000E+00        1.5900E+00        0.0000E+00
        1.7800E-05        0.0000E+00        1.1800E+00        0.0000E+00
        1.9800E-05        0.0000E+00        9.4000E-01        0.0000E+00
        2.2300E-05        0.0000E+00        7.3000E-01        0.0000E+00
        3.5000E-05        0.0000E+00        6.1000E-01        0.0000E+00
        3.9600E-05        0.0000E+00        8.6000E-01        0.0000E+00
        4.4000E-05        0.0000E+00        1.1000E+00        0.0000E+00
        4.5500E-05        0.0000E+00        1.3400E+00        0.0000E+00
        4.6000E-05        0.0000E+00        5.4500E+00        0.0000E+00
        4.6500E-05        0.0000E+00        1.0020E+01        0.0000E+00
        4.6900E-05        0.0000E+00        2.1300E+00        0.0000E+00
        4.7500E-05        0.0000E+00        1.1300E+00        0.0000E+00
        4.8500E-05        0.0000E+00        1.0300E+00        0.0000E+00
        5.0500E-05        0.0000E+00        1.6800E+00        0.0000E+00
        5.1600E-05        0.0000E+00        1.9300E+00        0.0000E+00
        5.3500E-05        0.0000E+00        2.7400E+00        0.0000E+00
        5.5500E-05        0.0000E+00        5.3500E+00        0.0000E+00
        5.6400E-05        0.0000E+00        8.2000E+00        0.0000E+00
        5.7500E-05        0.0000E+00        2.9000E+01        0.0000E+00
        5.8500E-05        0.0000E+00        1.4800E+02        0.0000E+00
        5.9000E-05        0.0000E+00        4.4000E+01        0.0000E+00
        5.9900E-05        0.0000E+00        2.0300E+03        0.0000E+00
        6.1000E-05        0.0000E+00        5.9000E+02        0.0000E+00
        6.2000E-05        0.0000E+00        2.6000E+01        0.0000E+00
        6.2000E-05        0.0000E+00        7.8000E+01        0.0000E+00
        6.2000E-05        0.0000E+00        2.6000E+01        0.0000E+00
        6.2000E-05        0.0000E+00        7.8000E+01        0.0000E+00
        6.3000E-05        0.0000E+00        1.1700E+01        0.0000E+00
        6.3500E-05        0.0000E+00        7.4000E+00        0.0000E+00
        6.4000E-05        0.0000E+00        4.1500E+00        0.0000E+00
        6.4500E-05        0.0000E+00        3.2500E+00        0.0000E+00
        6.7500E-05        0.0000E+00        1.7300E+00        0.0000E+00
        6.9500E-05        0.0000E+00        1.2700E+00        0.0000E+00
        7.2000E-05        0.0000E+00        1.1300E+00        0.0000E+00
        7.3500E-05        0.0000E+00        1.5800E+00        0.0000E+00
        7.4500E-05        0.0000E+00        1.8300E+00        0.0000E+00
        7.5500E-05        0.0000E+00        2.1800E+00        0.0000E+00
        7.6500E-05        0.0000E+00        3.9000E+00        0.0000E+00
        7.8500E-05        0.0000E+00        1.3500E+02        0.0000E+00
        7.9500E-05        0.0000E+00        1.4900E+02        0.0000E+00
        7.9600E-05        0.0000E+00        8.9000E+00        0.0000E+00
        8.0500E-05        0.0000E+00        2.5300E+00        0.0000E+00
        8.3000E-05        0.0000E+00        5.9500E-01        0.0000E+00
        8.5500E-05        0.0000E+00        4.1000E-01        0.0000E+00
        8.9000E-05        0.0000E+00        6.2800E-01        0.0000E+00
        9.3500E-05        0.0000E+00        6.3500E-01        0.0000E+00
        9.7000E-05        0.0000E+00        3.9500E-01        0.0000E+00
        1.0000E-04        0.0000E+00        7.9000E-01        0.0000E+00
        1.0200E-04        0.0000E+00        2.0300E+00        0.0000E+00
        1.0300E-04        0.0000E+00        1.0000E+02        0.0000E+00
        1.0600E-04        0.0000E+00        1.0400E+01        0.0000E+00
        1.0900E-04        0.0000E+00        1.6300E+00        0.0000E+00
        1.1100E-04        0.0000E+00        4.0500E-01        0.0000E+00
        1.1800E-04        0.0000E+00        4.8500E-01        0.0000E+00
        1.1900E-04        0.0000E+00        8.8000E+00        0.0000E+00
        1.2300E-04        0.0000E+00        5.1000E-01        0.0000E+00
        1.2550E-04        0.0000E+00        3.5400E-01        0.0000E+00
        1.3200E-04        0.0000E+00        7.5000E-01        0.0000E+00
        1.3800E-04        0.0000E+00        1.0300E+00        0.0000E+00
        1.4100E-04        0.0000E+00        3.1500E+01        0.0000E+00
        1.4300E-04        0.0000E+00        2.6900E+00        0.0000E+00
        1.4600E-04        0.0000E+00        6.9800E+00        0.0000E+00
        1.4800E-04        0.0000E+00        8.1000E+01        0.0000E+00
        1.5200E-04        0.0000E+00        2.8500E+00        0.0000E+00
        1.5500E-04        0.0000E+00        1.1300E+00        0.0000E+00
        1.5800E-04        0.0000E+00        3.6800E+00        0.0000E+00
        1.5850E-04        0.0000E+00        1.1000E+02        0.0000E+00
        1.6200E-04        0.0000E+00        3.0500E+01        0.0000E+00
        1.6700E-04        0.0000E+00        1.4800E+00        0.0000E+00
        1.7700E-04        0.0000E+00        6.1500E-01        0.0000E+00
        1.8400E-04        0.0000E+00        1.6800E+00        0.0000E+00
        1.8450E-04        0.0000E+00        6.4600E+01        0.0000E+00
        1.9100E-04        0.0000E+00        2.2400E+00        0.0000E+00
        1.9400E-04        0.0000E+00        5.1500E-01        0.0000E+00
        1.9800E-04        0.0000E+00        6.7000E-01        0.0000E+00
        2.0400E-04        0.0000E+00        3.6500E-01        0.0000E+00
        2.0600E-04        0.0000E+00        1.5500E+00        0.0000E+00
        2.1200E-04        0.0000E+00        6.1500E-01        0.0000E+00
        2.1600E-04        0.0000E+00        6.6000E-01        0.0000E+00
        2.2300E-04        0.0000E+00        4.1900E-01        0.0000E+00
        2.2600E-04        0.0000E+00        5.8000E-01        0.0000E+00
        2.3000E-04        0.0000E+00        1.0800E+00        0.0000E+00
        2.3300E-04        0.0000E+00        7.2600E+01        0.0000E+00
        2.3900E-04        0.0000E+00        7.6000E+00        0.0000E+00
        2.4600E-04        0.0000E+00        1.7800E+00        0.0000E+00
        2.5100E-04        0.0000E+00        1.7800E+00        0.0000E+00
        2.5500E-04        0.0000E+00        5.7500E+01        0.0000E+00
        2.6500E-04        0.0000E+00        2.8300E+00        0.0000E+00
        2.6700E-04        0.0000E+00        6.7000E+00        0.0000E+00
        2.7800E-04        0.0000E+00        1.2300E+00        0.0000E+00
        2.8100E-04        0.0000E+00        4.5000E+00        0.0000E+00
        2.8600E-04        0.0000E+00        5.5500E+01        0.0000E+00
        2.9900E-04        0.0000E+00        2.3600E+00        0.0000E+00
        3.0800E-04        0.0000E+00        8.5000E-01        0.0000E+00
        3.1500E-04        0.0000E+00        6.2000E-01        0.0000E+00
        3.2000E-04        0.0000E+00        4.0750E+01        0.0000E+00
        3.3200E-04        0.0000E+00        4.6000E+00        0.0000E+00
        3.4200E-04        0.0000E+00        6.6500E-01        0.0000E+00
        3.4500E-04        0.0000E+00        1.6300E+01        0.0000E+00
        3.5500E-04        0.0000E+00        2.6500E+00        0.0000E+00
        3.6500E-04        0.0000E+00        2.7000E+01        0.0000E+00
        3.7500E-04        0.0000E+00        1.9700E+01        0.0000E+00
        3.9000E-04        0.0000E+00        1.8300E+00        0.0000E+00
        4.2000E-04        0.0000E+00        8.0000E+00        0.0000E+00
        4.9400E-04        0.0000E+00        7.9000E+00        0.0000E+00
        5.8000E-04        0.0000E+00        1.2900E+01        0.0000E+00
        7.0000E-04        0.0000E+00        7.6000E+00        0.0000E+00
        8.5000E-04        0.0000E+00        6.9000E+00        0.0000E+00
        1.0000E-03        0.0000E+00        7.4000E+00        0.0000E+00
        1.1700E-03        0.0000E+00        4.8000E+00        0.0000E+00
        1.3500E-03        0.0000E+00        6.3500E+00        0.0000E+00
        1.6300E-03        0.0000E+00        4.1500E+00        0.0000E+00
        1.9300E-03        0.0000E+00        4.2500E+00        0.0000E+00
        2.3900E-03        0.0000E+00        2.3900E+00        0.0000E+00
        2.9800E-03        0.0000E+00        2.5500E+00        0.0000E+00
        3.8500E-03        0.0000E+00        2.5900E+00        0.0000E+00
        4.6000E-03        0.0000E+00        2.4200E+00        0.0000E+00
        5.0000E-03        0.0000E+00        1.8900E+00        0.0000E+00
        5.7000E-03        0.0000E+00        2.1300E+00        0.0000E+00
        6.4000E-03        0.0000E+00        1.9300E+00        0.0000E+00
        7.1000E-03        0.0000E+00        1.7400E+00        0.0000E+00
        8.2500E-03        0.0000E+00        1.6600E+00        0.0000E+00
        9.2500E-03        0.0000E+00        1.2000E+00        0.0000E+00
        1.0600E-02        0.0000E+00        1.1900E+00        0.0000E+00
        1.2500E-02        0.0000E+00        1.1500E+00        0.0000E+00
        1.4800E-02        0.0000E+00        8.7000E-01        0.0000E+00
        1.7600E-02        0.0000E+00        8.2500E-01        0.0000E+00
        2.1800E-02        0.0000E+00        6.5000E-01        0.0000E+00
        2.7300E-02        0.0000E+00        5.9500E-01        0.0000E+00
        3.5000E-02        0.0000E+00        4.4000E-01        0.0000E+00
