# entry-subent-pointer  : 20403-029-0 
# EXFOR reaction        : ['5-B-11', ['N,INL'], '5-B-11,PAR,DA'] 
# incident energy       : 3.1770e+00 MeV - 4.8230e+00 MeV 
# target                : B-11 
# product               : B-11 
# level energy          : 2.1400e+00 MeV 
# MF-MT number          : 4 - 51 
# first author          : D.Porter 
# institute             : (2UK ALD): Atomic Weapons Establishment (AWE), Aldermaston 
# reference             : (R,AWRE-O-45/70,1970) 
# year                  : 1970 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/204/20403.x4 
# nds                   : https://nds.iaea.org/EXFOR/20403
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
     -7.52000E-01      0.00000E+00      1.00000E-03      4.00000E-04
     -5.67000E-01      0.00000E+00      9.00000E-04      3.00000E-04
     -3.44000E-01      0.00000E+00      1.50000E-03      3.00000E-04
     -9.20000E-02      0.00000E+00      1.30000E-03      3.00000E-04
      8.40000E-02      0.00000E+00      4.00000E-04      2.00000E-04
      2.60000E-01      0.00000E+00      1.00000E-03      4.00000E-04
      4.30000E-01      0.00000E+00      1.00000E-03      4.00000E-04
      5.87000E-01      0.00000E+00      1.00000E-03      4.00000E-04
      7.27000E-01      0.00000E+00      7.00000E-04      2.00000E-04
      8.42000E-01      0.00000E+00      1.10000E-03      3.00000E-04
     -7.52000E-01      0.00000E+00      4.30000E-03      7.00000E-04
     -5.67000E-01      0.00000E+00      3.90000E-03      6.00000E-04
     -3.44000E-01      0.00000E+00      3.30000E-03      5.00000E-04
     -9.20000E-02      0.00000E+00      2.80000E-03      4.00000E-04
      8.40000E-02      0.00000E+00      2.50000E-03      4.00000E-04
      2.60000E-01      0.00000E+00      2.70000E-03      4.00000E-04
      4.30000E-01      0.00000E+00      3.10000E-03      9.00000E-04
      5.87000E-01      0.00000E+00      3.60000E-03      1.10000E-03
      7.27000E-01      0.00000E+00      4.10000E-03      1.20000E-03
      8.42000E-01      0.00000E+00      4.00000E-03      1.20000E-03
     -7.52000E-01      0.00000E+00      7.60000E-03      1.10000E-03
     -5.67000E-01      0.00000E+00      5.50000E-03      8.00000E-04
     -3.44000E-01      0.00000E+00      4.80000E-03      7.00000E-04
     -9.20000E-02      0.00000E+00      2.60000E-03      4.00000E-04
      8.40000E-02      0.00000E+00      2.70000E-03      4.00000E-04
      2.60000E-01      0.00000E+00      3.10000E-03      5.00000E-04
      4.30000E-01      0.00000E+00      4.20000E-03      1.30000E-03
      5.87000E-01      0.00000E+00      5.10000E-03      1.50000E-03
      7.27000E-01      0.00000E+00      6.50000E-03      2.00000E-03
      8.42000E-01      0.00000E+00      8.40000E-03      2.50000E-03
     -7.52000E-01      0.00000E+00      7.60000E-03      1.10000E-03
     -5.67000E-01      0.00000E+00      5.50000E-03      8.00000E-04
     -3.44000E-01      0.00000E+00      4.80000E-03      7.00000E-04
     -9.20000E-02      0.00000E+00      2.60000E-03      4.00000E-04
      8.40000E-02      0.00000E+00      2.70000E-03      4.00000E-04
      2.60000E-01      0.00000E+00      3.10000E-03      5.00000E-04
      4.30000E-01      0.00000E+00      4.20000E-03      1.30000E-03
      5.87000E-01      0.00000E+00      5.10000E-03      1.50000E-03
      7.27000E-01      0.00000E+00      6.50000E-03      2.00000E-03
      8.42000E-01      0.00000E+00      8.40000E-03      2.50000E-03
     -7.52000E-01      0.00000E+00      1.64000E-02      2.50000E-03
     -5.67000E-01      0.00000E+00      1.37000E-02      2.10000E-03
     -3.44000E-01      0.00000E+00      1.29000E-02      1.90000E-03
     -9.20000E-02      0.00000E+00      1.00000E-02      1.50000E-03
      8.40000E-02      0.00000E+00      9.10000E-03      1.40000E-03
      2.60000E-01      0.00000E+00      1.04000E-02      1.60000E-03
      4.30000E-01      0.00000E+00      9.50000E-03      1.90000E-03
      5.87000E-01      0.00000E+00      1.23000E-02      3.70000E-03
      7.27000E-01      0.00000E+00      1.23000E-02      3.70000E-03
      8.42000E-01      0.00000E+00      1.43000E-02      4.30000E-03
