# entry-subent-pointer  : 11599--04-5-0 
# EXFOR reaction        : ['56-BA-136', ['N,TOT'], ',,SIG'] 
# incident energy       : 2.65e-03 MeV - 2.01e-02 MeV 
# target                : Ba-136 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : E.G.Bilpuch 
# institute             : (1USADKE): Duke University, Durham, NC 
# reference             : (J,AP,14,387,1961) 
# year                  : 1961 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/115/11599.x4 
# nds                   : https://nds.iaea.org/EXFOR/11599
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.65000E-03      0.00000E+00      3.80000E+00              NAN
      3.05000E-03      0.00000E+00      6.50000E+00              NAN
      3.40000E-03      0.00000E+00      0.00000E+00              NAN
      3.60000E-03      0.00000E+00      4.90000E+00              NAN
      4.00000E-03      0.00000E+00      2.50000E+00              NAN
      4.25000E-03      0.00000E+00      2.60000E+00              NAN
      4.60000E-03      0.00000E+00      6.00000E-01              NAN
      4.90000E-03      0.00000E+00      5.70000E+00              NAN
      5.60000E-03      0.00000E+00      2.20000E+00              NAN
      6.30000E-03      0.00000E+00      8.30000E+00              NAN
      6.65000E-03      0.00000E+00      5.70000E+00              NAN
      6.90000E-03      0.00000E+00      2.60000E+01              NAN
      7.25000E-03      0.00000E+00      3.15000E+01              NAN
      7.28000E-03      0.00000E+00      3.64000E+01              NAN
      7.50000E-03      0.00000E+00      4.10000E+01              NAN
      7.55000E-03      0.00000E+00      4.22500E+01              NAN
      7.90000E-03      0.00000E+00      3.03000E+01              NAN
      8.12000E-03      0.00000E+00      1.38000E+01              NAN
      8.40000E-03      0.00000E+00      1.45000E+01              NAN
      8.72000E-03      0.00000E+00      1.07500E+01              NAN
      9.10000E-03      0.00000E+00      9.75000E+00              NAN
      9.40000E-03      0.00000E+00      1.08000E+01      2.20000E+00
      9.70000E-03      0.00000E+00      1.04000E+01              NAN
      1.00000E-02      0.00000E+00      5.50000E+00              NAN
      1.05200E-02      0.00000E+00      1.05000E+01              NAN
      1.10000E-02      0.00000E+00      8.70000E+00              NAN
      1.15000E-02      0.00000E+00      5.30000E+00              NAN
      1.20000E-02      0.00000E+00      1.27500E+01              NAN
      1.25000E-02      0.00000E+00      9.00000E+00              NAN
      1.30000E-02      0.00000E+00      6.10000E+00              NAN
      1.35000E-02      0.00000E+00      6.50000E+00              NAN
      1.40000E-02      0.00000E+00      6.30000E+00              NAN
      1.45000E-02      0.00000E+00      7.70000E+00              NAN
      1.50000E-02      0.00000E+00      1.42500E+01              NAN
      1.55000E-02      0.00000E+00      8.90000E+00              NAN
      1.60000E-02      0.00000E+00      6.70000E+00              NAN
      1.65000E-02      0.00000E+00      7.00000E+00              NAN
      1.70000E-02      0.00000E+00      4.80000E+00              NAN
      1.76000E-02      0.00000E+00      7.75000E+00              NAN
      1.81000E-02      0.00000E+00      9.80000E+00              NAN
      1.86000E-02      0.00000E+00      9.25000E+00              NAN
      1.91000E-02      0.00000E+00      1.50000E+00              NAN
      1.95500E-02      0.00000E+00      1.80000E+01              NAN
      2.01000E-02      0.00000E+00      8.50000E+00              NAN
