# entry-subent-pointer  : 11222-008-0 
# EXFOR reaction        : ['4-BE-9', ['N,A'], '2-HE-6,,SIG'] 
# incident energy       : 1.66e+00 MeV - 4.43e+00 MeV 
# target                : Be-9 
# product               : He-6 
# level energy          : - 
# MF-MT number          : 3 - 107 
# first author          : P.H.Stelson 
# institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
# reference             : (J,PR,106,1252,1957) 
# year                  : 1957 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/112/11222.x4 
# nds                   : https://nds.iaea.org/EXFOR/11222
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.66000E+00      0.00000E+00      2.50000E-02      0.00000E+00
      1.74000E+00      0.00000E+00      3.00000E-02      0.00000E+00
      1.83000E+00      0.00000E+00      3.50000E-02      0.00000E+00
      1.94000E+00      0.00000E+00      4.25000E-02      0.00000E+00
      2.02000E+00      0.00000E+00      4.75000E-02      0.00000E+00
      2.12000E+00      0.00000E+00      5.35000E-02      0.00000E+00
      2.20000E+00      0.00000E+00      5.85000E-02      0.00000E+00
      2.25000E+00      0.00000E+00      6.15000E-02      0.00000E+00
      2.29000E+00      0.00000E+00      6.35000E-02      0.00000E+00
      2.34000E+00      0.00000E+00      6.70000E-02      0.00000E+00
      2.39000E+00      0.00000E+00      7.00000E-02      0.00000E+00
      2.44000E+00      0.00000E+00      7.45000E-02      0.00000E+00
      2.49000E+00      0.00000E+00      7.65000E-02      0.00000E+00
      2.54000E+00      0.00000E+00      8.45000E-02      0.00000E+00
      2.59000E+00      0.00000E+00      8.40000E-02      0.00000E+00
      2.64000E+00      0.00000E+00      9.15000E-02      0.00000E+00
      2.68000E+00      0.00000E+00      9.35000E-02      0.00000E+00
      2.74000E+00      0.00000E+00      9.85000E-02      0.00000E+00
      2.79000E+00      0.00000E+00      1.00000E-01      0.00000E+00
      2.84000E+00      0.00000E+00      1.00500E-01      0.00000E+00
      2.89000E+00      0.00000E+00      1.01000E-01      0.00000E+00
      2.94000E+00      0.00000E+00      1.04500E-01      0.00000E+00
      3.00000E+00      0.00000E+00      1.00500E-01      0.00000E+00
      3.05000E+00      0.00000E+00      1.03000E-01      0.00000E+00
      3.11000E+00      0.00000E+00      9.95000E-02      0.00000E+00
      3.16000E+00      0.00000E+00      9.70000E-02      0.00000E+00
      3.22000E+00      0.00000E+00      9.65000E-02      0.00000E+00
      3.26000E+00      0.00000E+00      9.60000E-02      0.00000E+00
      3.32000E+00      0.00000E+00      9.75000E-02      0.00000E+00
      3.37000E+00      0.00000E+00      9.70000E-02      0.00000E+00
      3.42000E+00      0.00000E+00      9.55000E-02      0.00000E+00
      3.48000E+00      0.00000E+00      9.60000E-02      0.00000E+00
      3.54000E+00      0.00000E+00      9.40000E-02      0.00000E+00
      3.60000E+00      0.00000E+00      9.70000E-02      0.00000E+00
      3.64000E+00      0.00000E+00      9.55000E-02      0.00000E+00
      3.71000E+00      0.00000E+00      9.40000E-02      0.00000E+00
      3.76000E+00      0.00000E+00      9.25000E-02      0.00000E+00
      3.81000E+00      0.00000E+00      9.00000E-02      0.00000E+00
      3.86000E+00      0.00000E+00      8.75000E-02      0.00000E+00
      3.98000E+00      0.00000E+00      8.65000E-02      0.00000E+00
      4.04000E+00      0.00000E+00      8.60000E-02      0.00000E+00
      4.09000E+00      0.00000E+00      8.50000E-02      0.00000E+00
      4.14000E+00      0.00000E+00      8.15000E-02      0.00000E+00
      4.21000E+00      0.00000E+00      8.03000E-02      0.00000E+00
      4.26000E+00      0.00000E+00      7.80000E-02      0.00000E+00
      4.32000E+00      0.00000E+00      7.45000E-02      0.00000E+00
      4.38000E+00      0.00000E+00      7.20000E-02      0.00000E+00
      4.43000E+00      0.00000E+00      6.80000E-02      0.00000E+00
