# entry-subent-pointer  : 21278-021-0 
# EXFOR reaction        : ['83-BI-209', ['N,TOT'], ',,SIG'] 
# incident energy       : 1.67e-09 MeV - 5.42e-09 MeV 
# target                : Bi-209 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : P.A.Egelstaff 
# institute             : (2UK HAR): Atomic Energy Research Establishment (AERE), Harwell 
# reference             : (R,AERE-N/R-1147,195304) 
# year                  : 1953 
# facility              : (CHOPS): Slow chopper 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/212/21278.x4 
# nds                   : https://nds.iaea.org/EXFOR/21278
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.67000E-09      0.00000E+00      1.00000E+00      0.00000E+00
      1.87000E-09      0.00000E+00      1.10000E+00      0.00000E+00
      1.96000E-09      0.00000E+00      4.40000E+00      2.00000E-01
      2.08000E-09      0.00000E+00      7.35000E+00      3.00000E-01
      2.12000E-09      0.00000E+00      7.58000E+00      3.00000E-01
      2.28000E-09      0.00000E+00      6.35000E+00      3.00000E-01
      2.45000E-09      0.00000E+00      6.40000E+00      3.00000E-01
      3.12000E-09      0.00000E+00      4.64000E+00      2.00000E-01
      3.33000E-09      0.00000E+00      4.40000E+00      2.00000E-01
      3.60000E-09      0.00000E+00      4.80000E+00      2.00000E-01
      3.93000E-09      0.00000E+00      7.07000E+00      2.00000E-01
      4.24000E-09      0.00000E+00      7.81000E+00      2.00000E-01
      4.75000E-09      0.00000E+00      7.70000E+00      2.00000E-01
      5.42000E-09      0.00000E+00      7.60000E+00      2.00000E-01
