# entry-subent-pointer  : 32911-004-2 
# EXFOR reaction        : (83-BI-209(N,TOT),,SIG) 
# incident energy       : 3.3113e-07 MeV - 1.9873e+01 MeV 
# target                : Bi-209 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : Jieming Xue 
# institute             : (3CPRCPR): China, People's Rep. 
# reference             : (J,CPH/C,47,124001,2023) 
# year                  : 2023 
# facility              : (SYNCH): Synchrotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/329/32911.x4 
# nds                   : https://nds.iaea.org/EXFOR/32911
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        3.3113E-07        4.1000E-12        9.1260E+00        5.8800E-01
        3.3884E-07        4.2500E-12        8.9970E+00        5.2200E-01
        3.4674E-07        4.4000E-12        8.4710E+00        4.6800E-01
        3.5481E-07        4.5500E-12        9.3540E+00        4.2800E-01
        3.6308E-07        4.7100E-12        9.4720E+00        3.9600E-01
        3.7154E-07        4.8800E-12        9.5100E+00        3.6600E-01
        3.8019E-07        5.0500E-12        9.4450E+00        3.4600E-01
        3.8905E-07        5.2200E-12        9.1560E+00        3.2500E-01
        3.9811E-07        5.4100E-12        9.4060E+00        3.1200E-01
        4.0738E-07        5.6000E-12        9.1080E+00        3.0100E-01
        4.1687E-07        5.7900E-12        8.7610E+00        2.8700E-01
        4.2658E-07        6.0000E-12        9.3800E+00        2.7900E-01
        4.3652E-07        6.2100E-12        9.3520E+00        2.7200E-01
        4.4668E-07        6.4300E-12        9.5020E+00        2.6500E-01
        4.5709E-07        6.6500E-12        9.0720E+00        2.5900E-01
        4.6774E-07        6.8900E-12        9.5850E+00        2.5500E-01
        4.7863E-07        7.1300E-12        9.4060E+00        2.5000E-01
        4.8978E-07        7.3800E-12        9.0010E+00        2.4400E-01
        5.0119E-07        7.6400E-12        9.5860E+00        2.4300E-01
        5.1286E-07        7.9100E-12        9.2420E+00        2.4100E-01
        5.2481E-07        8.1800E-12        9.5220E+00        2.3900E-01
        5.3703E-07        8.4700E-12        8.9380E+00        2.3500E-01
        5.4954E-07        8.7700E-12        8.8470E+00        2.3400E-01
        5.6234E-07        9.0800E-12        9.2930E+00        2.3300E-01
        5.7544E-07        9.4000E-12        9.1990E+00        2.3300E-01
        5.8884E-07        9.7300E-12        9.1490E+00        2.3100E-01
        6.0256E-07        1.0100E-11        9.1950E+00        2.3000E-01
        6.1660E-07        1.0400E-11        9.2830E+00        2.2900E-01
        6.3096E-07        1.0800E-11        9.1850E+00        2.2600E-01
        6.4565E-07        1.1200E-11        9.5840E+00        2.2700E-01
        6.6069E-07        1.1600E-11        8.9420E+00        2.2400E-01
        6.7608E-07        1.2000E-11        9.1200E+00        2.2400E-01
        6.9183E-07        1.2400E-11        9.4810E+00        2.2300E-01
        7.0795E-07        1.2800E-11        9.3780E+00        2.2300E-01
        7.2444E-07        1.3300E-11        9.2950E+00        2.2200E-01
        7.4131E-07        1.3700E-11        9.3030E+00        2.2100E-01
        7.5858E-07        1.4200E-11        9.2260E+00        2.2000E-01
        7.7625E-07        1.4700E-11        9.2800E+00        2.2000E-01
        7.9433E-07        1.5200E-11        9.0340E+00        2.1900E-01
        8.1283E-07        1.5800E-11        9.2390E+00        2.1900E-01
        8.3176E-07        1.6300E-11        9.1610E+00        2.1800E-01
        8.5114E-07        1.6900E-11        9.3040E+00        2.1600E-01
        8.7096E-07        1.7500E-11        9.5390E+00        2.1400E-01
        8.9125E-07        1.8100E-11        9.0950E+00        2.1100E-01
        9.1201E-07        1.8700E-11        9.4460E+00        2.0900E-01
        9.3325E-07        1.9400E-11        9.3120E+00        2.0400E-01
        9.5499E-07        2.0100E-11        9.0930E+00        1.9900E-01
        9.7724E-07        2.0800E-11        9.5070E+00        1.9400E-01
        1.0000E-06        2.1500E-11        9.4740E+00        1.8600E-01
        1.0233E-06        2.2300E-11        9.6130E+00        1.7900E-01
        1.0471E-06        2.3100E-11        9.3890E+00        1.7000E-01
        1.0715E-06        2.3900E-11        9.1900E+00        1.6000E-01
        1.0965E-06        2.4700E-11        9.4580E+00        1.5400E-01
        1.1220E-06        2.5600E-11        9.1670E+00        1.5200E-01
        1.1482E-06        2.6500E-11        9.1870E+00        1.6200E-01
        1.1749E-06        2.7400E-11        9.5850E+00        1.8500E-01
        1.2023E-06        2.8400E-11        9.3850E+00        2.1900E-01
        1.2303E-06        2.9400E-11        9.0850E+00        2.5600E-01
        1.2589E-06        3.0400E-11        9.2110E+00        2.8500E-01
        1.2883E-06        3.1500E-11        9.5000E+00        3.0300E-01
        1.3183E-06        3.2600E-11        9.0000E+00        3.1200E-01
        1.3490E-06        3.3700E-11        9.2620E+00        3.2500E-01
        1.3804E-06        3.4900E-11        8.8900E+00        3.3600E-01
        1.4125E-06        3.6100E-11        8.9040E+00        3.4700E-01
        1.4454E-06        3.7400E-11        9.9040E+00        3.5300E-01
        1.4791E-06        3.8700E-11        9.3190E+00        3.5600E-01
        1.5136E-06        4.0100E-11        9.4810E+00        3.6600E-01
        1.5488E-06        4.1500E-11        9.2240E+00        3.6500E-01
        1.5849E-06        4.3000E-11        9.0560E+00        3.7400E-01
        1.6218E-06        4.4500E-11        9.0040E+00        3.7900E-01
        1.6596E-06        4.6000E-11        9.3580E+00        3.8100E-01
        1.6982E-06        4.7600E-11        8.6960E+00        3.8600E-01
        1.7378E-06        4.9300E-11        9.1250E+00        3.9100E-01
        1.7783E-06        5.1100E-11        1.0091E+01        3.9600E-01
        1.8197E-06        5.2800E-11        8.9240E+00        3.9200E-01
        1.8621E-06        5.4700E-11        8.8480E+00        3.8800E-01
        1.9055E-06        5.6600E-11        8.6900E+00        3.8000E-01
        1.9498E-06        5.8600E-11        9.3950E+00        3.4800E-01
        1.9953E-06        6.0700E-11        9.0620E+00        2.9000E-01
        2.0417E-06        6.2800E-11        9.1940E+00        3.2300E-01
        2.0893E-06        6.5000E-11        9.6580E+00        4.0200E-01
        2.1380E-06        6.7300E-11        9.6820E+00        4.3800E-01
        2.1878E-06        6.9700E-11        9.6510E+00        4.4200E-01
        2.2387E-06        7.2100E-11        9.1970E+00        4.4700E-01
        2.2909E-06        7.4600E-11        9.3970E+00        4.5200E-01
        2.3442E-06        7.7300E-11        9.5020E+00        4.5600E-01
        2.3988E-06        8.0000E-11        9.0230E+00        4.6500E-01
        2.4547E-06        8.2800E-11        9.2750E+00        4.7000E-01
        2.5119E-06        8.5700E-11        9.3270E+00        4.8600E-01
        2.5704E-06        8.8700E-11        9.2280E+00        4.9900E-01
        2.6303E-06        9.1800E-11        9.4640E+00        5.3900E-01
        2.6915E-06        9.5100E-11        9.2810E+00        5.3500E-01
        2.7542E-06        9.8400E-11        9.3390E+00        4.1700E-01
        2.8184E-06        1.0200E-10        9.8590E+00        3.6100E-01
        2.8840E-06        1.0500E-10        9.2880E+00        3.3800E-01
        2.9512E-06        1.0900E-10        9.1990E+00        3.1100E-01
        3.0200E-06        1.1300E-10        9.2340E+00        2.6400E-01
        3.0903E-06        1.1700E-10        9.1710E+00        2.2400E-01
        3.1623E-06        1.2100E-10        9.2130E+00        2.5800E-01
        3.2359E-06        1.2500E-10        9.2050E+00        3.4600E-01
        3.3113E-06        1.3000E-10        9.4120E+00        3.8800E-01
        3.3884E-06        1.3400E-10        9.2230E+00        3.5200E-01
        3.4674E-06        1.3900E-10        9.1510E+00        2.6400E-01
        3.5481E-06        1.4400E-10        9.3130E+00        1.9500E-01
        3.6308E-06        1.4900E-10        9.1550E+00        2.7100E-01
        3.7154E-06        1.5400E-10        9.3490E+00        6.1900E-01
        3.8019E-06        1.6000E-10        1.0123E+01        9.9000E-01
        3.8905E-06        1.6500E-10        7.8260E+00        1.0960E+00
        3.9811E-06        1.7100E-10        8.5910E+00        1.0850E+00
        4.0738E-06        1.7700E-10        9.4100E+00        1.0960E+00
        4.1687E-06        1.8300E-10        9.5600E+00        1.0520E+00
        4.2658E-06        1.9000E-10        8.4080E+00        1.0160E+00
        4.3652E-06        1.9600E-10        9.2020E+00        9.6800E-01
        4.4668E-06        2.0300E-10        9.6340E+00        9.2600E-01
        4.5709E-06        2.1000E-10        9.4700E+00        8.3000E-01
        4.6774E-06        2.1800E-10        9.5160E+00        5.8700E-01
        4.7863E-06        2.2500E-10        9.2560E+00        3.5500E-01
        4.8978E-06        2.3300E-10        9.5630E+00        5.6200E-01
        5.0119E-06        2.4200E-10        9.2790E+00        6.2700E-01
        5.1286E-06        2.5000E-10        9.5470E+00        5.2900E-01
        5.2481E-06        2.5900E-10        9.4730E+00        4.1600E-01
        5.3703E-06        2.6800E-10        9.6470E+00        3.4400E-01
        5.4954E-06        2.7700E-10        9.4560E+00        3.2800E-01
        5.6234E-06        2.8700E-10        9.2250E+00        3.3400E-01
        5.7544E-06        2.9700E-10        8.8800E+00        3.2700E-01
        5.8884E-06        3.0800E-10        9.4050E+00        2.8900E-01
        6.0256E-06        3.1800E-10        9.0610E+00        2.1800E-01
        6.1660E-06        3.3000E-10        8.9870E+00        1.7900E-01
        6.3096E-06        3.4100E-10        9.3790E+00        1.3900E-01
        6.4565E-06        3.5300E-10        9.1740E+00        2.9800E-01
        6.6069E-06        3.6600E-10        9.2030E+00        5.5400E-01
        6.7608E-06        3.7800E-10        8.8980E+00        4.6900E-01
        6.9183E-06        3.9200E-10        9.1360E+00        2.0700E-01
        7.0795E-06        4.0600E-10        9.4180E+00        2.3000E-01
        7.2444E-06        4.2000E-10        9.4680E+00        6.6700E-01
        7.4131E-06        4.3500E-10        7.7260E+00        8.3700E-01
        7.5858E-06        4.5000E-10        8.4940E+00        1.0050E+00
        7.7625E-06        4.6600E-10        9.6440E+00        1.0090E+00
        7.9433E-06        4.8200E-10        8.8360E+00        6.3100E-01
        8.1283E-06        4.9900E-10        9.2360E+00        4.0600E-01
        8.3176E-06        5.1600E-10        9.4040E+00        2.2700E-01
        8.5114E-06        5.3500E-10        9.3650E+00        1.0000E-01
        8.7096E-06        5.5300E-10        9.3130E+00        7.8000E-02
        8.9125E-06        5.7300E-10        9.2690E+00        1.2100E-01
        9.1201E-06        5.9300E-10        9.4820E+00        1.3800E-01
        9.3325E-06        6.1400E-10        9.1130E+00        1.7800E-01
