# entry-subent-pointer  : 13146-004-0 
# EXFOR reaction        : ['6-C-13', ['N,EL'], '6-C-13,,DA'] 
# incident energy       : 7.0500e+00 MeV 
# target                : C-13 
# product               : C-13 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : D.A.Resler 
# institute             : (1USAOHO): Ohio University, Athens, OH 
# reference             : (J,PR/C,39,766,8903) 
# year                  : 1989 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/131/13146.x4 
# nds                   : https://nds.iaea.org/EXFOR/13146
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.62000E+01      0.00000E+00      3.34000E-01      1.80000E-02
      2.69000E+01      0.00000E+00      2.36300E-01      1.27000E-02
      4.29000E+01      0.00000E+00      1.03200E-01      5.60000E-03
      5.85000E+01      0.00000E+00      3.44000E-02      1.90000E-03
      7.42000E+01      0.00000E+00      3.12000E-02      1.70000E-03
      8.94000E+01      0.00000E+00      5.41000E-02      3.00000E-03
      1.04400E+02      0.00000E+00      6.72000E-02      3.60000E-03
      1.19000E+02      0.00000E+00      5.92000E-02      3.20000E-03
      1.33400E+02      0.00000E+00      4.61000E-02      2.50000E-03
      1.47600E+02      0.00000E+00      4.56000E-02      2.50000E-03
      1.59200E+02      0.00000E+00      5.30000E-02      2.90000E-03
