# entry-subent-pointer  : 11215-033-0 
# EXFOR reaction        : ['48-CD-0', ['N,EL'], '48-CD-0,,DA'] 
# incident energy       : 4.1000e+00 MeV 
# target                : Cd-0 
# product               : Cd-0 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : M.Walt 
# institute             : (1USALAS): Los Alamos National Laboratory, NM 
# reference             : (J,PR,98,677,5505) 
# year                  : 1955 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/112/11215.x4 
# nds                   : https://nds.iaea.org/EXFOR/11215
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      9.69000E-01      0.00000E+00      1.50400E+00      0.00000E+00
      9.19000E-01      0.00000E+00      8.85000E-01      0.00000E+00
      8.48000E-01      0.00000E+00      4.73000E-01      0.00000E+00
      6.85000E-01      0.00000E+00      1.55000E-01      0.00000E+00
      4.83000E-01      0.00000E+00      1.09000E-01      5.00000E-03
      2.42000E-01      0.00000E+00      9.80000E-02      9.00000E-03
     -9.00000E-03      0.00000E+00      4.60000E-02      4.00000E-03
     -2.58000E-01      0.00000E+00      2.48000E-02      5.60000E-03
     -4.97000E-01      0.00000E+00      3.80000E-02      8.00000E-03
     -6.95000E-01      0.00000E+00      7.40000E-02      1.00000E-02
     -8.52000E-01      0.00000E+00      4.10000E-02      1.20000E-02
