# entry-subent-pointer  : 20819-002-0 
# EXFOR reaction        : (58-CE-140(N,TOT),,SIG) 
# incident energy       : 7.0886e-04 MeV - 1.8165e-01 MeV 
# target                : Ce-140 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : Ohkubo 
# institute             : (2JPNJAE): Japan Atomic Energy Agency (JAEA) 
# reference             : (R,JAERI-M-93-012,1993) 
# year                  : 1993 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/208/20819.x4 
# nds                   : https://nds.iaea.org/EXFOR/20819
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.8165E-01        0.0000E+00        5.2670E+00        3.6300E-01
        1.8027E-01        0.0000E+00        4.1640E+00        3.6300E-01
        1.7891E-01        0.0000E+00        4.5170E+00        3.6900E-01
        1.7756E-01        0.0000E+00        6.6340E+00        3.7700E-01
        1.7622E-01        0.0000E+00        8.1690E+00        3.8600E-01
        1.7491E-01        0.0000E+00        1.8610E+00        3.8400E-01
        1.7360E-01        0.0000E+00        3.8960E+00        3.9300E-01
        1.7231E-01        0.0000E+00        7.3870E+00        4.0300E-01
        1.7104E-01        0.0000E+00        7.8010E+00        4.1000E-01
        1.6978E-01        0.0000E+00        2.0460E+00        4.0600E-01
        1.6853E-01        0.0000E+00        3.4030E+00        4.1600E-01
        1.6730E-01        0.0000E+00        5.0350E+00        4.2100E-01
        1.6608E-01        0.0000E+00        8.5800E-01        4.2500E-01
        1.6487E-01        0.0000E+00        2.1570E+00        4.3200E-01
        1.6368E-01        0.0000E+00        1.6130E+00        4.4500E-01
        1.6250E-01        0.0000E+00        2.2860E+00        4.5800E-01
        1.6133E-01        0.0000E+00        1.6720E+00        4.8000E-01
        1.6017E-01        0.0000E+00        2.6100E+00        5.1000E-01
        1.5903E-01        0.0000E+00        3.7170E+00        5.3100E-01
        1.5790E-01        0.0000E+00        1.6660E+00        5.1000E-01
        1.5678E-01        0.0000E+00        1.5970E+00        4.9100E-01
        1.5567E-01        0.0000E+00        2.7410E+00        4.8400E-01
        1.5458E-01        0.0000E+00        3.2690E+00        4.8700E-01
