# entry-subent-pointer  : 20292-011-0 
# EXFOR reaction        : ['17-CL-0', ['N,TOT'], ',,SIG'] 
# incident energy       : 3.2390e+00 MeV - 5.1100e+00 MeV 
# target                : Cl-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : K.Tsukada 
# institute             : (2JPNJAE): Japan Atomic Energy Agency (JAEA) 
# reference             : (J,JPJ,18,610,6305) 
# year                  : 1963 
# facility              : (VDG  ): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/202/20292.x4 
# nds                   : https://nds.iaea.org/EXFOR/20292
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      3.23900E+00      0.00000E+00      3.25000E+00      9.75000E-02
      3.32300E+00      0.00000E+00      3.66000E+00      1.09800E-01
      3.40500E+00      0.00000E+00      3.24000E+00      9.72000E-02
      3.48300E+00      0.00000E+00      3.31000E+00      9.93000E-02
      3.55800E+00      0.00000E+00      3.41000E+00      1.02300E-01
      3.63500E+00      0.00000E+00      3.53000E+00      1.05900E-01
      3.70400E+00      0.00000E+00      3.35000E+00      1.00500E-01
      3.77500E+00      0.00000E+00      3.46000E+00      1.03800E-01
      3.84500E+00      0.00000E+00      3.41000E+00      1.02300E-01
      3.91300E+00      0.00000E+00      3.26000E+00      9.78000E-02
      3.98100E+00      0.00000E+00      3.15000E+00      9.45000E-02
      4.04700E+00      0.00000E+00      3.36000E+00      1.00800E-01
      4.11100E+00      0.00000E+00      3.41000E+00      1.02300E-01
      4.17600E+00      0.00000E+00      3.23000E+00      9.69000E-02
      4.23700E+00      0.00000E+00      3.40000E+00      1.02000E-01
      4.29800E+00      0.00000E+00      3.24000E+00      9.72000E-02
      4.35700E+00      0.00000E+00      3.21000E+00      9.63000E-02
      4.41700E+00      0.00000E+00      2.96000E+00      8.88000E-02
      4.47700E+00      0.00000E+00      3.17000E+00      9.51000E-02
      4.53700E+00      0.00000E+00      3.29000E+00      9.87000E-02
      4.59700E+00      0.00000E+00      3.05000E+00      9.15000E-02
      4.65700E+00      0.00000E+00      3.04000E+00      9.12000E-02
      4.71400E+00      0.00000E+00      3.14000E+00      9.42000E-02
      4.77000E+00      0.00000E+00      3.11000E+00      9.33000E-02
      4.82800E+00      0.00000E+00      3.06000E+00      9.18000E-02
      4.88500E+00      0.00000E+00      3.06000E+00      9.18000E-02
      4.94100E+00      0.00000E+00      3.18000E+00      9.54000E-02
      4.99800E+00      0.00000E+00      2.99000E+00      8.97000E-02
      5.05300E+00      0.00000E+00      3.00000E+00      9.00000E-02
      5.11000E+00      0.00000E+00      3.03000E+00      9.09000E-02
