# entry-subent-pointer  : 13905-002-0 
# EXFOR reaction        : (17-CL-36(N,P)16-S-36,,SIG) 
# incident energy       : 2.8300e-08 MeV - 8.0300e-01 MeV 
# target                : Cl-36 
# product               : S-36 
# level energy          : - 
# MF-MT number          : 3 - 103 
# first author          : Koehler 
# institute             : (1USALAS): Los Alamos National Laboratory, NM 
# reference             : (J,PR/C,47,2107,1993) 
# year                  : 1993 
# facility              : (MESON): Meson facility 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/139/13905.x4 
# nds                   : https://nds.iaea.org/EXFOR/13905
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        8.0300E-01        0.0000E+00        2.4020E-02        2.7810E-03
        7.5950E-01        0.0000E+00        2.3590E-02        2.6600E-03
        7.1950E-01        0.0000E+00        2.0590E-02        2.3450E-03
        6.8250E-01        0.0000E+00        2.3170E-02        2.5980E-03
        6.4830E-01        0.0000E+00        2.5220E-02        2.8360E-03
        6.1670E-01        0.0000E+00        2.8730E-02        3.1830E-03
        5.8730E-01        0.0000E+00        3.3600E-02        3.5570E-03
        5.5990E-01        0.0000E+00        2.5130E-02        2.8830E-03
        5.3440E-01        0.0000E+00        3.6480E-02        3.7600E-03
        5.1060E-01        0.0000E+00        3.2260E-02        3.4420E-03
        4.8840E-01        0.0000E+00        3.3110E-02        3.5130E-03
        4.6760E-01        0.0000E+00        3.5680E-02        3.7150E-03
        4.4810E-01        0.0000E+00        4.0170E-02        4.0540E-03
        4.2980E-01        0.0000E+00        3.8750E-02        3.9740E-03
        4.1250E-01        0.0000E+00        4.1540E-02        4.1790E-03
        3.9630E-01        0.0000E+00        4.6420E-02        4.4080E-03
        3.8110E-01        0.0000E+00        4.5270E-02        4.2440E-03
        3.6670E-01        0.0000E+00        3.9070E-02        3.7940E-03
        3.5310E-01        0.0000E+00        4.1800E-02        3.9650E-03
        3.4020E-01        0.0000E+00        4.0350E-02        3.9170E-03
        3.2810E-01        0.0000E+00        4.5160E-02        4.2660E-03
        3.1650E-01        0.0000E+00        3.9510E-02        4.0160E-03
        3.0560E-01        0.0000E+00        4.2990E-02        4.2350E-03
        2.9520E-01        0.0000E+00        3.4510E-02        3.7790E-03
        2.8540E-01        0.0000E+00        4.2200E-02        4.3090E-03
        2.7600E-01        0.0000E+00        4.2570E-02        4.4010E-03
        2.6710E-01        0.0000E+00        3.7140E-02        4.2130E-03
        2.5860E-01        0.0000E+00        3.6380E-02        4.2750E-03
        2.5050E-01        0.0000E+00        4.0140E-02        4.5700E-03
