# entry-subent-pointer  : 13131--00-2-0 
# EXFOR reaction        : ['27-CO-59', ['N,EL'], '27-CO-59,,DA'] 
# incident energy       : 3.36e+00 MeV 
# target                : Co-59 
# product               : Co-59 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : A.B.Smith 
# institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
# reference             : (J,NP/A,483,50,1988) 
# year                  : 1988 
# facility              : (DYNAM): Dynamitron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/131/13131.x4 
# nds                   : https://nds.iaea.org/EXFOR/13131
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      1.83000E+01      0.00000E+00      1.22000E+00      6.30740E-02
      2.82000E+01      0.00000E+00      8.81000E-01      4.78383E-02
      4.51000E+01      0.00000E+00      3.33000E-01      2.13120E-02
      6.41000E+01      0.00000E+00      5.08000E-02      4.59740E-03
      8.20000E+01      0.00000E+00      4.11000E-02      2.70849E-03
      1.00000E+02      0.00000E+00      8.03000E-02      4.07121E-03
      1.17000E+02      0.00000E+00      7.79000E-02      3.97290E-03
      1.32000E+02      0.00000E+00      5.33000E-02      2.80358E-03
      1.47000E+02      0.00000E+00      3.52000E-02      1.76352E-03
      1.57000E+02      0.00000E+00      3.58000E-02      1.81864E-03
