# entry-subent-pointer  : 10112-025-0 
# EXFOR reaction        : ['27-CO-59', ['N,INL'], '27-CO-59,PAR,DA'] 
# incident energy       : 5.4400e+00 MeV - 8.5600e+00 MeV 
# target                : Co-59 
# product               : Co-59 
# level energy          : 1.0970e+00 MeV 
# MF-MT number          : 4 - 51 
# first author          : W.E.Kinney 
# institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
# reference             : (R,ORNL-4549,197006) 
# year                  : 1970 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/101/10112.x4 
# nds                   : https://nds.iaea.org/EXFOR/10112
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      4.27400E+01      0.00000E+00      2.59700E-02      0.00000E+00
      4.83200E+01      0.00000E+00      1.85500E-02      0.00000E+00
      5.39000E+01      0.00000E+00      1.73800E-02      0.00000E+00
      6.13700E+01      0.00000E+00      1.57000E-02      0.00000E+00
      7.30700E+01      0.00000E+00      1.51600E-02      0.00000E+00
      7.86000E+01      0.00000E+00      1.33300E-02      0.00000E+00
      8.41200E+01      0.00000E+00      1.58800E-02      0.00000E+00
      8.91300E+01      0.00000E+00      1.48200E-02      0.00000E+00
      9.46200E+01      0.00000E+00      1.31800E-02      0.00000E+00
      1.00100E+02      0.00000E+00      1.61500E-02      0.00000E+00
      1.04080E+02      0.00000E+00      1.68500E-02      0.00000E+00
      1.09560E+02      0.00000E+00      1.49200E-02      0.00000E+00
      5.33700E+01      0.00000E+00      1.41700E-02      0.00000E+00
      1.18960E+02      0.00000E+00      1.26800E-02      0.00000E+00
      3.25800E+01      0.00000E+00      3.60000E-02      0.00000E+00
      3.81600E+01      0.00000E+00      1.97400E-02      0.00000E+00
      4.37500E+01      0.00000E+00      1.94200E-02      0.00000E+00
      4.78000E+01      0.00000E+00      1.49100E-02      0.00000E+00
      5.33700E+01      0.00000E+00      1.26300E-02      0.00000E+00
      5.33700E+01      0.00000E+00      1.32500E-02      0.00000E+00
      5.89300E+01      0.00000E+00      1.23600E-02      0.00000E+00
      6.29700E+01      0.00000E+00      1.22900E-02      0.00000E+00
      6.85100E+01      0.00000E+00      1.03100E-02      0.00000E+00
      7.40500E+01      0.00000E+00      1.06300E-02      0.00000E+00
      7.80600E+01      0.00000E+00      9.70000E-03      0.00000E+00
      8.35800E+01      0.00000E+00      1.00800E-02      0.00000E+00
      8.90900E+01      0.00000E+00      1.15500E-02      0.00000E+00
      9.30900E+01      0.00000E+00      1.26100E-02      0.00000E+00
      1.03070E+02      0.00000E+00      1.37800E-02      0.00000E+00
      1.04060E+02      0.00000E+00      1.17900E-02      0.00000E+00
      1.08540E+02      0.00000E+00      1.23000E-02      0.00000E+00
      1.14010E+02      0.00000E+00      1.41400E-02      0.00000E+00
      1.18960E+02      0.00000E+00      1.20600E-02      0.00000E+00
      5.33600E+01      0.00000E+00      1.11900E-02      0.00000E+00
      1.18940E+02      0.00000E+00      5.14000E-03      0.00000E+00
      4.57500E+01      0.00000E+00      1.24300E-02      0.00000E+00
      5.08100E+01      0.00000E+00      7.88000E-03      0.00000E+00
      5.58700E+01      0.00000E+00      7.39000E-03      0.00000E+00
      6.09100E+01      0.00000E+00      5.38000E-03      0.00000E+00
      7.09900E+01      0.00000E+00      5.53000E-03      0.00000E+00
      8.10400E+01      0.00000E+00      6.28000E-03      0.00000E+00
      9.10600E+01      0.00000E+00      5.50000E-03      0.00000E+00
      1.01050E+02      0.00000E+00      5.48000E-03      0.00000E+00
      1.15260E+02      0.00000E+00      4.88000E-03      0.00000E+00
      1.20420E+02      0.00000E+00      5.34000E-03      0.00000E+00
