# entry-subent-pointer  : 20834--00-2-0 
# EXFOR reaction        : ['24-CR-52', ['N,2N'], '24-CR-51,,SIG'] 
# incident energy       : 1.29e+01 MeV - 1.96e+01 MeV 
# target                : Cr-52 
# product               : Cr-51 
# level energy          : - 
# MF-MT number          : 3 - 16 
# first author          : M.Bormann 
# institute             : (2GERHAM): Hamburg, Universitaet 
# reference             : (J,NP/A,115,309,1968) 
# year                  : 1968 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/208/20834.x4 
# nds                   : https://nds.iaea.org/EXFOR/20834
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.29400E+01      2.00000E-01      6.40000E-02      5.00000E-03
      1.35100E+01      2.20000E-01      1.47000E-01      1.20000E-02
      1.41000E+01      2.70000E-01      2.76000E-01      1.90000E-02
      1.48800E+01      3.10000E-01      4.12000E-01      2.90000E-02
      1.56200E+01      3.30000E-01      4.76000E-01      3.30000E-02
      1.63100E+01      3.40000E-01      5.06000E-01      3.50000E-02
      1.72300E+01      3.40000E-01      4.91000E-01      3.40000E-02
      1.80200E+01      3.00000E-01      5.15000E-01      3.60000E-02
      1.88900E+01      1.90000E-01      4.93000E-01      3.50000E-02
      1.95600E+01      1.40000E-01      4.62000E-01      3.20000E-02
