# entry-subent-pointer  : 22870-004-0 
# EXFOR reaction        : (24-CR-52(N,INL)24-CR-52,PAR,SIG) 
# incident energy       : 3.4784e+00 MeV - 3.9361e+00 MeV 
# target                : Cr-52 
# product               : Cr-52 
# level energy          : 3.4153e+00 MeV 
# MF-MT number          : 3 - 58 
# first author          : Mihailescu 
# institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
# reference             : (J,NP/A,786,1,2007) 
# year                  : 2007 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/228/22870.x4 
# nds                   : https://nds.iaea.org/EXFOR/22870
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        3.4784E+00        2.9000E-02        4.6110E-03        4.9780E-03
        3.5076E+00        2.9370E-02        2.0530E-03        5.0230E-03
        3.5371E+00        2.9740E-02        9.6720E-03        5.1890E-03
        3.5483E+00        2.2420E-02        8.2840E-03        4.8800E-03
        3.5670E+00        3.0120E-02        8.3680E-03        6.1360E-03
        3.5708E+00        2.2620E-02        1.3913E-02        5.2500E-03
        3.5935E+00        2.2850E-02        2.4229E-02        5.6230E-03
        3.5974E+00        3.0510E-02        1.8826E-02        6.0340E-03
        3.6165E+00        2.3060E-02        4.2320E-02        6.7320E-03
        3.6281E+00        3.0900E-02        1.2197E-02        5.7960E-03
        3.6397E+00        2.3280E-02        4.2895E-02        7.9130E-03
        3.6592E+00        3.1300E-02        1.7604E-02        6.2200E-03
        3.6631E+00        2.3520E-02        4.6553E-02        7.9720E-03
        3.6867E+00        2.3730E-02        4.0176E-02        7.4680E-03
        3.6907E+00        3.1700E-02        2.0912E-02        6.5320E-03
        3.7105E+00        2.3970E-02        2.7453E-02        6.2490E-03
        3.7226E+00        3.2120E-02        2.4364E-02        7.0770E-03
        3.7346E+00        2.4210E-02        4.9389E-02        8.6550E-03
        3.7549E+00        3.2530E-02        2.1608E-02        6.4240E-03
        3.7589E+00        2.4440E-02        5.4214E-02        7.6820E-03
        3.7835E+00        2.4680E-02        4.2462E-02        7.7160E-03
        3.7876E+00        3.2970E-02        2.6753E-02        6.3860E-03
        3.8083E+00        2.4930E-02        2.6333E-02        5.6650E-03
        3.8208E+00        3.3390E-02        2.2677E-02        6.1010E-03
        3.8334E+00        2.5170E-02        4.7544E-02        7.9620E-03
        3.8544E+00        3.3850E-02        3.7425E-02        7.6400E-03
        3.8586E+00        2.5430E-02        7.2138E-02        1.1580E-02
        3.8842E+00        2.5670E-02        5.3762E-02        8.4240E-03
        3.8885E+00        3.4290E-02        3.8897E-02        7.6060E-03
        3.9100E+00        2.5930E-02        6.2108E-02        9.2230E-03
        3.9230E+00        3.4750E-02        3.4336E-02        6.9380E-03
        3.9361E+00        2.6200E-02        8.1099E-02        1.2210E-02
