# entry-subent-pointer  : 10827-105-0 
# EXFOR reaction        : ['24-CR-52', ['N,X'], '1-H-1,,DE'] 
# incident energy       : 1.48e+01 MeV 
# target                : Cr-52 
# product               : H-1 
# level energy          : 1.25e+00 MeV 
# MF-MT number          : 5 - residual 
# first author          : S.M.Grimes 
# institute             : (1USALRL): Lawrence Livermore National Laboratory, Livermore, CA 
# reference             : (J,PR/C,19,2127,197906) 
# year                  : 1979 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/108/10827.x4 
# nds                   : https://nds.iaea.org/EXFOR/10827
#
#          E(MeV)          dE(MeV)      data(MB/MeV)   ddata(MB/MeV)
      1.25000E+00      0.00000E+00      6.62000E-09      4.63400E-10
      1.75000E+00      0.00000E+00      3.10000E-08      2.17000E-09
      2.25000E+00      0.00000E+00      3.34000E-08      2.33800E-09
      2.75000E+00      0.00000E+00      2.85000E-08      1.99500E-09
      3.25000E+00      0.00000E+00      3.67000E-08      2.56900E-09
      3.75000E+00      0.00000E+00      2.75000E-08      1.92500E-09
      4.25000E+00      0.00000E+00      2.13000E-08      1.49100E-09
      4.75000E+00      0.00000E+00      2.35000E-08      1.64500E-09
      5.25000E+00      0.00000E+00      2.02000E-08      1.41400E-09
      5.75000E+00      0.00000E+00      1.97000E-08      1.37900E-09
      6.25000E+00      0.00000E+00      1.66000E-08      1.16200E-09
      6.75000E+00      0.00000E+00      1.81000E-08      1.26700E-09
      7.25000E+00      0.00000E+00      1.38000E-08      9.66000E-10
      7.75000E+00      0.00000E+00      1.03000E-08      7.21000E-10
      8.25000E+00      0.00000E+00      8.00000E-09      5.60000E-10
      8.75000E+00      0.00000E+00      7.57000E-09      5.29900E-10
      9.25000E+00      0.00000E+00      5.40000E-09      3.78000E-10
      9.75000E+00      0.00000E+00      4.39000E-09      3.07300E-10
      1.02500E+01      0.00000E+00      3.78000E-09      2.64600E-10
      1.07500E+01      0.00000E+00      2.75000E-09      1.92500E-10
      1.12500E+01      0.00000E+00      2.18000E-09      1.52600E-10
      1.17500E+01      0.00000E+00      1.18000E-09      8.26000E-11
