# entry-subent-pointer  : 20019-149-0 
# EXFOR reaction        : ['29-CU-0', ['N,EL'], '29-CU-0,,DA'] 
# incident energy       : 3.49e+00 MeV 
# target                : Cu-0 
# product               : Cu-0 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : B.Holmqvist 
# institute             : (2SWDAE ): Studsvik Energiteknik AB 
# reference             : (R,AE-366,1969) 
# year                  : 1969 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/200/20019.x4 
# nds                   : https://nds.iaea.org/EXFOR/20019
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
     -9.42000E-01      0.00000E+00      4.40000E-02      2.20000E-03
     -8.70000E-01      0.00000E+00      2.70000E-02      1.35000E-03
     -7.73000E-01      0.00000E+00      2.50000E-02      1.25000E-03
     -6.52000E-01      0.00000E+00      4.00000E-02      2.00000E-03
     -5.12000E-01      0.00000E+00      5.40000E-02      2.70000E-03
     -3.56000E-01      0.00000E+00      8.90000E-02      4.45000E-03
     -1.89000E-01      0.00000E+00      9.00000E-02      4.50000E-03
     -1.60000E-02      0.00000E+00      8.10000E-02      4.05000E-03
      1.58000E-01      0.00000E+00      4.30000E-02      2.15000E-03
      3.28000E-01      0.00000E+00      2.30000E-02      1.15000E-03
      4.88000E-01      0.00000E+00      3.10000E-02      1.55000E-03
      6.33000E-01      0.00000E+00      1.14000E-01      5.70000E-03
      7.60000E-01      0.00000E+00      2.90000E-01      1.45000E-02
      8.62000E-01      0.00000E+00      5.89000E-01      2.94500E-02
      9.38000E-01      0.00000E+00      1.04800E+00      5.24000E-02
