# entry-subent-pointer  : 13733-007-0 
# EXFOR reaction        : (29-CU-0(N,TOT),,SIG) 
# incident energy       : 1.0059e-08 MeV - 4.9904e-08 MeV 
# target                : Cu-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : Harvey 
# institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
# reference             : (C,82ANTWER,,961,1982) 
# year                  : 1982 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/137/13733.x4 
# nds                   : https://nds.iaea.org/EXFOR/13733
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.0059E-08        3.0177E-11        6.8056E+00        0.0000E+00
        1.0257E-08        3.0771E-11        6.8060E+00        0.0000E+00
        1.0456E-08        3.1368E-11        6.7786E+00        0.0000E+00
        1.0704E-08        3.2112E-11        6.7512E+00        0.0000E+00
        1.0902E-08        3.2706E-11        6.7238E+00        0.0000E+00
        1.1101E-08        3.3303E-11        6.7520E+00        0.0000E+00
        1.1149E-08        3.3447E-11        6.9465E+00        0.0000E+00
        1.1260E-08        3.3780E-11        7.5124E+00        0.0000E+00
        1.1262E-08        3.3786E-11        7.1768E+00        0.0000E+00
        1.1378E-08        3.4134E-11        7.8482E+00        0.0000E+00
        1.1419E-08        3.4257E-11        7.6693E+00        0.0000E+00
        1.1501E-08        3.4503E-11        7.2891E+00        0.0000E+00
        1.1503E-08        3.4509E-11        7.0878E+00        0.0000E+00
        1.1584E-08        3.4752E-11        6.9089E+00        0.0000E+00
        1.1664E-08        3.4992E-11        6.7748E+00        0.0000E+00
        1.1745E-08        3.5235E-11        6.6407E+00        0.0000E+00
        1.1866E-08        3.5598E-11        6.4620E+00        0.0000E+00
        1.2066E-08        3.6198E-11        6.3952E+00        0.0000E+00
        1.2226E-08        3.6678E-11        6.3508E+00        0.0000E+00
        1.2426E-08        3.7278E-11        6.3288E+00        0.0000E+00
        1.2626E-08        3.7878E-11        6.3292E+00        0.0000E+00
        1.2784E-08        3.8352E-11        6.5084E+00        0.0000E+00
        1.2945E-08        3.8835E-11        6.3521E+00        0.0000E+00
        1.3064E-08        3.9192E-11        6.5090E+00        0.0000E+00
        1.3143E-08        3.9429E-11        6.7105E+00        0.0000E+00
        1.3182E-08        3.9546E-11        6.8895E+00        0.0000E+00
        1.3220E-08        3.9660E-11        7.0909E+00        0.0000E+00
        1.3299E-08        3.9897E-11        7.3148E+00        0.0000E+00
        1.3417E-08        4.0251E-11        7.5611E+00        0.0000E+00
        1.3459E-08        4.0377E-11        7.2256E+00        0.0000E+00
        1.3501E-08        4.0503E-11        7.0020E+00        0.0000E+00
        1.3542E-08        4.0626E-11        6.8231E+00        0.0000E+00
        1.3583E-08        4.0749E-11        6.6218E+00        0.0000E+00
        1.3624E-08        4.0872E-11        6.4652E+00        0.0000E+00
        1.3744E-08        4.1232E-11        6.3312E+00        0.0000E+00
        1.3905E-08        4.1715E-11        6.1749E+00        0.0000E+00
        1.4105E-08        4.2315E-11        6.1529E+00        0.0000E+00
        1.4384E-08        4.3152E-11        6.1534E+00        0.0000E+00
        1.4544E-08        4.3632E-11        6.2656E+00        0.0000E+00
        1.4583E-08        4.3749E-11        6.3999E+00        0.0000E+00
        1.4742E-08        4.4226E-11        6.5121E+00        0.0000E+00
        1.4821E-08        4.4463E-11        6.6688E+00        0.0000E+00
        1.4860E-08        4.4580E-11        6.8479E+00        0.0000E+00
        1.4898E-08        4.4694E-11        7.0940E+00        0.0000E+00
        1.4976E-08        4.4928E-11        7.3627E+00        0.0000E+00
        1.5017E-08        4.5051E-11        7.2956E+00        0.0000E+00
        1.5137E-08        4.5411E-11        7.1616E+00        0.0000E+00
        1.5178E-08        4.5534E-11        6.9827E+00        0.0000E+00
        1.5220E-08        4.5660E-11        6.6696E+00        0.0000E+00
        1.5259E-08        4.5777E-11        6.8039E+00        0.0000E+00
        1.5301E-08        4.5903E-11        6.4683E+00        0.0000E+00
        1.5382E-08        4.6146E-11        6.3119E+00        0.0000E+00
        1.5423E-08        4.6269E-11        6.1330E+00        0.0000E+00
        1.5584E-08        4.6752E-11        5.9990E+00        0.0000E+00
        1.5744E-08        4.7232E-11        5.9322E+00        0.0000E+00
        1.5904E-08        4.7712E-11        5.8654E+00        0.0000E+00
        1.6064E-08        4.8192E-11        5.8433E+00        0.0000E+00
        1.6304E-08        4.8912E-11        5.8214E+00        0.0000E+00
        1.6544E-08        4.9632E-11        5.7995E+00        0.0000E+00
        1.6703E-08        5.0109E-11        5.8893E+00        0.0000E+00
        1.6863E-08        5.0589E-11        5.8001E+00        0.0000E+00
        1.7143E-08        5.1429E-11        5.8229E+00        0.0000E+00
        1.7303E-08        5.1909E-11        5.7114E+00        0.0000E+00
        1.7422E-08        5.2266E-11        5.8011E+00        0.0000E+00
        1.7582E-08        5.2746E-11        5.9133E+00        0.0000E+00
        1.7741E-08        5.3223E-11        5.9807E+00        0.0000E+00
        1.7820E-08        5.3460E-11        6.0927E+00        0.0000E+00
        1.7858E-08        5.3574E-11        6.3836E+00        0.0000E+00
        1.7859E-08        5.3577E-11        6.2494E+00        0.0000E+00
        1.7978E-08        5.3934E-11        6.4957E+00        0.0000E+00
        1.8057E-08        5.4171E-11        6.6077E+00        0.0000E+00
        1.8096E-08        5.4288E-11        6.7420E+00        0.0000E+00
        1.8215E-08        5.4645E-11        6.8541E+00        0.0000E+00
        1.8296E-08        5.4888E-11        6.6752E+00        0.0000E+00
        1.8337E-08        5.5011E-11        6.5411E+00        0.0000E+00
        1.8338E-08        5.5014E-11        6.4069E+00        0.0000E+00
        1.8418E-08        5.5254E-11        6.2728E+00        0.0000E+00
        1.8419E-08        5.5257E-11        6.1385E+00        0.0000E+00
        1.8500E-08        5.5500E-11        5.9821E+00        0.0000E+00
        1.8581E-08        5.5743E-11        5.8480E+00        0.0000E+00
        1.8661E-08        5.5983E-11        5.7363E+00        0.0000E+00
        1.8782E-08        5.6346E-11        5.6246E+00        0.0000E+00
        1.8982E-08        5.6946E-11        5.5579E+00        0.0000E+00
        1.9181E-08        5.7543E-11        5.6030E+00        0.0000E+00
        1.9341E-08        5.8023E-11        5.6928E+00        0.0000E+00
        1.9380E-08        5.8140E-11        5.8271E+00        0.0000E+00
        1.9418E-08        5.8254E-11        6.0956E+00        0.0000E+00
        1.9418E-08        5.8254E-11        6.0285E+00        0.0000E+00
        1.9419E-08        5.8257E-11        5.9390E+00        0.0000E+00
        1.9457E-08        5.8371E-11        6.2299E+00        0.0000E+00
        1.9616E-08        5.8848E-11        6.3421E+00        0.0000E+00
        1.9618E-08        5.8854E-11        6.0289E+00        0.0000E+00
        1.9657E-08        5.8971E-11        6.2079E+00        0.0000E+00
        1.9658E-08        5.8974E-11        6.0961E+00        0.0000E+00
        1.9659E-08        5.8977E-11        5.8947E+00        0.0000E+00
        1.9700E-08        5.9100E-11        5.7606E+00        0.0000E+00
        1.9740E-08        5.9220E-11        5.6488E+00        0.0000E+00
        1.9861E-08        5.9583E-11        5.5595E+00        0.0000E+00
        2.0021E-08        6.0063E-11        5.5151E+00        0.0000E+00
        2.0180E-08        6.0540E-11        5.5154E+00        0.0000E+00
        2.0340E-08        6.1020E-11        5.5604E+00        0.0000E+00
        2.0458E-08        6.1374E-11        5.9186E+00        0.0000E+00
        2.0498E-08        6.1494E-11        5.8068E+00        0.0000E+00
        2.0499E-08        6.1497E-11        5.6949E+00        0.0000E+00
        2.0537E-08        6.1611E-11        6.0306E+00        0.0000E+00
        2.0616E-08        6.1848E-11        6.1650E+00        0.0000E+00
        2.0695E-08        6.2085E-11        6.3217E+00        0.0000E+00
        2.0776E-08        6.2328E-11        6.1876E+00        0.0000E+00
        2.0816E-08        6.2448E-11        6.0535E+00        0.0000E+00
        2.0858E-08        6.2574E-11        5.6956E+00        0.0000E+00
        2.0897E-08        6.2691E-11        5.9418E+00        0.0000E+00
        2.0898E-08        6.2694E-11        5.8075E+00        0.0000E+00
        2.0899E-08        6.2697E-11        5.5838E+00        0.0000E+00
        2.1019E-08        6.3057E-11        5.5393E+00        0.0000E+00
        2.1218E-08        6.3654E-11        5.6291E+00        0.0000E+00
        2.1257E-08        6.3771E-11        5.7858E+00        0.0000E+00
        2.1297E-08        6.3891E-11        5.8978E+00        0.0000E+00
        2.1334E-08        6.4002E-11        6.3453E+00        0.0000E+00
        2.1336E-08        6.4008E-11        6.0544E+00        0.0000E+00
        2.1375E-08        6.4125E-11        6.2111E+00        0.0000E+00
        2.1453E-08        6.4359E-11        6.5021E+00        0.0000E+00
        2.1492E-08        6.4476E-11        6.6140E+00        0.0000E+00
        2.1571E-08        6.4713E-11        6.7708E+00        0.0000E+00
        2.1612E-08        6.4836E-11        6.5695E+00        0.0000E+00
        2.1653E-08        6.4959E-11        6.4130E+00        0.0000E+00
        2.1774E-08        6.5322E-11        6.3237E+00        0.0000E+00
        2.1854E-08        6.5562E-11        6.1896E+00        0.0000E+00
        2.1895E-08        6.5685E-11        6.0331E+00        0.0000E+00
        2.1936E-08        6.5808E-11        5.8766E+00        0.0000E+00
        2.1977E-08        6.5931E-11        5.7648E+00        0.0000E+00
        2.2057E-08        6.6171E-11        5.6531E+00        0.0000E+00
        2.2058E-08        6.6174E-11        5.5412E+00        0.0000E+00
        2.2098E-08        6.6294E-11        5.4518E+00        0.0000E+00
        2.2258E-08        6.6774E-11        5.4073E+00        0.0000E+00
        2.2458E-08        6.7374E-11        5.4972E+00        0.0000E+00
        2.2536E-08        6.7608E-11        5.7434E+00        0.0000E+00
        2.2537E-08        6.7611E-11        5.6092E+00        0.0000E+00
        2.2615E-08        6.7845E-11        5.8778E+00        0.0000E+00
        2.2654E-08        6.7962E-11        6.0121E+00        0.0000E+00
        2.2693E-08        6.8079E-11        6.1464E+00        0.0000E+00
        2.2733E-08        6.8199E-11        6.2807E+00        0.0000E+00
        2.2772E-08        6.8316E-11        6.3927E+00        0.0000E+00
        2.2811E-08        6.8433E-11        6.5494E+00        0.0000E+00
        2.2850E-08        6.8550E-11        6.6837E+00        0.0000E+00
        2.3009E-08        6.9027E-11        6.7735E+00        0.0000E+00
        2.3010E-08        6.9030E-11        6.6169E+00        0.0000E+00
        2.3011E-08        6.9033E-11        6.4826E+00        0.0000E+00
        2.3051E-08        6.9153E-11        6.3932E+00        0.0000E+00
        2.3052E-08        6.9156E-11        6.2590E+00        0.0000E+00
        2.3093E-08        6.9279E-11        6.1472E+00        0.0000E+00
        2.3134E-08        6.9402E-11        5.9906E+00        0.0000E+00
        2.3175E-08        6.9525E-11        5.8117E+00        0.0000E+00
        2.3215E-08        6.9645E-11        5.6776E+00        0.0000E+00
        2.3256E-08        6.9768E-11        5.5434E+00        0.0000E+00
        2.3377E-08        7.0131E-11        5.4094E+00        0.0000E+00
        2.3457E-08        7.0371E-11        5.2977E+00        0.0000E+00
        2.3658E-08        7.0974E-11        5.2086E+00        0.0000E+00
        2.3897E-08        7.1691E-11        5.1866E+00        0.0000E+00
        2.4058E-08        7.2174E-11        5.1422E+00        0.0000E+00
        2.4297E-08        7.2891E-11        5.1426E+00        0.0000E+00
        2.4497E-08        7.3491E-11        5.1654E+00        0.0000E+00
        2.4656E-08        7.3968E-11        5.2104E+00        0.0000E+00
        2.4856E-08        7.4568E-11        5.2332E+00        0.0000E+00
        2.4895E-08        7.4685E-11        5.3004E+00        0.0000E+00
        2.5015E-08        7.5045E-11        5.3901E+00        0.0000E+00
        2.5134E-08        7.5402E-11        5.4798E+00        0.0000E+00
        2.5214E-08        7.5642E-11        5.4128E+00        0.0000E+00
        2.5295E-08        7.5885E-11        5.3011E+00        0.0000E+00
        2.5335E-08        7.6005E-11        5.2117E+00        0.0000E+00
        2.5416E-08        7.6248E-11        5.1000E+00        0.0000E+00
        2.5576E-08        7.6728E-11        5.1450E+00        0.0000E+00
        2.5735E-08        7.7205E-11        5.1677E+00        0.0000E+00
        2.5855E-08        7.7565E-11        5.1231E+00        0.0000E+00
        2.6095E-08        7.8285E-11        5.1012E+00        0.0000E+00
        2.6215E-08        7.8645E-11        5.1462E+00        0.0000E+00
        2.6295E-08        7.8885E-11        5.1463E+00        0.0000E+00
        2.6455E-08        7.9365E-11        5.0571E+00        0.0000E+00
        2.6574E-08        7.9722E-11        5.1245E+00        0.0000E+00
        2.6734E-08        8.0202E-11        5.1919E+00        0.0000E+00
        2.6893E-08        8.0679E-11        5.2369E+00        0.0000E+00
        2.6972E-08        8.0916E-11        5.3489E+00        0.0000E+00
        2.7092E-08        8.1276E-11        5.4387E+00        0.0000E+00
        2.7171E-08        8.1513E-11        5.5283E+00        0.0000E+00
        2.7250E-08        8.1750E-11        5.6403E+00        0.0000E+00
        2.7329E-08        8.1987E-11        5.8865E+00        0.0000E+00
        2.7330E-08        8.1990E-11        5.7523E+00        0.0000E+00
        2.7368E-08        8.2104E-11        6.0209E+00        0.0000E+00
        2.7487E-08        8.2461E-11        6.1329E+00        0.0000E+00
        2.7608E-08        8.2824E-11        6.0213E+00        0.0000E+00
        2.7728E-08        8.3184E-11        5.9097E+00        0.0000E+00
        2.7809E-08        8.3427E-11        5.7979E+00        0.0000E+00
        2.7809E-08        8.3427E-11        5.6861E+00        0.0000E+00
        2.7850E-08        8.3550E-11        5.5743E+00        0.0000E+00
        2.7891E-08        8.3673E-11        5.4401E+00        0.0000E+00
        2.7971E-08        8.3913E-11        5.3060E+00        0.0000E+00
        2.8092E-08        8.4276E-11        5.1944E+00        0.0000E+00
        2.8292E-08        8.4876E-11        5.1500E+00        0.0000E+00
        2.8451E-08        8.5353E-11        5.2174E+00        0.0000E+00
        2.8651E-08        8.5953E-11        5.2626E+00        0.0000E+00
        2.8810E-08        8.6430E-11        5.3076E+00        0.0000E+00
        2.8929E-08        8.6787E-11        5.4197E+00        0.0000E+00
