# entry-subent-pointer  : 20386-003-0 
# EXFOR reaction        : (29-CU-65(N,2N)29-CU-64,,SIG) 
# incident energy       : 1.2600e+01 MeV - 1.9580e+01 MeV 
# target                : Cu-65 
# product               : Cu-64 
# level energy          : - 
# MF-MT number          : 3 - 16 
# first author          : Paulsen 
# institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
# reference             : (J,NUK,7,117,1965) 
# year                  : 1965 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/203/20386.x4 
# nds                   : https://nds.iaea.org/EXFOR/20386
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.2600E+01        1.1000E-01        6.5300E-01        4.6000E-02
        1.2760E+01        1.4000E-01        6.7200E-01        4.7000E-02
        1.2980E+01        1.7000E-01        7.4700E-01        5.2000E-02
        1.3100E+01        1.8000E-01        7.5800E-01        5.3000E-02
        1.3380E+01        2.1000E-01        8.2700E-01        5.8000E-02
        1.3540E+01        2.2000E-01        8.5500E-01        6.0000E-02
        1.3880E+01        2.4000E-01        9.0900E-01        6.4000E-02
        1.4050E+01        2.5000E-01        8.9300E-01        6.3000E-02
        1.4420E+01        2.6000E-01        9.6400E-01        6.8000E-02
        1.4610E+01        2.6000E-01        9.8800E-01        6.9000E-02
        1.4990E+01        2.7000E-01        9.8600E-01        6.9000E-02
        1.5180E+01        2.6000E-01        1.0070E+00        7.0000E-02
        1.5550E+01        2.4000E-01        1.0260E+00        7.2000E-02
        1.5710E+01        2.3000E-01        1.0650E+00        7.5000E-02
        1.6030E+01        2.1000E-01        1.0470E+00        7.3000E-02
        1.6240E+01        2.0000E-01        1.0460E+00        7.3000E-02
        1.6590E+01        1.9000E-01        1.0790E+00        7.6000E-02
        1.6930E+01        4.7000E-01        1.0630E+00        7.5000E-02
        1.7270E+01        4.6000E-01        1.0450E+00        7.3000E-02
        1.7590E+01        4.4000E-01        1.0540E+00        7.4000E-02
        1.7900E+01        4.2000E-01        1.0600E+00        7.4000E-02
        1.8190E+01        3.9000E-01        1.0840E+00        7.6000E-02
        1.8470E+01        3.6000E-01        1.1050E+00        7.7000E-02
        1.8710E+01        3.3000E-01        1.1330E+00        7.9000E-02
        1.8940E+01        2.9000E-01        1.1560E+00        8.1000E-02
        1.9290E+01        2.0000E-01        1.1150E+00        7.8000E-02
        1.9580E+01        1.9000E-01        1.1630E+00        8.2000E-02
