# entry-subent-pointer  : 40642-003-0 
# EXFOR reaction        : (29-CU-65(N,G)29-CU-66,,SIG) 
# incident energy       : 2.3000e-02 MeV - 1.9250e+00 MeV 
# target                : Cu-65 
# product               : Cu-66 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : Stavisskiy 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : (J,AE,10,(5),508,196105) 
# year                  : 1961 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/406/40642.x4 
# nds                   : https://nds.iaea.org/EXFOR/40642
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.3000E-02        0.0000E+00        5.0900E-02        3.9000E-03
        4.5000E-02        0.0000E+00        3.6000E-02        2.4000E-03
        6.7000E-02        0.0000E+00        3.1100E-02        2.1000E-03
        9.1000E-02        0.0000E+00        2.3500E-02        1.6000E-03
        1.1700E-01        0.0000E+00        1.9600E-02        1.2000E-03
        1.5000E-01        0.0000E+00        1.6300E-02        9.0000E-04
        1.6700E-01        0.0000E+00        1.4800E-02        8.0000E-04
        1.9500E-01        0.0000E+00        1.4100E-02        7.0000E-04
        2.2300E-01        0.0000E+00        1.2500E-02        6.0000E-04
        2.5400E-01        0.0000E+00        1.0900E-02        5.0000E-04
        2.9100E-01        0.0000E+00        9.9000E-03        4.0000E-04
        4.1000E-01        0.0000E+00        8.6000E-03        3.0000E-04
        5.2000E-01        0.0000E+00        8.3000E-03        3.0000E-04
        5.7000E-01        0.0000E+00        7.8000E-03        2.0000E-04
        6.1000E-01        0.0000E+00        7.4000E-03        4.0000E-04
        6.6000E-01        0.0000E+00        7.7000E-03        2.0000E-04
        7.2500E-01        0.0000E+00        7.1000E-03        2.0000E-04
        8.4000E-01        0.0000E+00        7.5000E-03        4.0000E-04
        9.1500E-01        0.0000E+00        7.7000E-03        3.0000E-04
        1.0150E+00        0.0000E+00        7.5000E-03        3.0000E-04
        1.1100E+00        0.0000E+00        7.5000E-03        3.0000E-04
        1.2100E+00        0.0000E+00        6.4000E-03        2.0000E-04
        1.3200E+00        0.0000E+00        6.6000E-03        2.0000E-04
        1.4200E+00        0.0000E+00        6.6000E-03        3.0000E-04
        1.5300E+00        0.0000E+00        5.4000E-03        2.0000E-04
        1.7000E+00        0.0000E+00        5.3000E-03        2.0000E-04
        1.9250E+00        0.0000E+00        4.5000E-03        1.0000E-04
