# entry-subent-pointer  : 40748--01-1-0 
# EXFOR reaction        : ['66-DY-162', ['N,INL'], '66-DY-162,PAR,SIG'] 
# incident energy       : 3.24e-01 MeV - 1.14e+00 MeV 
# target                : Dy-162 
# product               : Dy-162 
# level energy          : 2.66e-01 MeV 
# MF-MT number          : 3 - ['52'] 
# first author          : E.S.Konobeevskij 
# institute             : (4CCPJIA): Institute Yadernych Issledovanii A.N. SSSR, Moskva 
# reference             : (C,83KIEV,3,203,8310) 
# year                  : 1983 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/407/40748.x4 
# nds                   : https://nds.iaea.org/EXFOR/40748
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      3.24000E-01      9.00000E-02      3.00000E-02      1.00000E-02
      3.70000E-01      9.00000E-02      4.00000E-02      1.00000E-02
      4.64000E-01      9.00000E-02      8.00000E-02      2.00000E-02
      5.58000E-01      9.00000E-02      1.40000E-01      2.00000E-02
      6.53000E-01      9.00000E-02      2.00000E-01      3.00000E-02
      7.48000E-01      9.00000E-02      2.50000E-01      4.00000E-02
      8.44000E-01      9.00000E-02      3.20000E-01      5.00000E-02
      9.45000E-01      9.00000E-02      3.70000E-01      6.00000E-02
      1.04000E+00      9.00000E-02      4.10000E-01      6.00000E-02
      1.13900E+00      9.00000E-02      4.70000E-01      7.00000E-02
