# entry-subent-pointer  : 10850-003-2 
# EXFOR reaction        : (9-F-19(N,A)7-N-16,,SIG) 
# incident energy       : 3.3440e+00 MeV - 8.9490e+00 MeV 
# target                : F-19 
# product               : N-16 
# level energy          : - 
# MF-MT number          : 3 - 107 
# first author          : Smith 
# institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
# reference             : (J,NSE,77,256,1981) 
# year                  : 1981 
# facility              : (DYNAM): Dynamitron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/108/10850.x4 
# nds                   : https://nds.iaea.org/EXFOR/10850
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        3.3440E+00        9.1000E-02        3.1170E-03        4.6132E-04
        3.4430E+00        8.9000E-02        8.9020E-03        1.2107E-03
        3.5440E+00        8.4000E-02        1.7130E-02        2.3126E-03
        3.6440E+00        8.5000E-02        2.4500E-02        3.2830E-03
        3.7440E+00        8.5000E-02        2.5050E-02        3.3567E-03
        3.8430E+00        8.3000E-02        1.9980E-02        2.6973E-03
        3.8490E+00        8.4000E-02        2.0190E-02        2.8468E-03
        3.8750E+00        8.5000E-02        2.0980E-02        2.9162E-03
        3.9430E+00        8.0000E-02        2.8440E-02        3.7825E-03
        3.9490E+00        8.7000E-02        2.7660E-02        3.8171E-03
        3.9760E+00        8.2000E-02        2.9180E-02        3.9977E-03
        4.0420E+00        8.0000E-02        4.5000E-02        5.9400E-03
        4.0480E+00        8.2000E-02        4.3820E-02        5.9157E-03
        4.0760E+00        8.0000E-02        4.4530E-02        5.9670E-03
        4.1410E+00        7.9000E-02        4.4880E-02        5.9242E-03
        4.1470E+00        7.9000E-02        5.2740E-02        7.0144E-03
        4.1770E+00        7.8000E-02        5.3620E-02        7.1315E-03
        4.2370E+00        8.1000E-02        7.3230E-02        9.5931E-03
        4.2430E+00        8.0000E-02        7.4930E-02        9.8908E-03
        4.2770E+00        7.6000E-02        8.5360E-02        1.1268E-02
        4.3790E+00        7.8000E-02        1.0210E-01        1.3477E-02
        4.4800E+00        7.4000E-02        8.7440E-02        1.1630E-02
        4.5800E+00        7.5000E-02        8.1960E-02        1.0901E-02
        4.6800E+00        7.4000E-02        9.3920E-02        1.2491E-02
        4.7810E+00        7.2000E-02        1.2040E-01        1.5893E-02
        4.8610E+00        2.5400E-01        1.0240E-01        1.4438E-02
        4.8670E+00        2.5300E-01        1.0430E-01        1.4811E-02
        4.8820E+00        7.3000E-02        1.0750E-01        1.4190E-02
        4.9820E+00        7.2000E-02        8.5980E-02        1.1521E-02
        4.9820E+00        2.4600E-01        9.0610E-02        1.2776E-02
        4.9890E+00        2.3300E-01        9.1520E-02        1.3087E-02
        5.0820E+00        6.9000E-02        8.9100E-02        1.1939E-02
        5.0980E+00        2.3300E-01        9.1800E-02        1.2944E-02
        5.1060E+00        2.2500E-01        8.9660E-02        1.3001E-02
        5.2170E+00        2.2100E-01        9.4260E-02        1.3291E-02
        5.2250E+00        2.1600E-01        9.1670E-02        1.3292E-02
        5.3310E+00        2.1100E-01        1.1050E-01        1.5580E-02
        5.3390E+00        2.0500E-01        1.1850E-01        1.6709E-02
        5.4550E+00        1.9900E-01        1.3670E-01        1.9275E-02
        5.5660E+00        1.8700E-01        1.4920E-01        2.1037E-02
        5.6790E+00        1.8600E-01        1.6000E-01        2.2560E-02
        5.7880E+00        1.7700E-01        1.6480E-01        2.3237E-02
        5.8980E+00        1.6900E-01        1.6030E-01        2.2602E-02
        6.0060E+00        1.6800E-01        1.5550E-01        2.1770E-02
        6.1140E+00        1.6100E-01        1.5690E-01        2.2123E-02
        6.1630E+00        1.5400E-01        1.4640E-01        2.0642E-02
        6.3270E+00        1.4700E-01        1.1530E-01        1.6257E-02
        6.4330E+00        1.4700E-01        1.1680E-01        1.6469E-02
        6.5380E+00        1.4100E-01        1.1350E-01        1.6004E-02
        6.6420E+00        1.4000E-01        1.2760E-01        1.7992E-02
        6.7460E+00        1.3500E-01        1.2630E-01        1.7808E-02
        6.8350E+00        1.3000E-01        1.2470E-01        1.7583E-02
        6.9370E+00        1.3300E-01        1.1480E-01        1.6302E-02
        7.0390E+00        1.3000E-01        1.1720E-01        1.6642E-02
        7.1400E+00        1.2700E-01        1.0610E-01        1.5066E-02
        7.2420E+00        1.3000E-01        9.1340E-02        1.2970E-02
        7.3420E+00        1.1900E-01        1.0470E-01        1.4867E-02
        7.4430E+00        1.2300E-01        1.0980E-01        1.5592E-02
        7.5440E+00        1.2400E-01        9.4710E-02        1.3449E-02
        7.6430E+00        1.2100E-01        8.6240E-02        1.2246E-02
        7.7430E+00        1.1800E-01        8.2040E-02        1.1650E-02
        7.8430E+00        1.1300E-01        8.6430E-02        1.2273E-02
        7.9420E+00        1.2000E-01        8.5760E-02        1.2178E-02
