# entry-subent-pointer  : 21658-003-0 
# EXFOR reaction        : ['26-FE-0', ['N,A'], ',,SIG'] 
# incident energy       : 4.89e+00 MeV - 9.97e+00 MeV 
# target                : Fe-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 107 
# first author          : A.Paulsen 
# institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
# reference             : (J,NSE,78,(4),377,8108) 
# year                  : 1981 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/216/21658.x4 
# nds                   : https://nds.iaea.org/EXFOR/21658
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      4.89000E+00      0.00000E+00      4.10000E-04      8.00000E-05
      5.42000E+00      0.00000E+00      9.10000E-04      1.10000E-04
      5.93000E+00      0.00000E+00      2.70000E-03      3.00000E-04
      6.44000E+00      0.00000E+00      6.70000E-03      7.00000E-04
      6.95000E+00      0.00000E+00      8.50000E-03      6.00000E-04
      7.45000E+00      0.00000E+00      9.30000E-03      7.00000E-04
      7.96000E+00      0.00000E+00      1.47000E-02      1.30000E-03
      8.46000E+00      0.00000E+00      1.81000E-02      2.70000E-03
      8.96000E+00      0.00000E+00      2.20000E-02      1.70000E-03
      9.52000E+00      0.00000E+00      3.21000E-02      3.50000E-03
      9.97000E+00      0.00000E+00      2.92000E-02      2.00000E-03
