# entry-subent-pointer  : 14451-003-0 
# EXFOR reaction        : ['26-FE-0', ['N,EL'], '26-FE-0,,DA'] 
# incident energy       : 1.7500e+00 MeV 
# target                : Fe-0 
# product               : Fe-0 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : J.R.Vanhoy 
# institute             : (1USADLS): University of Dallas, Irving, TX 
# reference             : (J,NP/A,972,107,2018) 
# year                  : 2018 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/144/14451.x4 
# nds                   : https://nds.iaea.org/EXFOR/14451
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      3.00000E+01      0.00000E+00      4.97900E-01      2.55000E-02
      4.00000E+01      0.00000E+00      3.51600E-01      1.70000E-02
      5.00000E+01      0.00000E+00      2.19100E-01      9.80000E-03
      6.00000E+01      0.00000E+00      1.27800E-01      5.30000E-03
      7.00000E+01      0.00000E+00      7.78000E-02      3.10000E-03
      8.00000E+01      0.00000E+00      6.23000E-02      2.50000E-03
      9.00000E+01      0.00000E+00      6.68000E-02      2.70000E-03
      1.00000E+02      0.00000E+00      8.16000E-02      3.40000E-03
      1.10000E+02      0.00000E+00      1.00200E-01      4.20000E-03
      1.20000E+02      0.00000E+00      1.16900E-01      5.00000E-03
      1.30000E+02      0.00000E+00      1.31900E-01      5.70000E-03
      1.40000E+02      0.00000E+00      1.39800E-01      6.10000E-03
