# entry-subent-pointer  : 11732-016-0 
# EXFOR reaction        : (26-FE-0(N,TOT),,SIG) 
# incident energy       : 3.1000e-09 MeV - 2.4800e-08 MeV 
# target                : Fe-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : Havens Jr 
# institute             : (1USACOL): Columbia University, New York, NY 
# reference             : (J,PR,83,1123,1951) 
# year                  : 1951 
# facility              : (SELVE): Velocity selector 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/117/11732.x4 
# nds                   : https://nds.iaea.org/EXFOR/11732
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.4800E-08        0.0000E+00        1.3195E+01        0.0000E+00
        2.0600E-08        0.0000E+00        1.3301E+01        0.0000E+00
        1.8000E-08        0.0000E+00        1.4102E+01        0.0000E+00
        1.5300E-08        0.0000E+00        1.3219E+01        0.0000E+00
        1.3200E-08        0.0000E+00        1.2577E+01        0.0000E+00
        1.2000E-08        0.0000E+00        1.2683E+01        0.0000E+00
        1.0500E-08        0.0000E+00        1.3698E+01        0.0000E+00
        9.5000E-09        0.0000E+00        1.3750E+01        0.0000E+00
        9.2000E-09        0.0000E+00        1.4044E+01        0.0000E+00
        8.4000E-09        0.0000E+00        1.4631E+01        0.0000E+00
        7.6000E-09        0.0000E+00        1.6420E+01        1.6000E-01
        6.8000E-09        0.0000E+00        1.7541E+01        1.8700E-01
        6.2000E-09        0.0000E+00        1.8529E+01        1.8700E-01
        5.7000E-09        0.0000E+00        1.9062E+01        2.1400E-01
        5.2000E-09        0.0000E+00        1.4039E+01        2.6700E-01
        4.8000E-09        0.0000E+00        7.3580E+00        1.8700E-01
        4.4000E-09        0.0000E+00        6.5560E+00        1.8700E-01
        4.1000E-09        0.0000E+00        6.9020E+00        1.3300E-01
        3.8000E-09        0.0000E+00        7.1950E+00        1.8700E-01
        3.6000E-09        0.0000E+00        7.6490E+00        1.8700E-01
        3.3000E-09        0.0000E+00        7.7010E+00        3.2000E-01
        3.1000E-09        0.0000E+00        7.7810E+00        2.1300E-01
