# entry-subent-pointer  : 23365-009-0 
# EXFOR reaction        : ['26-FE-56', ['N,INL'], '26-FE-56,PAR,DA'] 
# incident energy       : 1.9978e+00 MeV - 5.9835e+00 MeV 
# target                : Fe-56 
# product               : Fe-56 
# level energy          : 8.4680e-01 MeV 
# MF-MT number          : 4 - 51 
# first author          : E.Pirovano 
# institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
# reference             : (J,PR/C,99,024601,2019) 
# year                  : 2019 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/233/23365.x4 
# nds                   : https://nds.iaea.org/EXFOR/23365
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
     -9.60300E-01      5.00000E-04      6.90000E-02      3.10000E-02
     -9.60300E-01      5.00000E-04      7.20000E-02      1.60000E-02
     -9.60300E-01      5.00000E-04      7.00000E-02      1.60000E-02
     -9.60300E-01      5.00000E-04      7.10000E-02      1.70000E-02
     -9.60300E-01      5.00000E-04      7.90000E-02      2.50000E-02
     -9.60300E-01      5.00000E-04      9.00000E-02      2.80000E-02
     -9.60300E-01      5.00000E-04      8.40000E-02      2.20000E-02
     -9.60300E-01      5.00000E-04      6.40000E-02      1.40000E-02
     -9.60300E-01      5.00000E-04      7.40000E-02      1.60000E-02
     -9.60300E-01      5.00000E-04      7.30000E-02      2.10000E-02
     -9.60300E-01      5.00000E-04      7.30000E-02      2.70000E-02
     -9.60300E-01      5.00000E-04      6.90000E-02      1.50000E-02
     -9.60300E-01      5.00000E-04      8.40000E-02      2.70000E-02
     -9.60300E-01      5.00000E-04      9.10000E-02      3.30000E-02
     -9.60300E-01      5.00000E-04      8.20000E-02      3.70000E-02
     -9.60300E-01      5.00000E-04      7.10000E-02      2.40000E-02
     -9.60300E-01      5.00000E-04      9.90000E-02      2.50000E-02
     -9.60300E-01      5.00000E-04      1.18000E-01      3.80000E-02
     -9.60300E-01      5.00000E-04      1.07000E-01      3.10000E-02
     -9.60300E-01      5.00000E-04      9.90000E-02      2.80000E-02
     -9.60300E-01      5.00000E-04      8.20000E-02      2.70000E-02
     -9.60300E-01      5.00000E-04      7.10000E-02      1.40000E-02
