# entry-subent-pointer  : 22386-017-0 
# EXFOR reaction        : (64-GD-156(N,G)64-GD-157,,SIG,,MXW,DERIV) 
# incident energy       : 1.0000e-02 MeV - 1.0000e-01 MeV 
# target                : Gd-156 
# product               : Gd-157 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : Wisshak 
# institute             : (2GERKFK): Karlsruhe Institute of Technology (KIT) 
# reference             : (J,PR/C,52,(5),2762,199511) 
# year                  : 1995 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/223/22386.x4 
# nds                   : https://nds.iaea.org/EXFOR/22386
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.0000E-02        0.0000E+00        1.1170E+00        2.0000E-02
        1.2000E-02        0.0000E+00        1.0040E+00        1.5000E-02
        2.0000E-02        0.0000E+00        7.6040E-01        7.6000E-03
        2.5000E-02        0.0000E+00        6.7680E-01        6.0000E-03
        3.0000E-02        0.0000E+00        6.1520E-01        5.1000E-03
        4.0000E-02        0.0000E+00        5.2800E-01        4.0000E-03
        5.0000E-02        0.0000E+00        4.6800E-01        3.6000E-03
        5.2000E-02        0.0000E+00        4.5820E-01        3.4000E-03
        6.0000E-02        0.0000E+00        4.2410E-01        3.2000E-03
        7.0000E-02        0.0000E+00        3.9030E-01        3.0000E-03
        8.0000E-02        0.0000E+00        3.6390E-01        3.1000E-03
        9.0000E-02        0.0000E+00        3.4250E-01        3.4000E-03
        1.0000E-01        0.0000E+00        3.2450E-01        3.6000E-03
