# entry-subent-pointer  : 11522--01-2-0 
# EXFOR reaction        : ['1-H-PLE', ['N,TOT'], ',,SIG'] 
# incident energy       : 2.01e+00 MeV - 1.38e+01 MeV 
# target                : H-PLE 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : L.A.Galloway 
# institute             : (1USACSE): Case Western Reserve University, Cleveland, OH 
# reference             : (R,COO-1573-6,1966) 
# year                  : 1966 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/115/11522.x4 
# nds                   : https://nds.iaea.org/EXFOR/11522
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.00600E+00      0.00000E+00      7.29700E+00              NAN
      2.02400E+00      0.00000E+00      8.11200E+00              NAN
      2.05000E+00      0.00000E+00      7.90400E+00              NAN
      2.07400E+00      0.00000E+00      8.03700E+00              NAN
      2.10300E+00      0.00000E+00      7.83000E+00              NAN
      2.13000E+00      0.00000E+00      7.20200E+00              NAN
      2.15600E+00      0.00000E+00      6.94200E+00              NAN
      2.21900E+00      0.00000E+00      6.94600E+00              NAN
      2.25100E+00      0.00000E+00      7.08000E+00              NAN
      2.34300E+00      0.00000E+00      6.87700E+00              NAN
      2.37200E+00      0.00000E+00      6.85300E+00              NAN
      2.40400E+00      0.00000E+00      6.77700E+00              NAN
      2.43800E+00      0.00000E+00      6.78000E+00              NAN
      2.47800E+00      0.00000E+00      6.70400E+00              NAN
      2.51700E+00      0.00000E+00      6.60200E+00              NAN
      2.55400E+00      0.00000E+00      6.52700E+00              NAN
      2.64700E+00      0.00000E+00      6.37600E+00              NAN
      2.67300E+00      0.00000E+00      6.45700E+00              NAN
      2.70700E+00      0.00000E+00      6.61700E+00              NAN
      2.74700E+00      0.00000E+00      6.75200E+00              NAN
      2.78100E+00      0.00000E+00      6.83300E+00              NAN
      2.82500E+00      0.00000E+00      6.96800E+00              NAN
      2.87000E+00      0.00000E+00      7.31200E+00              NAN
      2.91500E+00      0.00000E+00      7.26300E+00              NAN
      2.96300E+00      0.00000E+00      6.27000E+00              NAN
      3.00300E+00      0.00000E+00      5.77400E+00              NAN
      3.04200E+00      0.00000E+00      5.93500E+00              NAN
      3.10300E+00      0.00000E+00      6.20200E+00              NAN
      3.15300E+00      0.00000E+00      6.23200E+00              NAN
      3.20000E+00      0.00000E+00      6.47200E+00              NAN
      3.25300E+00      0.00000E+00      6.39800E+00              NAN
      3.31600E+00      0.00000E+00      6.58600E+00              NAN
      3.36300E+00      0.00000E+00      6.72100E+00              NAN
      3.42400E+00      0.00000E+00      6.88300E+00              NAN
      3.48200E+00      0.00000E+00      6.70400E+00              NAN
      3.54000E+00      0.00000E+00      6.73500E+00              NAN
      3.60300E+00      0.00000E+00      6.50400E+00              NAN
      3.66900E+00      0.00000E+00      6.43000E+00              NAN
      3.72700E+00      0.00000E+00      6.09400E+00              NAN
      3.85100E+00      0.00000E+00      5.97200E+00              NAN
      3.93800E+00      0.00000E+00      5.69000E+00              NAN
      4.06200E+00      0.00000E+00      5.60700E+00              NAN
      4.16400E+00      0.00000E+00      5.75900E+00              NAN
      4.24100E+00      0.00000E+00      5.88600E+00              NAN
      4.33100E+00      0.00000E+00      5.81100E+00              NAN
      4.35700E+00      0.00000E+00      5.48300E+00              NAN
      4.46000E+00      0.00000E+00      5.28200E+00              NAN
      4.67900E+00      0.00000E+00      4.85500E+00              NAN
      4.75600E+00      0.00000E+00      4.57800E+00              NAN
      4.85900E+00      0.00000E+00      4.57900E+00              NAN
      5.05100E+00      0.00000E+00      4.53100E+00              NAN
      5.16600E+00      0.00000E+00      4.48100E+00              NAN
      5.24400E+00      0.00000E+00      4.28000E+00              NAN
      5.38400E+00      0.00000E+00      4.43300E+00              NAN
      5.51300E+00      0.00000E+00      4.20700E+00              NAN
      5.64100E+00      0.00000E+00      4.13200E+00              NAN
      5.79500E+00      0.00000E+00      4.05800E+00              NAN
      5.91000E+00      0.00000E+00      3.98400E+00              NAN
      6.26800E+00      0.00000E+00      4.44200E+00              NAN
      6.42300E+00      0.00000E+00      3.76100E+00              NAN
      6.60300E+00      0.00000E+00      3.51100E+00              NAN
      6.74400E+00      0.00000E+00      3.46200E+00              NAN
      6.93600E+00      0.00000E+00      3.38800E+00              NAN
      7.07700E+00      0.00000E+00      3.28800E+00              NAN
      7.26800E+00      0.00000E+00      3.64400E+00              NAN
      7.42100E+00      0.00000E+00      4.17500E+00              NAN
      7.65100E+00      0.00000E+00      4.27900E+00              NAN
      7.86800E+00      0.00000E+00      4.43200E+00              NAN
      8.08700E+00      0.00000E+00      4.10600E+00              NAN
      8.28000E+00      0.00000E+00      3.65400E+00              NAN
      8.48600E+00      0.00000E+00      3.35300E+00              NAN
      8.70400E+00      0.00000E+00      3.25400E+00              NAN
      8.93400E+00      0.00000E+00      3.33200E+00              NAN
      9.15100E+00      0.00000E+00      3.38500E+00              NAN
