# entry-subent-pointer  : 12125--00-4-0 
# EXFOR reaction        : ['67-HO-165', ['N,TOT'], ',,SIG'] 
# incident energy       : 2.50e-03 MeV - 2.04e+00 MeV 
# target                : Ho-165 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : D.C.Stupegia 
# institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
# reference             : (W,STUPEGIA,6606) 
# year                  : 1966 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/121/12125.x4 
# nds                   : https://nds.iaea.org/EXFOR/12125
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      2.50000E-03      3.00000E-04      1.54000E+01      2.00000E-01
      4.00000E-03      1.00000E-03      1.32000E+01      2.00000E-01
      6.00000E-03      1.00000E-03      1.34000E+01      1.00000E-01
      7.50000E-03      6.00000E-04      1.34000E+01      1.00000E-01
      8.90000E-03      5.00000E-04      1.26000E+01      1.00000E-01
      1.02000E-02      6.00000E-04      1.26000E+01      1.00000E-01
      1.15000E-02      1.00000E-03      1.25500E+01      5.00000E-02
      1.30000E-02      1.00000E-03      1.26000E+01      1.00000E-01
      1.45000E-02      1.00000E-03      1.24000E+01      5.00000E-02
      1.60000E-02      1.00000E-03      1.24500E+01      5.00000E-02
      1.85000E-02      1.50000E-03      1.24000E+01      1.00000E-01
      2.02000E-02      1.00000E-03      1.15000E+01      1.00000E-01
      2.25000E-02      1.50000E-03      1.16000E+01      1.00000E-01
      2.50000E-02      1.50000E-03      1.11000E+01      1.00000E-01
      2.84000E-02      1.50000E-03      1.11500E+01      5.00000E-02
      3.30000E-02      1.50000E-03      1.12000E+01      5.00000E-02
      3.40000E-02      2.00000E-03      1.08000E+01      1.00000E-01
      3.75000E-02      2.00000E-03      1.07500E+01      5.00000E-02
      4.15000E-02      2.00000E-03      1.09000E+01      1.00000E-01
      4.53000E-02      2.00000E-03      1.04000E+01      5.00000E-02
      4.93000E-02      2.00000E-03      1.04000E+01      5.00000E-02
      5.30000E-02      2.00000E-03      1.00000E+01      5.00000E-02
      5.50000E-02      2.00000E-03      1.02500E+01      8.00000E-02
      5.90000E-02      2.00000E-03      1.00000E+01      1.00000E-01
