# entry-subent-pointer  : 12107-002-0 
# EXFOR reaction        : (67-HO-165(N,TOT),,SIG) 
# incident energy       : 2.2400e-07 MeV - 1.1400e-05 MeV 
# target                : Ho-165 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : Foote Jr 
# institute             : (1USABNL): Brookhaven National Laboratory, Upton, NY 
# reference             : (J,PR,92,656,5311) 
# year                  : 1953 
# facility              : (SPECC): Crystal spectrometer 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/121/12107.x4 
# nds                   : https://nds.iaea.org/EXFOR/12107
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.2400E-07        0.0000E+00        3.2300E+01        0.0000E+00
        2.5200E-07        0.0000E+00        2.5800E+01        0.0000E+00
        2.8400E-07        0.0000E+00        3.4200E+01        0.0000E+00
        3.2500E-07        0.0000E+00        2.6300E+01        0.0000E+00
        3.8000E-07        0.0000E+00        2.3900E+01        0.0000E+00
        4.1100E-07        0.0000E+00        1.6600E+01        0.0000E+00
        4.3500E-07        0.0000E+00        2.0000E+01        0.0000E+00
        4.8750E-07        0.0000E+00        2.4300E+01        0.0000E+00
        5.3900E-07        0.0000E+00        2.6350E+01        0.0000E+00
        5.9000E-07        0.0000E+00        1.7600E+01        0.0000E+00
        6.7000E-07        0.0000E+00        1.1250E+01        0.0000E+00
        7.2900E-07        0.0000E+00        2.0450E+01        0.0000E+00
        8.8000E-07        0.0000E+00        2.4300E+01        0.0000E+00
        1.0250E-06        0.0000E+00        1.7500E+01        0.0000E+00
        1.1000E-06        0.0000E+00        2.1700E+01        0.0000E+00
        1.2200E-06        0.0000E+00        1.6500E+01        0.0000E+00
        1.2700E-06        0.0000E+00        2.4600E+01        0.0000E+00
        1.3800E-06        0.0000E+00        1.9250E+01        0.0000E+00
        1.4800E-06        0.0000E+00        1.9300E+01        0.0000E+00
        1.6500E-06        0.0000E+00        1.6300E+01        0.0000E+00
        1.7700E-06        0.0000E+00        1.9750E+01        0.0000E+00
        2.0200E-06        0.0000E+00        1.8350E+01        0.0000E+00
        2.5300E-06        0.0000E+00        2.5600E+01        0.0000E+00
        2.7800E-06        0.0000E+00        2.2000E+01        0.0000E+00
        3.1750E-06        0.0000E+00        4.0000E+01        0.0000E+00
        3.3500E-06        0.0000E+00        5.7000E+01        0.0000E+00
        3.3600E-06        0.0000E+00        7.9900E+01        0.0000E+00
        3.4900E-06        0.0000E+00        7.7000E+01        0.0000E+00
        3.5000E-06        0.0000E+00        9.4500E+01        0.0000E+00
        3.5500E-06        0.0000E+00        1.3700E+02        0.0000E+00
        3.6800E-06        0.0000E+00        2.0000E+02        0.0000E+00
        3.7100E-06        0.0000E+00        3.5750E+02        0.0000E+00
        3.8300E-06        0.0000E+00        6.3980E+02        0.0000E+00
        4.2300E-06        0.0000E+00        5.0900E+02        0.0000E+00
        4.3200E-06        0.0000E+00        2.6980E+02        0.0000E+00
        4.4500E-06        0.0000E+00        1.4300E+02        0.0000E+00
        4.5000E-06        0.0000E+00        9.5000E+01        0.0000E+00
        4.6500E-06        0.0000E+00        6.8000E+01        0.0000E+00
        4.7400E-06        0.0000E+00        4.7200E+01        0.0000E+00
        5.0400E-06        0.0000E+00        3.2500E+01        0.0000E+00
        5.3750E-06        0.0000E+00        2.2200E+01        0.0000E+00
        5.5000E-06        0.0000E+00        2.0550E+01        0.0000E+00
        5.7750E-06        0.0000E+00        2.1750E+01        0.0000E+00
        6.8500E-06        0.0000E+00        1.2200E+01        0.0000E+00
        7.4000E-06        0.0000E+00        1.0400E+01        0.0000E+00
        7.4500E-06        0.0000E+00        1.6900E+01        0.0000E+00
        7.6500E-06        0.0000E+00        1.3200E+01        0.0000E+00
        7.8500E-06        0.0000E+00        1.8950E+01        0.0000E+00
        9.3500E-06        0.0000E+00        2.1150E+01        0.0000E+00
        9.8500E-06        0.0000E+00        1.8850E+01        0.0000E+00
        1.0250E-05        0.0000E+00        2.0000E+01        0.0000E+00
        1.0740E-05        0.0000E+00        2.5800E+01        0.0000E+00
        1.0900E-05        0.0000E+00        2.2900E+01        0.0000E+00
        1.1400E-05        0.0000E+00        2.2800E+01        0.0000E+00
