# entry-subent-pointer  : 12039-003-0 
# EXFOR reaction        : ['53-I-127', ['N,EL'], '53-I-127,,SIG'] 
# incident energy       : 3.0000e-01 MeV - 1.5000e+00 MeV 
# target                : I-127 
# product               : I-127 
# level energy          : - 
# MF-MT number          : 3 - 2 
# first author          : A.B.Smith 
# institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
# reference             : (R,EANDC(US)-62,65) 
# year                  : 1965 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/120/12039.x4 
# nds                   : https://nds.iaea.org/EXFOR/12039
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      3.00000E-01      0.00000E+00      5.89000E+00      0.00000E+00
      3.50000E-01      0.00000E+00      6.76000E+00      0.00000E+00
      4.50000E-01      0.00000E+00      5.88000E+00      0.00000E+00
      5.00000E-01      0.00000E+00      5.17000E+00      0.00000E+00
      5.50000E-01      0.00000E+00      5.42000E+00      0.00000E+00
      6.00000E-01      0.00000E+00      5.32000E+00      0.00000E+00
      6.50000E-01      0.00000E+00      6.08000E+00      0.00000E+00
      7.00000E-01      0.00000E+00      5.23000E+00      0.00000E+00
      7.50000E-01      0.00000E+00      6.00000E+00      0.00000E+00
      8.00000E-01      0.00000E+00      4.89000E+00      0.00000E+00
      9.00000E-01      0.00000E+00      4.49000E+00      0.00000E+00
      9.50000E-01      0.00000E+00      4.81000E+00      0.00000E+00
      1.00000E+00      0.00000E+00      4.93000E+00      0.00000E+00
      1.05000E+00      0.00000E+00      4.69000E+00      0.00000E+00
      1.10000E+00      0.00000E+00      5.03000E+00      0.00000E+00
      1.15000E+00      0.00000E+00      5.04000E+00      0.00000E+00
      1.20000E+00      0.00000E+00      5.06000E+00      0.00000E+00
      1.25000E+00      0.00000E+00      4.65000E+00      0.00000E+00
      1.30000E+00      0.00000E+00      5.85000E+00      0.00000E+00
      1.35000E+00      0.00000E+00      3.91000E+00      0.00000E+00
      1.40000E+00      0.00000E+00      5.12000E+00      0.00000E+00
      1.45000E+00      0.00000E+00      4.49000E+00      0.00000E+00
      1.50000E+00      0.00000E+00      4.74000E+00      0.00000E+00
