# entry-subent-pointer  : 11904-007-0 
# EXFOR reaction        : (49-IN-0(N,TOT),,SIG) 
# incident energy       : 1.0000e-02 MeV - 1.0000e-01 MeV 
# target                : In-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : Jain 
# institute             : (1USABNL): Brookhaven National Laboratory, Upton, NY 
# reference             : (J,PR,137,B83,1965) 
# year                  : 1965 
# facility              : (CHOPF): Fast chopper 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/119/11904.x4 
# nds                   : https://nds.iaea.org/EXFOR/11904
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.0000E-02        0.0000E+00        6.3500E+00        0.0000E+00
        2.0000E-02        0.0000E+00        6.4500E+00        0.0000E+00
        3.0000E-02        0.0000E+00        6.2000E+00        0.0000E+00
        4.0000E-02        0.0000E+00        6.0500E+00        0.0000E+00
        5.0000E-02        0.0000E+00        6.3000E+00        2.0000E-01
        6.0000E-02        0.0000E+00        6.0500E+00        0.0000E+00
        7.0000E-02        0.0000E+00        6.4000E+00        0.0000E+00
        8.0000E-02        0.0000E+00        6.5300E+00        0.0000E+00
        9.0000E-02        0.0000E+00        6.2200E+00        0.0000E+00
        1.0000E-01        0.0000E+00        6.4000E+00        0.0000E+00
