# entry-subent-pointer  : 12050-002-0 
# EXFOR reaction        : (57-LA-0(N,TOT),,SIG) 
# incident energy       : 3.9390e-06 MeV - 4.2410e-05 MeV 
# target                : La-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : Harvey 
# institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
# reference             : (J,BAP,4,385(B2),5912) 
# year                  : 1959 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/120/12050.x4 
# nds                   : https://nds.iaea.org/EXFOR/12050
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        3.9390E-06        0.0000E+00        1.0210E+01        0.0000E+00
        3.9770E-06        0.0000E+00        1.0140E+01        0.0000E+00
        4.0160E-06        0.0000E+00        1.0140E+01        0.0000E+00
        4.0560E-06        0.0000E+00        9.9540E+00        0.0000E+00
        4.0970E-06        0.0000E+00        1.0040E+01        0.0000E+00
        4.1380E-06        0.0000E+00        1.0180E+01        0.0000E+00
        4.1790E-06        0.0000E+00        1.0340E+01        0.0000E+00
        4.2210E-06        0.0000E+00        1.0290E+01        0.0000E+00
        4.2640E-06        0.0000E+00        1.0300E+01        0.0000E+00
        4.3080E-06        0.0000E+00        1.0200E+01        0.0000E+00
        4.3520E-06        0.0000E+00        1.0080E+01        0.0000E+00
        4.3970E-06        0.0000E+00        1.0180E+01        0.0000E+00
        4.4420E-06        0.0000E+00        1.0030E+01        0.0000E+00
        4.4890E-06        0.0000E+00        9.8360E+00        0.0000E+00
        4.5360E-06        0.0000E+00        1.0190E+01        0.0000E+00
        4.5830E-06        0.0000E+00        1.0140E+01        0.0000E+00
        4.6320E-06        0.0000E+00        9.8870E+00        0.0000E+00
        4.6810E-06        0.0000E+00        9.9160E+00        0.0000E+00
        4.7310E-06        0.0000E+00        9.7220E+00        0.0000E+00
        4.7820E-06        0.0000E+00        9.8020E+00        0.0000E+00
        4.8340E-06        0.0000E+00        9.7810E+00        0.0000E+00
        4.8860E-06        0.0000E+00        9.5860E+00        0.0000E+00
        4.9400E-06        0.0000E+00        1.0020E+01        0.0000E+00
        4.9940E-06        0.0000E+00        1.0020E+01        0.0000E+00
        5.0490E-06        0.0000E+00        9.8560E+00        0.0000E+00
        5.1050E-06        0.0000E+00        9.7750E+00        0.0000E+00
        5.1620E-06        0.0000E+00        9.9990E+00        0.0000E+00
        5.2200E-06        0.0000E+00        9.7730E+00        0.0000E+00
        5.2790E-06        0.0000E+00        9.9230E+00        0.0000E+00
        5.3390E-06        0.0000E+00        9.7580E+00        0.0000E+00
        5.4000E-06        0.0000E+00        9.7970E+00        0.0000E+00
        5.4630E-06        0.0000E+00        9.7960E+00        0.0000E+00
        5.5260E-06        0.0000E+00        9.5180E+00        0.0000E+00
        5.5900E-06        0.0000E+00        9.7990E+00        0.0000E+00
        5.6550E-06        0.0000E+00        9.4730E+00        0.0000E+00
        5.7220E-06        0.0000E+00        9.5280E+00        0.0000E+00
        5.7900E-06        0.0000E+00        9.8050E+00        0.0000E+00
        5.8590E-06        0.0000E+00        9.6680E+00        0.0000E+00
        5.9290E-06        0.0000E+00        9.5040E+00        0.0000E+00
        6.0060E-06        0.0000E+00        9.7180E+00        0.0000E+00
        6.0730E-06        0.0000E+00        9.8370E+00        0.0000E+00
        6.1470E-06        0.0000E+00        9.7470E+00        0.0000E+00
        6.2220E-06        0.0000E+00        9.7930E+00        0.0000E+00
        6.2990E-06        0.0000E+00        9.6510E+00        0.0000E+00
        6.3770E-06        0.0000E+00        9.4970E+00        0.0000E+00
        6.4570E-06        0.0000E+00        9.5440E+00        0.0000E+00
        6.5380E-06        0.0000E+00        9.3910E+00        0.0000E+00
        6.6210E-06        0.0000E+00        9.3680E+00        0.0000E+00
        6.7060E-06        0.0000E+00        9.3590E+00        0.0000E+00
        6.7920E-06        0.0000E+00        9.3720E+00        0.0000E+00
        6.8790E-06        0.0000E+00        9.2850E+00        0.0000E+00
        6.9690E-06        0.0000E+00        9.1560E+00        0.0000E+00
        7.0600E-06        0.0000E+00        9.1720E+00        0.0000E+00
        7.1520E-06        0.0000E+00        9.3260E+00        0.0000E+00
        7.2470E-06        0.0000E+00        9.2230E+00        0.0000E+00
        7.3440E-06        0.0000E+00        9.1590E+00        0.0000E+00
        7.4420E-06        0.0000E+00        9.1610E+00        0.0000E+00
        7.5430E-06        0.0000E+00        9.0630E+00        0.0000E+00
        7.6460E-06        0.0000E+00        9.2940E+00        0.0000E+00
        7.7500E-06        0.0000E+00        9.2020E+00        0.0000E+00
        7.8570E-06        0.0000E+00        9.2900E+00        0.0000E+00
        7.9660E-06        0.0000E+00        9.3210E+00        0.0000E+00
        8.0780E-06        0.0000E+00        9.2210E+00        0.0000E+00
        8.1920E-06        0.0000E+00        9.1090E+00        0.0000E+00
        8.3080E-06        0.0000E+00        9.2290E+00        0.0000E+00
        8.4270E-06        0.0000E+00        9.0840E+00        0.0000E+00
        8.5480E-06        0.0000E+00        8.9520E+00        0.0000E+00
        8.6720E-06        0.0000E+00        8.9570E+00        0.0000E+00
        8.7980E-06        0.0000E+00        8.9240E+00        0.0000E+00
        8.9280E-06        0.0000E+00        9.0400E+00        0.0000E+00
        9.0600E-06        0.0000E+00        8.9230E+00        0.0000E+00
        9.1950E-06        0.0000E+00        8.8000E+00        0.0000E+00
        9.3330E-06        0.0000E+00        9.0870E+00        0.0000E+00
        9.4750E-06        0.0000E+00        8.9590E+00        0.0000E+00
        9.6200E-06        0.0000E+00        8.9350E+00        0.0000E+00
        9.7680E-06        0.0000E+00        9.1240E+00        0.0000E+00
        9.9190E-06        0.0000E+00        8.8390E+00        0.0000E+00
        1.0070E-05        0.0000E+00        8.7010E+00        0.0000E+00
        1.0230E-05        0.0000E+00        8.7400E+00        0.0000E+00
        1.0390E-05        0.0000E+00        8.7640E+00        0.0000E+00
        1.0490E-05        0.0000E+00        9.4330E+00        0.0000E+00
        1.0540E-05        0.0000E+00        9.3700E+00        0.0000E+00
        1.0560E-05        0.0000E+00        8.6010E+00        0.0000E+00
