# entry-subent-pointer  : 20901-002-0 
# EXFOR reaction        : (3-LI-0(N,TOT),,SIG) 
# incident energy       : 4.1700e+00 MeV - 6.0600e+00 MeV 
# target                : Li-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : Bormann 
# institute             : (2GERHAM): Hamburg, Universitaet 
# reference             : (P,EANDC(E)-66,48,6602) 
# year                  : 1966 
# facility              : (VDG  ): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/209/20901.x4 
# nds                   : https://nds.iaea.org/EXFOR/20901
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        4.1700E+00        4.0000E-02        2.4500E+00        0.0000E+00
        4.2100E+00        4.0000E-02        2.4400E+00        0.0000E+00
        4.2500E+00        4.0000E-02        2.4100E+00        0.0000E+00
        4.2900E+00        4.0000E-02        2.4900E+00        0.0000E+00
        4.3400E+00        4.0000E-02        2.4700E+00        0.0000E+00
        4.3800E+00        4.0000E-02        2.5000E+00        0.0000E+00
        4.4400E+00        4.0000E-02        2.4900E+00        0.0000E+00
        4.4800E+00        4.0000E-02        2.4300E+00        0.0000E+00
        4.5300E+00        4.0000E-02        2.4800E+00        0.0000E+00
        4.5700E+00        4.0000E-02        2.3500E+00        0.0000E+00
        4.6200E+00        4.0000E-02        2.4400E+00        0.0000E+00
        4.6600E+00        4.0000E-02        2.4400E+00        0.0000E+00
        4.7200E+00        4.0000E-02        2.4500E+00        0.0000E+00
        4.7600E+00        4.0000E-02        2.4100E+00        0.0000E+00
        4.8100E+00        4.0000E-02        2.5400E+00        0.0000E+00
        4.8500E+00        4.0000E-02        2.3600E+00        0.0000E+00
        4.9000E+00        4.0000E-02        2.4800E+00        0.0000E+00
        4.9500E+00        4.0000E-02        2.4600E+00        0.0000E+00
        4.9900E+00        4.0000E-02        2.3000E+00        0.0000E+00
        5.0400E+00        4.0000E-02        2.3900E+00        0.0000E+00
        5.0800E+00        4.0000E-02        2.4300E+00        0.0000E+00
        5.1300E+00        4.0000E-02        2.3500E+00        0.0000E+00
        5.1800E+00        4.0000E-02        2.1700E+00        0.0000E+00
        5.2300E+00        4.0000E-02        2.1900E+00        0.0000E+00
        5.2800E+00        4.0000E-02        2.2400E+00        0.0000E+00
        5.3300E+00        4.0000E-02        2.2400E+00        0.0000E+00
        5.3800E+00        4.0000E-02        2.1100E+00        0.0000E+00
        5.4300E+00        4.0000E-02        2.2000E+00        0.0000E+00
        5.4800E+00        4.0000E-02        2.1800E+00        0.0000E+00
        5.5400E+00        4.0000E-02        2.1800E+00        0.0000E+00
        5.5900E+00        4.0000E-02        2.1100E+00        0.0000E+00
        5.6400E+00        4.0000E-02        2.2100E+00        0.0000E+00
        5.6900E+00        4.0000E-02        2.2100E+00        0.0000E+00
        5.7500E+00        4.0000E-02        2.2100E+00        0.0000E+00
        5.8000E+00        4.0000E-02        2.2000E+00        0.0000E+00
        5.8500E+00        4.0000E-02        2.2300E+00        0.0000E+00
        5.9000E+00        4.0000E-02        2.1000E+00        0.0000E+00
        5.9500E+00        4.0000E-02        2.2300E+00        0.0000E+00
        6.0100E+00        4.0000E-02        2.1700E+00        0.0000E+00
        6.0600E+00        4.0000E-02        2.1200E+00        0.0000E+00
