# entry-subent-pointer  : 11482--00-2-0 
# EXFOR reaction        : ['12-MG-0', ['N,TOT'], ',,SIG'] 
# incident energy       : 4.00e+00 MeV - 8.06e+00 MeV 
# target                : Mg-0 
# product               : - 
# level energy          : - 
# MF-MT number          : 3 - 1 
# first author          : J.L.Weil 
# institute             : (1USACOL): Columbia University, New York, NY 
# reference             : (J,PR,110,466,58) 
# year                  : 1958 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/114/11482.x4 
# nds                   : https://nds.iaea.org/EXFOR/11482
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      4.00000E+00      1.20000E-02      1.80000E+00      9.00000E-02
      4.10000E+00      1.23000E-02      2.10000E+00      1.05000E-01
      4.25000E+00      1.27500E-02      2.05000E+00      1.02500E-01
      4.35000E+00      1.30500E-02      2.38000E+00      1.19000E-01
      4.48000E+00      1.34400E-02      2.20000E+00      1.10000E-01
      4.58000E+00      1.37400E-02      1.95000E+00      9.75000E-02
      4.70000E+00      1.41000E-02      2.15000E+00      1.07500E-01
      4.80000E+00      1.44000E-02      2.13000E+00      1.06500E-01
      4.93000E+00      1.47900E-02      2.35000E+00      1.17500E-01
      5.03000E+00      1.50900E-02      2.05000E+00      1.02500E-01
      5.12000E+00      1.53600E-02      2.14000E+00      1.07000E-01
      5.25000E+00      1.57500E-02      1.90000E+00      9.50000E-02
      5.35000E+00      1.60500E-02      2.10000E+00      1.05000E-01
      5.45000E+00      1.63500E-02      2.05000E+00      1.02500E-01
      5.53000E+00      1.65900E-02      1.85000E+00      9.25000E-02
      5.63000E+00      1.68900E-02      1.97000E+00      9.85000E-02
      5.73000E+00      1.71900E-02      1.89000E+00      9.45000E-02
      5.84000E+00      1.75200E-02      1.80000E+00      9.00000E-02
      5.95000E+00      1.78500E-02      1.91000E+00      9.55000E-02
      6.05000E+00      1.81500E-02      1.58000E+00      7.90000E-02
      6.15000E+00      1.84500E-02      1.30000E+00      6.50000E-02
      6.25000E+00      1.87500E-02      1.52000E+00      7.60000E-02
      6.36000E+00      1.90800E-02      1.45000E+00      7.25000E-02
      6.45000E+00      1.93500E-02      1.60000E+00      8.00000E-02
      6.55000E+00      1.96500E-02      1.90000E+00      9.50000E-02
      6.65000E+00      1.99500E-02      1.65000E+00      8.25000E-02
      6.75000E+00      2.02500E-02      1.83000E+00      9.15000E-02
      6.98000E+00      2.09400E-02      1.73000E+00      8.65000E-02
      7.08000E+00      2.12400E-02      1.63000E+00      8.15000E-02
      7.20000E+00      2.16000E-02      1.80000E+00      9.00000E-02
      7.30000E+00      2.19000E-02      1.80000E+00      9.00000E-02
      7.40000E+00      2.22000E-02      1.84000E+00      9.20000E-02
      7.52000E+00      2.25600E-02      1.65000E+00      8.25000E-02
      7.62000E+00      2.28600E-02      1.77000E+00      8.85000E-02
      7.74000E+00      2.32200E-02      1.80000E+00      9.00000E-02
      7.86000E+00      2.35800E-02      1.70000E+00      8.50000E-02
      7.95000E+00      2.38500E-02      1.80000E+00      9.00000E-02
      8.06000E+00      2.41800E-02      1.77000E+00      8.85000E-02
