# entry-subent-pointer  : 41186--04-0-0 
# EXFOR reaction        : ['25-MN-55', ['N,INL'], '25-MN-55,PAR,SIG'] 
# incident energy       : 1.58e+00 MeV - 2.92e+00 MeV 
# target                : Mn-55 
# product               : Mn-55 
# level energy          : 1.53e+00 MeV 
# MF-MT number          : 3 - ['56'] 
# first author          : A.I.Lashuk 
# institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
# reference             : (J,YK,,(1),26,1994) 
# year                  : 1994 
# facility              : (VDG): Van de Graaff 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/411/41186.x4 
# nds                   : https://nds.iaea.org/EXFOR/41186
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      1.58000E+00      0.00000E+00      9.30000E-02      1.00000E-02
      1.70000E+00      0.00000E+00      1.02000E-01      1.00000E-02
      1.79000E+00      0.00000E+00      8.40000E-02      9.00000E-03
      1.92000E+00      0.00000E+00      1.16000E-01      1.20000E-02
      2.00000E+00      0.00000E+00      8.40000E-02      9.00000E-03
      2.10000E+00      0.00000E+00      1.14000E-01      1.20000E-02
      2.20000E+00      0.00000E+00      1.10000E-01      1.20000E-02
      2.33000E+00      0.00000E+00      1.34000E-01      1.40000E-02
      2.40000E+00      0.00000E+00      1.12000E-01      1.20000E-02
      2.46000E+00      0.00000E+00      1.76000E-01      1.80000E-02
      2.60000E+00      0.00000E+00      1.92000E-01      2.00000E-02
      2.70000E+00      0.00000E+00      1.77000E-01      1.80000E-02
      2.80000E+00      0.00000E+00      1.70000E-01      1.80000E-02
      2.86000E+00      0.00000E+00      1.46000E-01      1.50000E-02
      2.92000E+00      0.00000E+00      1.34000E-01      1.40000E-02
